Gene	SRR1822445	SRR1822446	SRR1822447	SRR1822448	SRR1822449	SRR1822450	SRR1822451	SRR1822452	SRR1822453	SRR1822454	SRR1822455	SRR1822456	SRR1822457	SRR1822458	SRR1822459	SRR1822460	SRR1822461	SRR1822462	SRR1822463	SRR1822464	SRR1822465	SRR1822466	SRR1822467	SRR1822468	SRR1822469	SRR1822470	SRR1822471	SRR1822472	SRR1822473	SRR1822474	SRR1822475	SRR1822476
Q0032	0.28018817801421986	0.26580658298499094	0.29865439759317475	0.22584400631272386	0.10452607310270096	0.08732820189071992	0.09534603529946473	0.11853364587382181	0.18882836782400303	0.21248314192294807	0.1296456372453514	0.15153979915869764	0.011089190829528705	0.05739812177397464	0.05905261665440087	0.05991785287024575	0.416936432281173	0.2859437068125136	0.2549474735910296	0.301858937033238	0.094500771256062	0.08061421875457914	0.08903479605704027	0.12752380112971362	0.23330297553128873	0.2910593819793166	0.28803943992831266	0.23048617174591496	0.05739812177397464	0.02852556199986332	0.10666002717647864	0.0685121217353406
Q0045	1.5673810408813813	1.4577804570810056	1.4234490116027017	1.297743925524316	0.9121236162421502	0.8644160334495751	0.831389974392703	0.8887849000597298	1.3919775348553085	1.1995524191283558	1.0847242726558572	1.117615484329586	0.7666219002056411	0.871479188618478	0.7625236240302671	0.7807478987442038	2.4668070818100665	1.6978624422895172	1.3997000795834285	2.2799860981777	0.8615809978748104	0.8912353540904218	1.1147454960375733	0.9689464826177696	1.6537269710467815	1.557741381426907	1.7261085877193214	1.4676311916627467	0.8028737434219985	0.8311324940980578	1.0799530459760436	1.058325596762703
Q0050	1.4133840947856045	1.1150783273746037	1.4559848292682211	1.6846975231928694	1.097176718175807	0.8998270469517922	0.89800651582489	1.0739410400398066	0.9661065719466586	0.9081025717262254	0.9266650172928423	0.9078173045836031	0.7352621973660436	0.8541618893202259	0.7360732398811609	0.8258673794683449	1.4333558367340302	1.6373201425174837	2.0187437520904106	2.4298361501877337	0.9995669385657704	1.0406208039883702	1.1927554597312895	1.2434404156409642	0.9878761455248936	1.0640632476571275	1.9923520697546293	3.3182483500954785	0.7468890188304745	0.7711101213283064	1.2640496601868476	1.029298818094028
Q0055	0.9141275818607243	0.8708525845185034	1.7927140589133224	1.3231720179643003	0.9509979868876717	0.8753024548802321	0.8370227942808791	0.9102550743406389	0.9785077992692	0.9923348453691572	0.8644160334495751	1.0561980101348227	0.7408883092393593	0.8808657636266111	0.7420183425754286	0.7825694994201431	0.7976711490847345	1.0552828069732747	2.421385712488837	2.082836228053722	0.8521196635896048	0.9172485395278134	1.066870149221347	1.0956499984409183	0.7889168543702989	0.8948929347515546	1.852970999537132	3.0059475497103527	0.7378038974661809	0.746461699138165	1.2236905849099649	1.0074419717763372
Q0060	0.6240873323379098	0.7440606215502414	1.2695217607207907	0.9355611998651803	0.5784979869452672	0.4686967466751732	0.606913554109999	0.6121137823197269	0.6131824478733482	0.21248314192294807	0.539167832095529	0.6755341155140033	0.295247978592439	0.539167832095529	0.40252220887303714	0.3890190770169831	0.92876701345025	0.89800651582489	1.7808879707002485	1.077169537786969	0.47379653305708536	0.5111485015953311	0.6293735066404549	0.6110788483184973	0.5824664208958594	0.7548397893831248	0.8347213802753457	1.0197947116856545	0.5100252448678096	0.2825998920652203	0.6126384216509586	0.5927246552392569
Q0065	0.7574979487114798	0.7707499487139976	1.1695440796691359	0.7976711490847345	0.680334374227396	0.5685180611458917	0.6482707567971081	0.6447420160585566	0.6670520804825975	0.7835417076682942	0.7198301667489863	0.7494885937549158	0.4960102775453341	0.606913554109999	0.4032037460775635	0.5161275015938369	0.416936432281173	0.7574979487114798	1.2010653935868956	0.8071320792096344	0.6766466205913911	0.7015817725170177	0.7159478669780688	0.7191628301935666	0.7640187107291017	0.6121137823197269	0.7828637309128312	1.4783550709342514	0.48784743456352364	0.46417071816038585	0.7420183425754286	0.5957231184850167
Q0070	0.6412649545725979	0.6911496195327205	1.2367772804127481	0.9111999269855091	0.6739944865519218	0.6340445096882371	0.6596452808897406	0.631883458665481	0.683887782260165	0.5680334510460235	0.58391998782257	0.5033556828577597	0.5809675954241957	0.5716299619817301	0.4838253978694283	0.5605994589393468	0.416936432281173	0.2859437068125136	0.6816973740221604	0.7270004465576958	0.6288721268441373	0.6330048461543683	0.6759014424347112	0.6704942472050175	0.23330297553128873	0.6660740326357224	0.28803943992831266	0.8330679527165431	0.5853074188332538	0.5721455431645113	0.7859255125399847	0.7218137655439621
Q0075	0.28018817801421986	0.26580658298499094	1.0783707760563	0.7564761087752322	0.6482707567971081	0.615517346053631	0.6073936240779274	0.5957231184850167	0.6766466205913911	0.650158489181276	0.46539492567081775	0.58391998782257	0.580007707518512	0.65299961809661	0.479205044214121	0.5867755385109489	0.416936432281173	0.2859437068125136	0.7613723752648174	0.7277450765966849	0.5819810943978373	0.6022355860112623	0.6684648275706963	0.6664267082746863	0.5927246552392569	0.6877504396333629	0.28803943992831266	0.7053752326280365	0.44051266438538467	0.45532081884020703	0.7561655349262256	0.6766466205913911
Q0080	0.7856138437764383	0.7063037374207151	0.6994472005680852	0.22584400631272386	0.312289926242998	0.08732820189071992	0.2939628980110392	0.5585672644578398	0.7564761087752322	0.6976766676270674	0.6302573071871842	0.5119753743591755	0.23429354208999648	0.3760889185779608	0.22584400631272386	0.3825730397727295	0.8601273197312179	0.8081941304396619	0.2549474735910296	0.6050820790119467	0.4585503481113194	0.42788142721462175	0.5043416191793547	0.3559488278354385	0.8123594271161971	0.908876374270428	0.6489281862788827	0.5449841268928532	0.05739812177397464	0.15286941738577312	0.48597931357153734	0.4795334655675557
Q0085	1.4169745791144417	1.2509454653917926	0.8893648902514795	0.9782114738024509	0.7029925588240689	0.6425897956297286	0.6739944865519218	0.6689929021886818	1.0791447002806396	1.0385017599233142	0.7790251573989402	0.7795967607280236	0.5716299619817301	0.6584399533770591	0.6167632653087639	0.6389735255364898	1.9353313034801518	1.341263856247239	0.8204998337036701	0.9091841839211225	0.7198301667489863	0.7241875879902331	0.7450986489303341	0.7023033096131384	1.2068029978762265	1.1873449210134464	0.7799215184639495	0.9726796240381793	0.5848103061812882	0.5998147956284894	0.7241875879902331	0.6735613781581412
Q0092	0.28018817801421986	0.26580658298499094	0.29865439759317475	0.22584400631272386	0.10452607310270096	0.08732820189071992	0.09534603529946473	0.11853364587382181	0.18882836782400303	0.21248314192294807	0.1296456372453514	0.15153979915869764	0.011089190829528705	0.19417642741376984	0.05905261665440087	0.05991785287024575	0.416936432281173	0.2859437068125136	0.2549474735910296	0.301858937033238	0.094500771256062	0.08061421875457914	0.08903479605704027	0.12752380112971362	0.23330297553128873	0.2910593819793166	0.28803943992831266	0.23048617174591496	0.05739812177397464	0.02852556199986332	0.10666002717647864	0.0685121217353406
Q0105	1.529013740967798	1.5537340163051656	1.1697895643101346	1.148306710033608	0.8322123364780121	0.7740611893575342	0.7880878893530922	0.777716172713928	0.9599188841366383	0.999908545429432	0.8127067333295377	0.814030727198921	0.6476309026139548	0.757094056010594	0.6542801666514044	0.6884716899080732	1.5473352893229666	1.3891526911429875	0.7870337952727623	0.8830288717966792	0.8175788663398836	0.8308419684130421	0.8347213802753457	0.8350451430724461	1.1916926894351016	1.136452047189262	0.92876701345025	0.8610075509343648	0.7058784821240871	0.7088185628369598	0.829194490249531	0.8199479288392396
Q0110	0.7436679675413722	0.7581935758236499	1.1376673830575217	0.7793018810467888	0.606913554109999	0.4139128686575617	0.44311273052088745	0.6403437086359733	0.6385684753242986	0.5572013747057557	0.5977649761232726	0.6262243422583955	0.34858953239622353	0.34310138635996845	0.17698262878082258	0.3257970709724204	0.7518197063446945	0.2859437068125136	0.7159478669780688	0.65791213700214	0.4701069672988748	0.608394052691905	0.5240515001488368	0.5751585640445531	0.5766481620575882	0.2910593819793166	0.7162666741660011	0.7019378982743012	0.2884592020334769	0.35312142108541794	0.6270726655238763	0.4566893599701294
Q0115	0.6167632653087639	0.6430752331078344	0.8903732244501044	0.7201504356193501	0.5888967559394473	0.34310138635996845	0.5322542047504792	0.5351711592561661	0.7080680723810979	0.7799215184639495	0.1296456372453514	0.5464008427630727	0.430393118357813	0.49305498645995616	0.35639283773772495	0.05991785287024575	0.7423687155108252	0.2859437068125136	0.6482707567971081	0.6574487098445283	0.5521116404009705	0.5867755385109489	0.4411858620124387	0.12752380112971362	0.7711101213283064	0.7900275276623189	0.5804470141591905	0.23048617174591496	0.4011487470292875	0.3586259894623447	0.5094303634869016	0.5419077702183329
Q0120	0.6266626674521516	0.6689929021886818	1.4114164461051828	0.9945909051204871	0.5288813184652335	0.4667324585013256	0.09534603529946473	0.5506129682350573	0.7213131806368798	0.7795967607280236	0.6408197130769728	0.6032366703699997	0.44311273052088745	0.3678323817436593	0.4454682707819951	0.4386636308947014	1.015853243646786	0.6968115015283723	0.6679328224002313	0.7532707380137978	0.5161275015938369	0.5207135315645959	0.48444264554332894	0.5322542047504792	0.5809675954241957	0.2910593819793166	0.28803943992831266	0.6968115015283723	0.19106204657243314	0.1849719561948744	0.6602654185201088	0.5706480231546344
Q0130	1.1970630687513992	1.214853598526475	1.1258806257292258	0.8238503089051317	0.9256615853977057	0.8283603683038511	0.8650746418795932	0.8565160279958075	0.9436685549174398	1.077169537786969	0.6106531505887312	0.5484836546225147	0.7273984428156862	0.8202338887991591	0.6522046386630407	0.6684648275706963	1.6393361490978287	1.0436125314865472	0.8446552580624819	0.8988625225607212	0.89800651582489	0.8734789096698959	0.8803123530628553	0.8839212189147913	1.2286686726499745	1.3712498391396108	0.9899569520671597	0.8575383665791803	0.7447037781382359	0.7610115548992736	0.8599710047169438	0.7961641269669655
Q0140	0.8885123109349673	0.9138709659055333	1.5395708679311133	1.0954025364302304	0.6412649545725979	0.606913554109999	0.689533230340711	0.4673378023966709	0.9049074688711436	0.9168990756275559	0.7631502991969012	0.7378038974661809	0.48511880657482453	0.4947753174049054	0.4686967466751732	0.416936432281173	1.5451718340109324	1.0087266154190069	0.8098199733079007	0.301858937033238	0.6468313922221081	0.5937343038019891	0.5937343038019891	0.5372332819196667	1.0303182833244637	0.9363513661003555	0.6398770596186578	0.7603796001810538	0.5588598557716499	0.44920533555021547	0.5628335957676683	0.5736145220283697
Q0142	0.28018817801421986	0.26580658298499094	0.6994472005680852	0.22584400631272386	0.3186131940408573	0.5430430487644909	0.5917738348274523	0.5018172505720367	0.18882836782400303	0.21248314192294807	0.1296456372453514	0.4231107351231239	0.41732375971280816	0.05739812177397464	0.05905261665440087	0.22584400631272386	0.416936432281173	0.2859437068125136	0.2549474735910296	0.301858937033238	0.519012995359969	0.42788142721462175	0.2760779512525135	0.3694185805756297	0.23330297553128873	0.2910593819793166	0.28803943992831266	0.23048617174591496	0.5024832840828332	0.5054916756836888	0.10666002717647864	0.40923602538379145
