Gene	SRR1583841	SRR1583842	SRR1583843	SRR1583844	SRR1583845	SRR1583846	SRR1583847	SRR1583848	SRR1583849	SRR1583850	SRR1583851	SRR1583852	SRR1583853	SRR1583854	SRR1583855	SRR1583856	SRR1583857	SRR1583858	SRR1583859
Q0115	1.2017689415413255	1.1846415483484085	1.116182676307266	0.9823362023355773	1.1250255668924996	1.053741875424431	1.25704216406693	1.284408671500776	1.1126565464575608	1.4266317764183583	1.1547646614635427	1.3439101977088583	1.641053980818369	1.4632159532220197	1.3859175179625285	1.4019910966277505	1.292629221556809	1.265769505566802	1.303972785922936
Q0120	0.6229094159955093	0.7034982027664993	0.7118721898738949	0.5937343038019891	0.6637089958921949	0.7048416679147493	0.718210048496937	0.8915156335780474	0.4503062800601435	0.19106204657243314	0.7850215695329141	0.8446552580624819	1.0746776719020992	0.8689935658125737	0.6534673012745752	0.9845733112028527	0.8120187433496416	0.6121137823197269	0.9381566620838622
Q0130	2.470925514332391	2.597568272970333	2.107123320385073	1.9161326093540125	2.0573385697742492	2.34871368652978	3.158741447336105	2.987897428410845	2.57826218236287	2.7968484498670056	2.9662651880583235	3.182553065673919	2.935255353220712	3.4183685692986354	3.325504976946931	4.211939727978819	4.615147386750307	4.440443264339933	4.433013227355119
Q0140	1.1056865725101892	0.9078173045836031	0.9737398981179158	1.1975476405536083	1.1250255668924996	1.0295505137608776	1.1662193307549023	1.142891665638259	0.9661065719466586	1.107701308789565	1.195174452544273	1.0364280603895621	1.0746776719020992	1.0530858437603978	0.6534673012745752	1.458920742385653	1.004205369564123	0.9111999269855091	0.9913098686142686
Q0142	0.733989397563895	0.9265543112486179	0.858933105499399	0.9371291489686768	1.1693011054808786	1.1636938475584753	1.2916766298169784	0.946793948681127	0.9457376065895434	1.0593648811677807	1.1451846328294015	0.9809544943307511	1.3626496233443024	1.2866045501072783	1.816538240328771	1.484904305673417	1.8827935651396448	1.1126565464575608	1.7363114281401189
Q0143	0.6904805460317528	0.55668429389959	0.7516215585584368	0.5141382648019284	0.6152763149756056	0.827187089791005	0.6764613624175855	0.6766466205913911	0.6940688352621824	0.6961194560819757	0.7245278415918915	0.5998147956284894	0.6042245827787812	0.43446161119946664	0.6534673012745752	0.7302479465131955	0.6777665098433647	0.6552060991827248	0.6002351120894922
Q0144	0.18926521484097947	0.25662980673829683	0.17698262878082258	0.2050614297996415	0.30757530693119306	0.46417071816038585	0.23276862914159824	0.21206771556255422	0.16979250352048755	0.45790906003266685	0.21858354089147194	0.17356206079677466	0.6042245827787812	0.17935699089130527	0.6534673012745752	0.2347589265485031	0.2397770126575933	0.18796837595705185	0.22129708048661884
Q0158	7.526913510169944	7.520099548812197	7.889413666890618	8.290547952733746	8.63309550036581	8.63309550036581	9.112524713799722	9.074166953787508	8.160510367419567	8.504373212476374	9.319358897355142	9.112524713799722	9.091097991201382	9.319358897355142	9.125946274349847	9.805057292625115	9.805057292625115	9.375927700976172	9.812777547282774
Q0160	0.963785374111424	0.8315326807906175	1.0804825165446275	1.1691641899118714	1.1693011054808786	1.3087549445385522	1.1167430112846901	1.2389428117556995	0.9339263118280501	1.0017980569459812	1.3330837077946154	1.3884677766040938	1.2640496601868476	1.6112183172765333	2.0107881485425443	1.7653224848590638	1.4340959793434849	1.3210729915552188	1.535074756971209
Q0182	0.18926521484097947	0.25662980673829683	0.17698262878082258	0.2050614297996415	0.30757530693119306	0.16767766916029994	0.23276862914159824	0.5421714272447993	0.16979250352048755	0.19106204657243314	0.48350891445234506	0.17356206079677466	0.6042245827787812	0.17935699089130527	0.6534673012745752	0.2347589265485031	0.2397770126575933	0.18796837595705185	0.22129708048661884
