Gene	ERR1607958	ERR1607959	ERR1607960	ERR1607961	ERR1607962	ERR1607963	ERR1607964	ERR1607965	ERR1607966	ERR1607967	ERR1607968	ERR1607969	ERR1607970	ERR1607971	ERR1607972	ERR1607973
YKL004W	1.962763251898787	2.171638773334146	2.0235714114517824	2.0343616947608014	1.8246770516244308	1.7707112973067696	1.80070526826455	1.755076928498748	2.078419086918585	1.9664742396307613	1.9694239310818704	1.968686745807772	1.8534097092462505	1.8060499168162474	1.9028351080470447	1.9283941595456158
YKL005C	1.6255153288309232	1.4806413004538024	1.5028139645230372	1.6639585492869733	1.6844265846685735	1.596884389174878	1.6676576850067732	1.6752598400550192	1.4669568166348803	1.4045529313502614	1.3808728448729584	1.3944033210862463	1.3894243471941294	1.381206901452859	1.36226880138261	1.4045529313502614
YKL006C-A	1.2434404156409642	1.22041258615294	1.1838578970826528	1.1836168494054469	1.1273076555004564	1.1088046280267125	1.1753813011617842	1.1708048482348268	1.0881100035118543	1.0506206904170519	1.0160625928003053	1.0789248223624046	0.9618558634359636	1.0031285007005186	0.9774652862568836	0.9698067976880645
YKL006W	2.683849243699992	3.4164818884181445	2.212225610523605	2.6236616636212746	1.7864918361447626	1.9619779592463042	1.7393181532254094	1.560101688984061	5.8163593077011475	5.688230461446563	5.751803460265659	5.625122746892046	4.557809981052351	4.5791405736007915	4.424589716397296	4.348223465124344
YKL007W	2.1187806482908575	2.0917433470788156	2.2459615156633097	2.1133040755762065	2.257106656764998	2.331008152073939	2.3215330228534823	2.24468649184619	2.51634445148803	2.437978540181021	2.5002915115044266	2.363026628901173	2.4124888190019846	2.4135785072301017	2.4298361501877337	2.4545760353577633
YKL008C	1.4116830359998407	1.4449375585938742	1.430962042613745	1.4521151862333515	1.4193243341051838	1.3929997223102353	1.4503058607134562	1.3750867006979528	1.1615563671453117	1.2136630436063003	1.1567894152982907	1.111007564986213	1.0714517132720627	1.0409150570591736	1.0810497103780723	1.073337707568333
YKL009W	1.0555614964794227	1.1412665402412279	1.0436125314865472	1.1043144206834954	0.9861780693763333	1.0799530459760436	0.9549691177362007	1.0141042112522962	2.32573224229215	2.1917555664264334	2.15595635975691	2.1240616986806673	2.233977569662803	2.140768800926062	2.249294905800922	2.2165167044196474
YKL010C	2.823645356160293	2.633905462446144	2.7761587750330166	2.787002279476151	3.3732356862959616	3.176117411808952	3.2730059497751274	3.4056426378175786	2.270375079664376	2.2321852922635834	2.354748358131755	2.320844821663656	2.5450784140664586	2.488408907548781	2.5274925095798535	2.613375743194579
YKL011C	0.9290768754781793	0.9581545846567737	0.9535069825310538	0.9507457761261745	0.8803123530628553	0.8621328557902594	0.8993934380016684	0.8638605069371421	1.027125254309261	1.0133313568201237	0.9849088553355517	1.003553901204516	0.9483270984429537	0.927122541981237	0.938988654642959	0.9156492135934993
YKL012W	1.6244679009270193	1.4300975397636204	1.4703271193736804	1.5174308363967275	1.7741012237337048	1.6676576850067732	1.6080922606842576	1.671544639283223	1.6398463823827032	1.5987927212142319	1.6752598400550192	1.6632534167783088	1.794499993236399	1.7116360487052718	1.7786848525344268	1.7137997630704314
YKL013C	2.509091674408026	2.3840102142096153	2.4639452042185823	2.420687078884888	2.614398623541221	2.57826218236287	2.6249599608305347	2.4849192085540297	2.587067901457917	2.6358875707094205	2.524472679783865	2.633905462446144	2.658675881433688	2.608465398508481	2.614398623541221	2.6000404009872016
YKL014C	0.9795539021771211	1.147213743152999	1.0084543772329384	0.9902882212053408	1.0448771166703292	1.0613439110139637	1.0512428900155326	1.0830074364225044	1.8168572078861807	1.8303498419062865	1.9303438812689757	1.8859824722016196	1.8845358461402189	1.8954945042775855	1.8315837990081727	1.8476085412142558
YKL015W	2.251811182564644	2.2624682105353346	2.2413845519293103	2.336260017412274	2.3713287960970333	2.264038506372966	2.2895468382911606	2.471907521266604	2.3666510791631925	2.3840102142096153	2.532137687269686	2.437978540181021	1.9143349803915792	1.9608064618338346	1.9995788231282872	1.9539351708268415
YKL016C	8.402473079183633	8.455275079419549	8.323076464926592	8.210394472430057	7.822970241615458	7.822970241615458	7.8272803844083185	7.7327225049248325	6.404611490362076	6.472664988841519	6.472664988841519	6.624391117118731	6.447279231992917	6.357938288444218	6.13617220976214	6.205250049563953
YKL017C	1.233063497359142	1.2163938062409994	1.251898668625003	1.2712799362965919	1.2469044754481327	1.1979786530147614	1.2061886802145718	1.2007186097942824	1.1856261007852948	1.2465174617581214	1.221389273347254	1.24741431804133	1.3072522166998293	1.26251763504236	1.244238157049767	1.291584798030202
YKL018C-A	1.240630476460768	1.3202421158727145	1.3472533609465314	1.244238157049767	1.297743925524316	1.390962134274277	1.3710100815391915	1.28926302712394	1.0491320227678795	1.0010220271321393	1.066870149221347	0.9988623701643833	1.004514712070876	1.0226484346343898	0.9871511090526034	0.995548616578392
YKL018W	1.077169537786969	1.0789248223624046	1.085924239344241	0.9907485452407792	0.9837819509074248	1.0201459941452866	1.0136330532834452	1.0323357526144148	1.1775742970003276	1.1409858583644557	1.1543261824436952	1.1209427665228457	1.160486770655572	1.1476553213012504	1.1286771167143326	1.1132139977770008
YKL019W	1.92192402629937	1.8427177345672296	1.956266527986193	1.8313115587341562	1.838025140624502	1.832534075851374	1.7621381746901124	1.7804075992702204	2.378574054054619	2.4584249128714344	2.3934719300908966	2.3584341324042177	1.9647422736535147	1.8903053336755336	2.051051001706538	1.9335120568810134
YKL020C	3.2375765963763996	3.075698055216135	3.38719812323345	3.3237117231224746	3.4669601219102315	3.4771198844243774	3.456986556838361	3.699341826095057	2.532137687269686	2.496173728336613	2.5875034952487814	2.658675881433688	2.487043875477618	2.558152269715337	2.506201128131014	2.4572884303622824
YKL021C	1.2902614610175194	1.3772427962180804	1.3475180051346685	1.2431475742826033	1.3929997223102353	1.4472173685012912	1.3808728448729584	1.3237002748696645	1.9843936777810463	1.9308375276575502	2.007603000657466	2.0042964095774085	2.072190379180247	1.9669141648565456	2.001110612399914	2.029679433003224
YKL022C	1.6366851327981384	1.581574674400232	1.7146632643422655	1.645929686060901	1.5946385669027694	1.6074617685943902	1.611817667921866	1.6657402654275473	1.5412233389357999	1.5612360387035995	1.5739627187673613	1.6265266100970135	1.6398463823827032	1.6358646956249305	1.7129636409312081	1.7060553710373547
YKL023C-A	0.8681408862867135	0.8610075509343648	0.861848670251153	0.8501871885351712	0.8244145855901484	0.8388193113498263	0.8133376737146261	0.8330679527165431	1.1178347732484415	1.1771149012160218	1.0815814869965255	1.1060443319297926	0.9554768400933411	0.9443910617240242	0.9758400181882549	0.9867699966187559
YKL023W	1.214853598526475	1.1753813011617842	1.2370742613626269	1.3113293182729224	1.4803657663732914	1.3865529091342668	1.4769803192567799	1.496172499489595	1.385374013006861	1.3540970896075257	1.3991080054421057	1.391364252460065	1.1801065948288652	1.182956188798627	1.1559373884042379	1.157456937195074
YKL024C	1.3530052040600309	1.4234490116027017	1.372294235541082	1.3415110593736435	1.2185615997187318	1.252533707699145	1.1700500484054266	1.2604503563433218	2.120491829920323	2.194556624628719	2.0374127927044636	2.148894893339663	1.5370522846516337	1.4495700064344568	1.525057166372086	1.4676311916627467
YKL025C	1.9507385036289615	1.821991687976845	1.9014183717896889	1.9412167677259387	1.8684242876072652	1.7786848525344268	1.7159422779199134	1.8015992791558728	1.794897488649616	1.8292073487321752	1.7579964491070088	1.793902741080927	1.8270296097691594	1.8357820252126755	1.7844531808262771	1.8126102420962065
