Gene	ERR2653627	ERR2653628	ERR2653629	ERR2653630	ERR2653631	ERR2653632	ERR2653633	ERR2653634
YER016W	1.360165323324709	1.3146633856901757	1.5091874544621933	1.4493129349003082	1.3320156428788021	1.3710100815391915	1.5196867446268243	1.5785978646517456
YER017C	2.4473203624914657	2.6349816439683265	3.3501961976849	2.99841665368951	2.4545760353577633	2.6859508493618796	3.1792263944932007	2.953782116015567
YER018C	1.604008872863674	1.345049906567049	1.2825896389568627	1.0830074364225044	1.2326706320590861	1.2477748883913908	1.2363534381696917	1.1587365860091836
YER019C-A	3.0741838864645348	2.800214886656216	2.8452141330698484	2.822342545434691	3.0195240328418564	2.766011048413927	2.823645356160293	2.8149648440373807
YER019W	2.5550116198963395	2.5002915115044266	2.1418099831454427	2.2332038304564072	2.3495893235498073	2.330662646802964	2.033303335865872	2.082836228053722
YER020W	1.9723161249574084	2.1991034579489344	2.451004067831933	2.720867145915995	1.7702169389404543	2.062190772160638	2.537040873038848	2.8462727682207314
YER021W	2.9375517238357225	3.549547154078933	3.662937372497454	4.057586140984817	3.1028407062939283	3.848864756704672	3.7498196134981345	4.196067044029609
YER022W	1.4101337527096889	1.4654150017492882	1.416783599562316	1.429801764449501	1.4559848292682211	1.395418895310919	1.6358646956249305	1.601995706614554
YER023C-A	0.1549442179228085	0.15838297987249383	0.16058354857499502	0.17356206079677466	0.1558277056455074	0.1641123221332098	0.15793632431344284	0.18057771223274396
YER023W	5.310883878328428	5.306429409024515	4.784804380362973	4.718327975383966	5.137761177973639	5.469853302128613	4.870682414508507	4.797675999036535
YER024W	1.672760623950449	1.527905180576128	1.832534075851374	1.862437635037278	1.4876842310479825	1.6568399647872383	1.7831131398007458	1.8835558073451333
YER025W	4.7431600173775035	5.158695533469638	4.057586140984817	4.274395212925541	4.606360086603037	5.209693316440736	3.917849106492046	4.437046817364717
YER026C	6.754730605411078	6.420164204358091	6.045619567726437	5.601184676840919	7.246886228989471	6.508913411146379	6.508913411146379	5.520114001898591
YER027C	1.6577136714854723	1.490902710378268	2.4545760353577633	1.8018637254883376	1.7453262792418363	1.5491130132935504	2.392963685271491	1.8589321893521698
YER028C	0.8844223905642884	0.8750300310984873	0.9632418909111051	0.9666333603794421	0.8803123530628553	0.883647224872151	1.0177403570649581	1.0309869218166934
YER029C	1.4928438455445923	1.3702952800476016	1.2370742613626269	1.278883194441122	1.5412233389357999	1.2563396650688226	1.1746496573155416	1.3394191986860293
YER030W	2.0800001621631097	1.7482665656377132	1.9332053750118412	2.0054880776007833	2.1136440933806178	1.771070712338181	1.9072062666830354	2.0282678318057323
YER031C	2.2756724423682018	2.382865413066173	2.624095214492865	2.72812706698633	2.140768800926062	2.4399486430817334	2.571648233800241	2.9009289654431822
YER032W	1.2000564116657195	1.2686697728616936	1.2496427772250065	1.3650744561054353	1.3032615397932403	1.2336007598066814	1.213226283294488	1.2909053161902504
YER033C	1.2206702512481717	1.4612825034216699	1.4380844902626473	1.426428814665335	1.3291584298592605	1.23905627276068	1.4972814865525366	1.373887950997779
YER034W	1.4596887570581965	1.3847956588318653	1.083803735493245	1.1943972534751977	1.3929997223102353	1.4487117239379521	1.1027414440811247	1.241564820053175
YER035W	1.5848448713352263	1.6110187277819923	1.8995001827470563	2.180115608339032	1.5924579144822761	1.7814041887597742	2.0235714114517824	2.1913147887683646
YER036C	5.460632508406998	5.70507603795002	4.0384887464019	4.47521315809601	5.219834472101928	5.852973332697623	3.8362686108396	4.418534781828873
YER037W	1.9096837924025203	2.442024302619494	1.7754450633081473	1.9024727055840405	2.099874882678849	2.0307248801270004	2.154474082622977	1.9261515801217977
YER038C	0.89800651582489	0.9302827804398033	0.8830288717966792	0.8796746001264203	0.8818699905567292	0.89800651582489	0.8753024548802321	0.9091841839211225
YER038W-A	0.45318654776436373	0.15838297987249383	0.39445885160376093	0.45251140107990856	0.1558277056455074	0.4798664129086254	0.15793632431344284	0.5843525078306908
YER039C	0.934316679094194	0.9172485395278134	1.0339509093582673	0.9539984879750607	1.0113887150545837	0.9334135398292793	1.0289670333660514	1.00507137768588
YER039C-A	0.7327155618587636	0.7753720462014426	0.7941480662886058	0.8094661471014455	0.776303957520152	0.7473548703201256	0.8011863337901299	0.7961641269669655
YER040W	1.4165174233914395	1.4216540592199545	1.7908633997486663	1.727025727967995	1.4171974077462768	1.4705862680244302	1.8102389070667875	1.7659891128920948
YER041W	1.0555614964794227	1.0954025364302304	1.0263352573221465	1.085924239344241	0.9740586938739562	1.102008535455219	1.06830198861666	1.2072575485331183
