Gene	SRR3655584	SRR3655585	SRR3655586	SRR3655587	SRR3655588	SRR3655589	SRR3655590	SRR3655591	SRR3655592	SRR3655593	SRR3655594	SRR3655595	SRR3655596	SRR3655597	SRR3655598	SRR3655599	SRR3655600	SRR3655601	SRR3655602	SRR3655603
YOL013C	1.7257446134378525	1.56620295998521	1.9464297857833288	1.3352361543429139	1.5748687418722729	1.7471599888907012	1.7363114281401189	1.9308375276575502	1.4743893108957125	1.8018637254883376	1.6154047402048541	1.9203345613592129	1.6706460461163535	1.2765281362375371	1.7063124288452673	2.320239405552545	2.039304330196178	1.956266527986193	2.163946810209142	2.315597668272062
YOL013W-A	2.5002915115044266	2.32573224229215	2.4497355968322463	2.134851757416287	2.6349816439683265	2.4276833371523128	1.962763251898787	1.900582209349062	1.956266527986193	2.367053223146858	2.0588394178647915	1.8631810175347674	1.6027406225063694	2.6395420796856266	2.417312664283963	2.4643762166619716	1.8295717790059405	1.8963455204740067	1.7854881054893446	1.7236782441104195
YOL013W-B	0.6847331257292735	1.0645447734131879	0.44446616714740195	1.0872165347292864	1.058325596762703	0.7529588563240752	0.8936150797318404	0.9213006999206416	0.4943255732318295	0.444045522890658	0.6884716899080732	0.8060042488683634	0.9224321032600584	1.1338262821511904	0.6639447233202856	0.37534598537785985	0.7450986489303341	0.954325576294455	0.33308388384289533	0.3844484752166766
YOL014W	0.7885627234781627	0.5971051858668761	0.44446616714740195	0.46191811066646876	0.36241043974018516	0.332001932152033	0.28966253016949245	0.38294661843166744	0.4943255732318295	0.444045522890658	0.8175788663398836	0.8388193113498263	1.163148117772915	0.6257027539932151	0.34653277293700024	0.37534598537785985	0.36536256325255323	0.3860537584320394	0.33308388384289533	0.9798672845498866
YOL015W	0.6979715300139742	0.5971051858668761	0.44446616714740195	1.0841553687857353	0.36241043974018516	0.332001932152033	0.8554779256733471	0.7721249037382876	0.4943255732318295	0.8915156335780474	0.7603796001810538	0.908369276941466	0.8830288717966792	1.1811266891213583	0.34653277293700024	0.931344610125167	1.0420401458849309	0.7839097186786672	0.7221752857182678	1.1193532782876827
YOL016C	1.2792034702741537	2.3215330228534823	2.1790017281314187	2.010184835262003	2.1747976931760897	1.9222013136375151	2.460064039255635	1.655268714420521	2.0428975087879375	1.7930234677410848	1.1258806257292258	1.1577096083893255	1.7176861595533015	1.1123526696007098	1.3060938962730817	1.212414223824298	1.178934121698747	1.2224016442784857	1.2409288391264588	1.4472173685012912
YOL017W	1.2546437886463495	1.443759791207323	1.392706940728302	1.7507611656789304	1.0789248223624046	1.1302460159864285	1.1759244237599462	1.4408289593152739	0.4943255732318295	1.3276576782285763	1.3452738746907114	1.1295162184386431	1.8258831100761495	1.1764042891008426	0.9357836702812614	0.7518197063446945	1.3475180051346685	1.0653490511795412	1.1906532162212238	0.8965296497524815
YOL018C	0.6959187167058312	0.5971051858668761	0.44446616714740195	0.46191811066646876	0.7717836856633524	1.063041994547287	0.28966253016949245	0.38294661843166744	0.4943255732318295	0.8844223905642884	0.3493524440840029	1.0250980772409333	0.723731725741241	0.6257027539932151	0.34653277293700024	0.7717836856633524	0.36536256325255323	0.7447037781382359	0.7015817725170177	0.7924598507959895
YOL019W	3.7753460665728644	5.417044221937409	4.6342467952914115	5.690900092936525	4.5478797739475185	3.7498196134981345	4.0936080920495534	3.6913941412687885	4.5383522446920495	3.856338688048404	3.7070775890072465	2.5009807010328653	3.463163532530407	4.492107475901829	2.434834620579387	2.1432452349080098	3.871726878721533	3.2421095029454725	2.652832508592417	1.9577821213390747
YOL019W-A	0.32242536387829723	0.5971051858668761	0.44446616714740195	0.46191811066646876	0.36241043974018516	0.332001932152033	0.28966253016949245	0.38294661843166744	0.4943255732318295	0.444045522890658	0.3493524440840029	0.43602159242321964	0.8736266372244219	0.6257027539932151	0.34653277293700024	0.37534598537785985	0.36536256325255323	0.3860537584320394	0.33308388384289533	0.3844484752166766
