Gene	SRR2467141	SRR2467142	SRR2467143	SRR2467144	SRR2467145	SRR2467146	SRR2467147	SRR2467148	SRR2467149	SRR2467150	SRR2467151
YDL191W	6.06996892617588	6.467132649298106	6.310389900947978	7.198128032138685	5.992552359091455	6.205250049563953	7.265310682047243	6.404611490362076	6.283697918144227	6.6024098147851795	7.0222452048708615
YDL192W	4.79449133639527	4.953051394119006	4.946930681461252	4.815903509084704	4.647829710668763	5.025657299031922	5.158695533469638	4.178225009887985	4.366283360458291	4.254708168161136	4.325663944018414
YDL193W	1.9136837376474125	1.8047770759490485	1.7600913978765467	1.6355911414524873	1.7659891128920948	1.8841681802870607	1.6623309280583525	1.7234132347738287	1.7930234677410848	1.7218184782372348	1.6791619529560347
YDL194W	1.2600294301319235	1.205954569630584	1.2913352662345878	1.0991851079663175	1.297743925524316	1.24897960000213	1.1552177628207045	1.2341083746935615	1.2170510280699494	1.1903273489545199	1.2663602678477779
YDL195W	4.557809981052351	4.4543684861964135	4.387872653029509	4.424589716397296	4.669328783620941	4.522096443335365	3.625632284492845	4.405524783141014	4.540048371986402	4.366283360458291	4.900242658971436
YDL196W	0.47318685007670763	0.5077174259140294	0.5775789688553062	0.5213342590997749	0.6522046386630407	0.591562609580919	0.5883866073761919	0.4725985543930875	0.5643480776252439	0.5898435543745926	0.5388868348653221
YDL197C	1.4402459924806543	1.3898996397560617	1.494140473697581	1.4937428567637814	1.4644004431882471	1.48867357331999	1.3765686081236927	1.4654150017492882	1.4487117239379521	1.456563948743707	1.450826731941856
YDL198C	6.944767478794507	6.568288964585807	6.944767478794507	4.96835028938277	6.741414169621715	6.563745911731264	5.651358697031413	6.97354987588769	6.724966066683784	6.944767478794507	6.011429737802256
YDL199C	1.8004370876656635	1.6844265846685735	1.636418276025453	1.089346706011919	1.5653708153348613	1.682764651509517	1.0680549051916126	1.6520974455472406	1.6346268051965578	1.5594143762180965	1.1648391710238224
YDL200C	1.246062255350098	1.2087715181455652	1.2515657840516226	1.2028661054426681	1.2286686726499745	1.2000564116657195	1.1877389427012406	1.235823328863909	1.2328644558088235	1.2691976674074679	1.0868748387934117
YDL201W	1.48373483109924	1.56620295998521	1.686867265862	2.0338417389656067	1.3498329689275261	1.3573307212163384	2.510724974729691	1.5328039372666358	1.4396230739025615	1.664715373250855	1.7116360487052718
YDL202W	1.1712798235697006	1.1920444448721947	1.2087715181455652	1.2675874228146211	1.1939008328992853	1.2308168283464727	1.337463169770264	1.1916926894351016	1.1587365860091836	1.2100395802619837	1.261884325789623
YDL203C	1.5390825258901717	1.5499323267404064	1.6352985516677347	1.589611933849501	1.5114584434002118	1.4855531858077256	1.6247537810894277	1.5171753506943437	1.5286315187215744	1.5390825258901717	1.6145224675147185
YDL204W	1.1126565464575608	1.0651378086734795	1.0506206904170519	1.0297661020960756	1.120456103563166	1.1009587257684257	1.0615459316650984	1.0366732927932352	1.063041994547287	1.0216393944993665	1.1914553965456458
YDL205C	1.7357601044198845	1.9105313855292476	1.864044419293673	1.8132040557997715	1.6636393784412458	1.6752598400550192	1.9340229171287218	1.7902696279896202	1.794897488649616	1.875567732715394	1.7973996025344536
YDL206W	1.5464483404973757	1.4165174233914395	1.3696003137913615	1.215345484340581	1.6469683392166008	1.6013377692847972	1.191154726242502	1.4769803192567799	1.4525114031266302	1.3296535390463058	1.427924065328296
YDL207W	2.073523435376795	2.148894893339663	2.2237160231710478	2.0095303664941184	1.9788338646688346	2.0338417389656067	1.9619779592463042	2.173457694145495	2.1591907354939264	2.15595635975691	1.991391507958033
YDL208W	2.601045467599933	2.925581343431262	3.1595480662398874	3.7852312075176817	2.401077604510894	2.5077083713576807	4.1736600078265536	2.7776233002036874	2.739786650788983	3.229078376280533	3.1431716248506283
YDL209C	0.9945909051204871	1.042602442106082	1.076070565836825	1.129073223532977	0.9814327806967014	0.995548616578392	1.252533707699145	1.047532670011791	1.0604980879447903	1.0578319801547438	1.0356085589149702
YDL210W	2.1063922163975026	1.583056645141016	1.5936077918574738	0.9065148480676977	2.3855204453720633	2.0347101993604544	0.908876374270428	1.8146625477499978	1.7835421255927746	1.591433817121501	0.9611980820595923
YDL211C	0.9201967026473358	0.93311585920472	0.9684388756950172	0.9546943235481307	0.9494635059307085	0.9443910617240242	0.9957936201130188	0.9867699966187559	0.9490643106610751	0.9995669385657704	0.9669516944078411
YDL212W	2.975712546206915	2.8891407130527487	2.9184413393013573	2.9662651880583235	2.89447048314281	3.104228067703967	3.275488389083631	2.776781638389289	2.928983999000207	2.9184413393013573	2.8174428682961974
YDL213C	1.7146632643422655	1.8889412895444084	2.0183575026384	2.447897821183705	1.5946385669027694	1.6738484350946745	2.688043216268953	1.911093183144395	1.799318363207108	2.244164206259806	1.9119236944087343
YDL214C	0.7813446558824603	0.7740611893575342	0.8136879706838587	0.824132558352556	0.776303957520152	0.7790251573989402	0.8401416707405627	0.792738820596042	0.7910167738632395	0.7696555712745202	0.8238503089051317
YDL215C	7.889413666890618	8.090937628233153	8.265560931278268	5.79706714161067	8.307477791845907	7.7327225049248325	5.887129146400355	8.290547952733746	7.822970241615458	8.196583799265213	5.933651173972283
YDL216C	1.0610885679771462	1.0062096433930927	1.0141042112522962	0.9814327806967014	1.0922987534420003	1.069885010543426	1.0116284524620207	1.0332930070554653	1.016598117003265	1.0096868765814175	1.0412287005935252
YDL217C	1.4315064601750018	1.4005840534373648	1.4008956653499656	1.280668546594957	1.3189390371196414	1.3447421697264874	1.3530052040600309	1.3819605446998509	1.3625290131330239	1.3597232685974947	1.3027691159001593
YDL218W	0.7302479465131955	0.7331685827509131	0.7146356463387671	0.757094056010594	0.7298782814925215	0.7298782814925215	0.8025121228772572	0.7352621973660436	0.7152907950499329	0.7191628301935666	0.7370718137938708
YDL219W	1.18981056668318	1.2175473482240338	1.26251763504236	1.2765281362375371	1.1761658213821735	1.237572164952622	1.3878538518315473	1.1780347604500943	1.157456937195074	1.2758959235571279	1.1861996809601945
YDL220C	1.083803735493245	1.1744267380368787	1.1265548903055662	1.160486770655572	1.0862525145432957	1.0610885679771462	1.1092504131319556	1.0827811573196253	1.1107469706280324	1.1412665402412279	1.1227900644113653
YDL221W	0.5298961015676911	0.5877742088289648	0.39049370778711595	0.5862402987461439	0.606463475652012	0.5543029728825882	0.5424414399809163	0.6060420982838138	0.6217723579214387	0.6257027539932151	0.6340445096882371
YDL222C	0.7930245540584189	0.7993577334739231	0.8370227942808791	0.8674471753260676	0.790705045388945	0.7856138437764383	0.8004788721094613	0.8130101515409734	0.8186479027339597	0.8049924842910394	0.9067861782143664
YDL223C	1.301521522414338	1.348744307195407	1.2909053161902504	1.2302900830271237	1.353662263367985	1.3808728448729584	1.1914553965456458	1.3279238819109116	1.3262303338390464	1.278015043196153	1.2952204478835547
YDL224C	2.267552868047066	2.2231737689260465	2.2924337963660157	2.18984128281531	2.328431068005976	2.2413845519293103	2.0107881485425443	2.330662646802964	2.244164206259806	2.2624682105353346	2.378574054054619
