Gene	SRR539261	SRR539262	SRR539263	SRR539264	SRR539266	SRR539267	SRR539268	SRR539269	SRR539270	SRR539271	SRR539273	SRR539274	SRR539275	SRR539276	SRR539277	SRR539278	SRR539279	SRR539280	SRR539281	SRR539282	SRR539283	SRR539284	SRR539285	SRR539286	SRR539287	SRR539288	SRR539289	SRR539290
Q0010	0.26841398788083826	0.24501143898526317	0.34310138635996845	0.24370094837661438	0.5298961015676911	0.39597379959843887	0.37081052947897053	0.3996255273107284	0.47763700724391217	0.39445885160376093	0.45251140107990856	0.5221136021476476	0.4701069672988748	1.2494613910411334	1.3815260532633789	0.45532081884020703	0.2177823064502422	0.17795800863226827	0.1906244124335485	0.1849719561948744	0.2181837281279414	0.2194816599902179	0.08774073986922236	0.10666002717647864	0.07854303402719548	0.16543679127458694	0.12320022029629073	0.11935523608892995
Q0017	0.26841398788083826	0.24501143898526317	0.34310138635996845	0.24370094837661438	0.24937839023521208	0.39597379959843887	0.37081052947897053	0.3996255273107284	0.47763700724391217	0.39445885160376093	0.45251140107990856	0.5221136021476476	0.4701069672988748	0.4499277743875222	0.5136227744509562	0.45532081884020703	0.2177823064502422	0.17795800863226827	0.1906244124335485	0.1849719561948744	0.2181837281279414	0.2194816599902179	0.08774073986922236	0.10666002717647864	0.07854303402719548	0.16543679127458694	0.12320022029629073	0.11935523608892995
Q0020	1.34834991061192	1.0366732927932352	1.6143197438743986	1.771740471211672	2.08231437513507	0.39597379959843887	0.776303957520152	0.3996255273107284	0.47763700724391217	0.9133907831800575	2.99841665368951	3.704554343669588	2.8472904485065085	4.912793086107758	6.420164204358091	4.718327975383966	0.7048416679147493	0.6183655625168172	0.43106630907011145	0.6906777922172267	0.6060420982838138	0.7080680723810979	0.38294661843166744	0.3424169409188892	0.4131394444472054	0.5149150458919545	0.3646222852438685	0.5149150458919545
Q0032	0.26841398788083826	0.24501143898526317	0.34310138635996845	0.24370094837661438	0.24937839023521208	0.39597379959843887	0.37081052947897053	0.3996255273107284	0.47763700724391217	0.39445885160376093	0.45251140107990856	0.5221136021476476	0.4701069672988748	0.4499277743875222	0.5136227744509562	0.45532081884020703	0.2177823064502422	0.17795800863226827	0.1906244124335485	0.1849719561948744	0.2181837281279414	0.2194816599902179	0.08774073986922236	0.10666002717647864	0.07854303402719548	0.16543679127458694	0.12320022029629073	0.11935523608892995
Q0045	1.041506451277662	1.146324935693401	1.4865764436362352	1.2270190340271596	1.2272924054486942	0.7036732217106971	0.6988512991120661	0.3996255273107284	1.2163938062409994	0.9927062818899346	0.45251140107990856	0.5221136021476476	1.0633814365732435	1.301521522414338	0.5136227744509562	0.9556970596810676	0.8650746418795932	0.8446552580624819	0.751440780449049	0.8004788721094613	0.8356982742397832	0.7870337952727623	0.5067789372920837	0.5261006204665526	0.633498935428027	0.44920533555021547	0.48444264554332894	0.5726735941565295
Q0050	2.18505663789754	1.7074601572429107	1.8612380207084178	2.76728142454407	3.351737516858998	0.39597379959843887	1.1273076555004564	0.3996255273107284	1.0959685486426314	1.0801891653884743	5.221787266494389	5.520114001898591	4.907260539092376	7.169528221370911	7.995929521708511	6.778931587152802	0.8793194081891753	0.8258673794683449	0.8120187433496416	0.8850775946086079	0.8729006504744858	0.8779527933016485	0.29013736778844246	0.3242061494563272	0.3453939386430118	0.16543679127458694	0.4239080135690584	0.5003363417104669
Q0055	0.894328237976615	0.9587247590326333	1.018835033714013	1.0752563764873915	1.5798089995288773	0.8641608440698615	0.8028737434219985	1.1960528943257536	0.9811009972619213	1.0090302689969575	1.7859792454706982	1.4404568212028275	2.251356168235578	3.2584190042146477	5.337772627779393	4.098547845405717	0.8289006896293571	0.8098199733079007	0.7711101213283064	0.7711101213283064	0.7965395780524327	0.7816791308210321	0.08774073986922236	0.10666002717647864	0.07854303402719548	0.16543679127458694	0.3538663323309392	0.4364767819601296
Q0060	0.9488282058133599	0.896880253932235	1.0878250298584473	1.2313965931659834	1.1906532162212238	0.9620965842295862	0.37081052947897053	0.3996255273107284	1.1344909342188643	0.39445885160376093	1.0883838121737388	1.0512428900155326	1.5171753506943437	1.8563991097203076	3.109744558465345	2.0637444066267934	0.47318685007670763	0.17795800863226827	0.1906244124335485	0.5122477069833963	0.2181837281279414	0.2194816599902179	0.08774073986922236	0.10666002717647864	0.07854303402719548	0.16543679127458694	0.12320022029629073	0.11935523608892995
Q0065	1.0925708299915189	1.0402883814425976	1.3891526911429875	0.8951537752034987	1.1359476891001865	0.39597379959843887	0.37081052947897053	0.3996255273107284	0.47763700724391217	0.39445885160376093	2.926866157875595	3.3445463428422366	2.0594808210581808	4.2429226017053105	5.0896485219664775	3.5526253504435306	0.6512577311349899	0.7245278415918915	0.1906244124335485	0.5903219836185399	0.2181837281279414	0.2194816599902179	0.08774073986922236	0.10666002717647864	0.22414836689987697	0.16543679127458694	0.12320022029629073	0.11935523608892995
Q0070	1.2382378230394284	1.2177858019290415	1.3493150358667165	1.5114584434002118	1.4350123561332704	0.39597379959843887	0.37081052947897053	0.3996255273107284	0.47763700724391217	0.39445885160376093	1.7388905553084066	1.2853111934132393	1.4803657663732914	2.1398579438332472	2.860527174399083	2.042157003639992	0.2177823064502422	0.17795800863226827	0.1906244124335485	0.1849719561948744	0.2181837281279414	0.5100252448678096	0.08774073986922236	0.10666002717647864	0.07854303402719548	0.16543679127458694	0.12320022029629073	0.11935523608892995
Q0075	1.650686436913227	1.4077374134244156	1.3865529091342668	1.554490940355091	1.617181751665188	0.39597379959843887	0.9436685549174398	0.3996255273107284	1.0448771166703292	0.9095472695856941	2.996007390635075	1.797095755306075	2.6859508493618796	3.848864756704672	4.434500900084604	3.1318081806803155	0.4725985543930875	0.4075865518146345	0.42901846709448554	0.419202242320631	0.2181837281279414	0.2194816599902179	0.08774073986922236	0.10666002717647864	0.07854303402719548	0.16543679127458694	0.12320022029629073	0.11935523608892995
Q0080	0.26841398788083826	0.24501143898526317	0.34310138635996845	0.5843525078306908	0.24937839023521208	0.39597379959843887	0.37081052947897053	0.3996255273107284	0.47763700724391217	0.39445885160376093	0.45251140107990856	0.5221136021476476	0.4701069672988748	0.4499277743875222	0.5136227744509562	0.45532081884020703	0.2177823064502422	0.17795800863226827	0.1906244124335485	0.1849719561948744	0.2181837281279414	0.2194816599902179	0.08774073986922236	0.10666002717647864	0.07854303402719548	0.16543679127458694	0.12320022029629073	0.11935523608892995
Q0085	0.6245602546499817	0.24501143898526317	1.1153582528348192	0.7529588563240752	0.6869215193599756	0.39597379959843887	0.37081052947897053	0.3996255273107284	0.47763700724391217	0.39445885160376093	0.45251140107990856	1.090563015008374	0.4701069672988748	0.4499277743875222	0.5136227744509562	0.45532081884020703	0.2177823064502422	0.17795800863226827	0.1906244124335485	0.1849719561948744	0.2181837281279414	0.2194816599902179	0.3118345931757945	0.3415689701232655	0.07854303402719548	0.16543679127458694	0.30853219322205705	0.36289849228081145
Q0092	0.26841398788083826	0.24501143898526317	0.34310138635996845	0.24370094837661438	0.24937839023521208	0.39597379959843887	0.37081052947897053	0.3996255273107284	0.47763700724391217	0.39445885160376093	0.45251140107990856	0.5221136021476476	0.4701069672988748	0.4499277743875222	0.5136227744509562	0.45532081884020703	0.2177823064502422	0.17795800863226827	0.1906244124335485	0.1849719561948744	0.2181837281279414	0.2194816599902179	0.08774073986922236	0.10666002717647864	0.07854303402719548	0.16543679127458694	0.12320022029629073	0.11935523608892995
