Gene	ERR391753	ERR391754	ERR391755	ERR391756	ERR391757	ERR391758	ERR391759	ERR391760	ERR391761	ERR391762	ERR391763	ERR391764	ERR391765	ERR391766	ERR391767	ERR391768	ERR391769	ERR391770	ERR391771	ERR391772
Q0080	0.5641168980150094	0.6523946361960001	0.28762989241247483	0.3110533168224849	0.39333242006532065	0.252291788408143	0.23223428275190774	0.49543834302570966	0.25745313646075263	0.33044580365872017	0.30853219322205705	0.2518792436918613	0.3874825560150803	0.42788142721462175	0.3760889185779608	0.3359352747643932	0.44920533555021547	0.3616092711581004	0.2797860024308806	0.46507559048819913
Q0085	0.5641168980150094	0.6523946361960001	0.28762989241247483	0.3110533168224849	0.8482129930445861	0.252291788408143	0.7666219002056411	0.49543834302570966	0.25745313646075263	0.8665607935252733	0.30853219322205705	0.2518792436918613	0.7561655349262256	1.1011851792284086	0.9373763553659082	0.3359352747643932	0.44920533555021547	1.0312999689813853	0.8771023698167957	1.1841375375342815
Q0092	0.5641168980150094	0.6523946361960001	0.28762989241247483	0.3110533168224849	0.39333242006532065	0.252291788408143	0.23223428275190774	0.49543834302570966	0.25745313646075263	0.33044580365872017	0.30853219322205705	0.2518792436918613	0.3874825560150803	0.42788142721462175	0.3760889185779608	0.3359352747643932	0.44920533555021547	0.3616092711581004	0.2797860024308806	0.46507559048819913
Q0105	0.5641168980150094	0.6523946361960001	0.6497093528782879	0.3110533168224849	0.39333242006532065	0.5993340729502326	0.23223428275190774	0.49543834302570966	0.6050820790119467	0.6798872843417263	0.30853219322205705	0.2518792436918613	0.3874825560150803	0.9299870381883784	0.3760889185779608	0.3359352747643932	0.44920533555021547	0.3616092711581004	0.2797860024308806	0.46507559048819913
Q0110	1.0799530459760436	1.118847622987004	1.0029088769594923	0.7625236240302671	1.226352706965762	0.8136879706838587	0.7875733845849976	1.2095497764982577	0.8732065158449756	0.894328237976615	0.6574487098445283	0.2518792436918613	0.8513296959887352	1.0339509093582673	1.090563015008374	0.7070077423458438	0.8330679527165431	0.9530174907651174	0.9539984879750607	1.6166161101325447
Q0115	1.122237704690186	1.4873374845814136	1.2010653935868956	0.3110533168224849	1.231197471938823	0.6027686139158706	0.9086249945996636	0.876125319931597	0.9724310915193812	1.0006964156986682	0.7724329019330936	0.2518792436918613	0.964905161425151	1.4765885146086457	1.1979786530147614	0.7416416778474374	0.8603163343069447	1.2120913438609757	0.9512716409235427	1.525972680249664
Q0120	1.2221955327338558	1.0890995863675421	1.825551722049143	0.7693347707752959	2.172601727044219	0.8986172710009974	1.1465424662557593	1.2511491066549485	1.5300949421571457	1.651415932515314	0.7802549391495825	0.6443474910865785	0.9021750899575208	2.8826939482571508	2.9383268816778667	0.7535988735485799	1.2351898182951724	1.8522239115971626	1.427924065328296	3.109744558465345
Q0130	1.555282055982441	1.5951594670009275	0.28762989241247483	0.9123594586163369	1.0448771166703292	0.7066668631962603	0.8283603683038511	1.303486047335719	0.9028068243237937	0.9019122172582668	1.0074419717763372	0.7634694021266656	1.2469044754481327	1.2952204478835547	1.0499492366344518	0.6704942472050175	1.089346706011919	0.8671945633127656	0.8959103052597331	1.9303438812689757
Q0140	0.9914647974923605	1.1216818276527338	1.0373185389997397	0.9835706714561551	1.1476553213012504	0.8330679527165431	0.9406949479641216	1.2286686726499745	1.1273076555004564	1.2078478808403994	1.0789248223624046	0.9007880486570734	0.9653762186839342	0.9302827804398033	1.0169543654888078	0.9433758537121245	0.8311324940980578	1.0661812234372912	1.0522498384391397	1.4953076693674554
Q0142	1.9917298221884745	2.031184821397736	1.1160724011384704	1.2931292287384748	1.3381055184069461	1.3454943073706578	0.8732065158449756	1.929803620629418	0.92876701345025	1.0659727792217333	1.120456103563166	1.1009587257684257	1.3419264189567408	1.265769505566802	1.341699874926771	1.3817753925185328	1.221389273347254	1.1861996809601945	0.9726796240381793	2.1935922532045895
