Gene	SRR7160762	SRR7160763	SRR7160764	SRR7160765	SRR7160766	SRR7160767	SRR7160768	SRR7160769	SRR7160770
YCL023C	0.22319517240113806	0.2549474735910296	0.22788627666264868	0.24198232101774375	0.3026573453092153	0.2918540556418754	0.18754090720369615	0.2675841852279284	0.29272595490377895
YCL024W	1.0247625142408519	0.8896081902722895	0.928467265200341	0.8565160279958075	0.9620965842295862	0.952156300092845	0.876125319931597	0.9825092148543371	0.9406949479641216
YCL025C	3.6601835005432726	3.456986556838361	4.032566056248245	2.9338981362407512	3.566878766244354	6.818983181604782	3.630112853845728	3.061952215618842	3.881007457996392
YCL026C-A	0.6570747776836745	0.6398770596186578	0.6199512487744979	0.5547901194855038	0.6362246869927217	0.7504586126648863	0.608878087870256	0.636866429345941	0.6649555724756122
YCL026C-B	2.445921075816677	2.6661784070842094	2.4711498545450308	2.4305939179975584	1.848990432645267	2.3883077229736207	2.5875034952487814	2.6101145829495556	2.6249599608305347
YCL027W	1.0925708299915189	1.0797602750252724	1.048005586328106	1.2434404156409642	1.0590570659798348	1.0849470554988228	1.1814485607104064	1.1376673830575217	1.0116284524620207
YCL028W	2.3889166486635425	2.4564300326943167	2.093462969424129	2.509091674408026	2.2455545352241177	2.4739120569869946	2.363026628901173	2.416124685029732	2.6937389984483806
YCL029C	1.3808728448729584	1.4639300209034913	1.3961145248755034	1.2792034702741537	1.5149233698512463	1.4124994222844922	1.322920318477379	1.3415110593736435	1.4937428567637814
YCL030C	7.697852681028998	6.420164204358091	5.872943687130077	3.7721338439157757	8.723349230426791	3.884587446503864	4.30480075709098	7.508504588196985	5.887129146400355
YCL031C	2.314148629464103	2.1935922532045895	2.5077083713576807	2.1591907354939264	2.5563300197530907	2.167409844250874	2.1684283873600028	2.154474082622977	2.1528004417926376
YCL032W	1.65558478503648	1.891495250699825	1.8299362092797058	1.5222263822240674	1.600597257338201	1.5346420453957437	1.6260871805379453	1.796676021577466	1.8701981601212319
YCL033C	1.2577251349533207	1.5305656521946058	1.5941107068372804	1.7919214061717643	1.1968535960958713	1.5624934028355937	1.4538780860818183	1.4880607147368214	1.8628178994998508
YCL034W	2.4192254198375087	2.619872287351999	2.227381427117833	2.3915423768985846	2.187841788597569	1.9958055702926467	2.194556624628719	2.561049435546979	3.0172071134011933
YCL035C	3.090984962855438	3.683662540354722	4.078116863742302	4.5254686938241555	2.549373727879057	2.9102008712412104	3.843505593874686	3.637563437356669	3.7753460665728644
