1332	4
2	97	1078
2	97	2483
2	98	153
2	98	588
2	98	997
2	98	2487
2	99	445
2	100	387
2	100	395
2	101	153
2	101	388
2	101	406
2	101	2732
2	101	2784
2	102	104
2	102	106
2	102	231
2	102	404
2	102	1309
2	103	186
2	103	191
2	103	1019
2	104	901
2	104	956
2	105	774
2	105	1517
2	105	2718
2	105	2720
2	105	2722
2	105	2724
2	106	229
2	106	963
2	106	1504
2	107	127
2	107	1003
2	107	1070
2	107	1234
2	108	188
2	108	794
2	109	540
2	112	190
2	112	257
2	112	265
2	112	611
2	112	653
2	113	425
2	113	1219
2	114	169
2	115	2819
2	116	240
2	116	2807
2	117	932
2	118	500
2	119	626
2	119	635
2	119	1027
2	119	1096
2	120	326
2	121	152
2	121	532
2	121	865
2	121	1100
2	121	1138
2	122	315
2	123	194
2	123	425
2	123	524
2	125	146
2	125	381
2	126	894
2	126	1084
2	128	1061
2	128	2447
2	129	1002
2	130	204
2	130	963
2	131	200
2	131	919
2	131	1283
2	131	1444
2	131	2667
2	132	222
2	133	1081
2	133	1480
2	133	1509
2	133	1822
2	134	177
2	134	718
2	134	1145
2	134	1679
2	136	220
2	138	530
2	138	1133
2	138	1554
2	138	2456
2	141	769
2	141	2468
2	141	2561
2	141	2562
2	142	205
2	144	536
2	145	313
2	146	609
2	146	1128
2	148	847
2	150	2585
2	151	279
2	152	874
2	156	871
2	157	594
2	157	936
2	158	262
2	158	263
2	158	655
2	158	1224
2	160	473
2	163	241
2	163	377
2	163	925
2	164	191
2	164	209
2	164	411
2	164	979
2	166	186
2	166	261
2	166	1900
2	167	2863
2	169	270
2	171	215
2	173	226
2	173	2564
2	177	823
2	177	1842
2	177	1847
2	177	1848
2	177	1849
2	177	1850
2	177	1857
2	178	215
2	178	625
2	181	669
2	184	640
2	184	1086
2	184	1265
2	184	1425
2	184	1429
2	184	1435
2	184	1441
2	184	1444
2	184	2194
2	184	2301
2	184	2449
2	186	235
2	187	253
2	189	2484
2	192	2632
2	193	275
2	193	445
2	194	249
2	194	283
2	194	285
2	197	353
2	197	1507
2	199	2670
2	201	239
2	201	370
2	202	205
2	202	675
2	202	1767
2	205	483
2	205	627
2	206	1150
2	207	1009
2	209	388
2	211	226
2	211	1328
2	212	316
2	212	580
2	212	594
2	214	1238
2	215	277
2	215	431
2	215	450
2	217	299
2	217	635
2	217	900
2	217	1082
2	220	413
2	220	1300
2	221	1216
2	221	1300
2	223	271
2	227	254
2	227	595
2	229	333
2	233	395
2	235	279
2	239	408
2	240	2848
2	241	1611
2	246	1003
2	247	667
2	248	264
2	251	268
2	252	330
2	253	379
