	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YLR188W	497.0382674	-0.304901541	0.096242977	-3.168039373	0.001534707	0.020832166
YIL117C	477.3783082	0.301168043	0.095115182	3.166350906	0.001543645	0.020905859
YOL159C	263.0637882	0.291561644	0.092124276	3.164873113	0.001551506	0.02096468
YGR186W	836.2207006	-0.195273021	0.061721839	-3.163758966	0.001557457	0.020997483
YBR223C	171.6176557	-0.453786992	0.143533573	-3.16153902	0.001569378	0.021077804
YOR301W	248.1576728	-0.493249176	0.156058049	-3.160677573	0.001574026	0.021077804
YPL169C	599.1242382	-0.210343568	0.066540618	-3.161130366	0.001571581	0.021077804
YLL016W	542.0226145	-0.249538921	0.079030622	-3.157496598	0.001591301	0.02126135
YHR059W	254.7651013	0.316340442	0.100306801	3.15372875	0.001611988	0.021483945
YIL009W	369.6767098	-0.352214258	0.111702243	-3.15315295	0.001615172	0.021483945
YPL132W	411.2446452	0.237860278	0.07558416	3.146959332	0.001649779	0.021895397
YCR007C	278.4408954	0.324887276	0.103343741	3.143753777	0.001667957	0.02208746
YIL143C	652.4439288	-0.239825731	0.076410874	-3.138633519	0.001697376	0.02242719
YHR072W	552.6881596	-0.334329745	0.10669112	-3.13362298	0.001726625	0.022763189
YDL144C	291.751748	-0.410395762	0.131076189	-3.13097111	0.001742293	0.022919037
YLR120C	758.1357672	-0.243727406	0.077919257	-3.127948262	0.001760312	0.02310506
YGL036W	634.6920925	-0.262154991	0.083831733	-3.127157012	0.001765056	0.023116419
YPL249C	542.6822806	-0.352738709	0.112896046	-3.12445582	0.001781343	0.023278555
YKL011C	462.5890285	0.266689271	0.08537725	3.123657323	0.001786183	0.023290738
YER007W	319.1820273	0.283372285	0.090809203	3.120523861	0.001805297	0.023488566
YNL059C	711.5431447	-0.215812275	0.069216463	-3.117932713	0.001821244	0.023644426
YER069W	676.7254	0.329589633	0.105773383	3.115997851	0.001833236	0.023710809
YLL033W	221.5310019	0.304447116	0.097709974	3.115824349	0.001834315	0.023710809
YLR427W	622.0088748	-0.208820436	0.067105259	-3.111834154	0.001859289	0.023910657
YPL144W	219.0262019	0.311612699	0.100124806	3.11224272	0.001856718	0.023910657
YPR042C	653.2332	-0.37443942	0.120343052	-3.111433626	0.001861813	0.023910657
YFR023W	91.44517796	0.479871967	0.154394945	3.108080823	0.001883066	0.024079803
YJR119C	422.435333	0.267920691	0.086186996	3.108597618	0.001879775	0.024079803
YNL154C	737.9761153	-0.226441049	0.072892282	-3.106516134	0.00189306	0.024155767
YDR490C	374.6850479	-0.366856419	0.118124159	-3.10568492	0.001898389	0.024172006
YKL100C	613.8337471	-0.227382601	0.073234054	-3.104875244	0.001903593	0.024186589
YBL107C	366.0001089	0.262545869	0.084609388	3.103034734	0.001915472	0.024285734
YLL008W	769.0205305	-0.261130962	0.084223778	-3.100442264	0.001932319	0.02444732
YEL015W	659.8627766	-0.203799764	0.065808372	-3.09686682	0.001955777	0.024611825
YMR015C	645.8795126	-0.215860639	0.06968899	-3.097485554	0.001951699	0.024611825
YOL159C-A	114.922794	0.404388295	0.130598413	3.096425791	0.001958689	0.024611825
