Gene	SRR6205709
YAL021C	1.5183164980346782
YAL022C	1.0791447002806396
YAL023C	4.885386457456268
YAL024C	1.231197471938823
YAL025C	0.7652244824365043
YAL026C	1.9564472112067244
YAL026C-A	0.7382097427919292
YAL027W	0.8298861439003666
YAL028W	1.3721390120068615
YAL029C	1.6059044826988853
YAL030W	1.9176925829077895
YAL031C	1.659343396514644
YAL031W-A	0.5910963499690248
YAL032C	1.1474186259876649
YAL033W	0.8642875789071485
YAL034C	5.250141620448647
YAL034C-B	0.04988706249273001
YAL034W-A	0.7885627234781627
YAL035W	4.598872442713249
YAL036C	1.9136837376474125
YAL037C-A	0.1840877718907294
YAL037C-B	1.696452216209529
YAL037W	0.8910687358889331
YAL038W	9.051584127962045
YAL039C	2.4676171592613145
YAL040C	1.5412233389357999
YAL041W	2.0520611072252235
YAL042C-A	0.862990674074742
YAL042W	2.543384066391572
YAL043C	2.1227317660179015
YAL044C	1.576624483743108
YAL044W-A	0.9581545846567737
YAL045C	0.04988706249273001
YAL046C	0.8613093160049995
YAL047C	0.8891103393145205
YAL047W-A	0.4267726361660512
YAL048C	2.0630666974781064
YAL049C	2.2868599378007954
YAL051W	2.3622178886391603
YAL053W	3.5359051707531277
YAL054C	5.8564405476230075
YAL055W	1.0496273878921056
YAL056C-A	0.24370094837661438
YAL056W	2.6713800948005644
YAL058W	1.079550625831193
YAL059C-A	0.04988706249273001
YAL059W	0.8177437378760908
YAL060W	3.463163532530407
YAL061W	1.3941567035704758
YAL062W	2.320239405552545
YAL063C	7.831837126769764
YAL063C-A	0.5466613926135004
YAL064C-A	0.04988706249273001
YAL064W	0.7831893122957334
YAL064W-B	0.7631502991969012
YAL065C	0.7802549391495825
YAL066W	0.34692584321605996
YAL067C	0.8695259637954015
YAL067W-A	0.7447037781382359
YAL068C	0.40923602538379145
YAL068W-A	0.04988706249273001
YAL069W	0.04988706249273001
YAR002C-A	2.33322763555672
YAR002W	1.5891609818101426
YAR003W	1.7137997630704314
YAR007C	3.2330850282522183
YAR008W	0.9070979497234906
YAR014C	1.6862443192545191
YAR015W	1.3833427753907306
YAR018C	0.927923912190785
YAR019C	1.771740471211672
YAR019W-A	0.40252220887303714
YAR020C	0.4053884074136771
YAR023C	1.0781367625559426
YAR027W	0.23048617174591496
YAR028W	0.7980291658959144
YAR029W	0.953744132319601
YAR030C	0.5877742088289648
YAR031W	0.04988706249273001
YAR033W	0.04988706249273001
YAR035C-A	0.1840877718907294
YAR035W	1.6149316160392062
YAR042W	3.2027544569151765
YAR047C	1.31304750528993
YAR050W	1.577736698775483
YAR053W	0.3002250076061868
YAR060C	0.36121594260780715
YAR064W	0.04988706249273001
YAR066W	0.04988706249273001
YAR068W	0.8104837775900818
YAR069C	0.33640235800761353
YAR070C	0.04988706249273001
YAR071W	0.8965296497524815
YAR073W	0.23937424086159717
YAR075W	0.04988706249273001
