	14251X1	14251X2	14251X3	14251X4	14251X5	14251X6	14251X7	14251X8	14251X9	14251X10	14251X11	14251X12	14251X13	14251X14	14251X15	14251X16	14251X17	14251X18	14251X19	14251X20	14251X21	14251X22	14251X23	14251X24
YHL031C	136.00758562093074	128.40359881562787	115.1297737389552	134.84211286571613	117.82497048693406	155.8727130111906	125.5725142288164	135.32272106911356	103.6104514438935	134.3541101449356	109.76151591667625	148.91093590216127	121.3728068272669	130.38004157281605	122.51893760385347	154.03133693153438	114.47261860082799	129.98991857570905	116.58463437863442	132.369462211867	113.01284716700908	142.33687027532417	109.51657744229907	128.58165108349993
YHL032C	235.85881155583152	239.470654041165	129.256968928725	248.46780937144194	110.72517849620094	249.49827777733344	239.53211840610658	230.86525865896172	140.06616445791983	229.00666505966612	96.82185506749335	252.42866793715956	242.7977721447905	218.5554503304012	101.39052337397665	223.87009152911588	80.11891056365047	294.6995031750795	232.72609245301442	203.7519470695754	105.58929930415056	203.91431027109033	69.19809535361256	301.4118057996793
YHL033C	386.24518820267673	351.87624566212264	454.27276228580325	387.50743114807744	380.621028433055	396.85607496430606	371.84745971417743	373.3174814966701	383.5198942128533	386.7739431705341	381.74600176268314	396.4378332764969	365.15196881785766	388.3639389259114	452.3557477654397	424.0188488564711	437.98013669170336	363.6852552667648	422.08455431798757	429.26381081648407	415.0533963721961	472.2942489713299	489.22381588835594	402.78034152698444
YHL034C	195.92801727245333	184.3293850185283	237.82199339997905	192.89913368289947	189.18237526786004	203.3200781986248	185.08515633324876	190.03653730384778	184.00908656830742	196.46896263430722	190.78479709165515	208.04377082538196	185.5060171386952	196.6195229211265	236.5082112253283	217.30966003894144	190.0660420740304	193.66741247259358	224.192916210025	227.33434835077625	198.94446762399787	238.03278536202143	210.38143156813598	221.68429103470083
YHL035C	79.70591344427741	62.30925828854544	73.1218877182026	91.32391109824334	116.30060299084442	86.91030369670945	86.31422234936879	66.03984644767198	75.07509920050919	80.61794299822242	100.18043399407375	66.59061403855209	84.51499724896064	76.983865058613	75.15465082962078	58.91772240072428	111.94409916956793	76.0848481432694	77.8732699471914	69.42898885306676	84.51707997990631	60.73461298068295	100.80479296107343	67.29164064285892
YHL036W	43.392854749713734	27.10065407492287	78.97062365474723	20.766823289445732	82.27117623934183	28.049293488417877	32.48752111165886	27.534018257850583	104.46683515330201	18.23366826417908	92.91990117544145	35.820064060528814	46.26260015550306	28.181493450817744	88.25993366224044	24.331883309907205	99.36923483175683	48.23072175595017	36.34140956093492	29.803379036899916	125.86229662549154	22.477896016169765	86.39542791195763	47.44291494700511
YHL038C	141.44266137227999	148.34006293214898	103.2405552744095	119.85965588063655	122.63598983334865	100.69600580672632	145.6984934354463	141.20093711921226	116.76983737901341	124.76204610314355	122.03048749895405	117.22199109043987	152.041784454195	126.07550035740229	113.42760561352691	104.6960120633262	109.35755047842575	107.68156084438675	131.4083638738602	128.00876784343694	117.58916986710526	98.6529880709673	102.74350947976713	102.64823672441987
YHL039W	184.44321575951687	184.3650042233628	173.42489549045993	195.52106365528837	196.60604031368337	188.79172478481	187.69601940809457	192.50256327287428	190.19521881788214	187.88605993958444	193.0757946550746	204.0739711458507	183.7484649970826	166.344061933539	213.41143903104913	190.99283800665393	194.40931057845208	198.4950639139394	158.19638080300857	157.39099679432417	210.59043242529506	171.5817015637041	198.23750012389266	182.62321458236224
YHL040C	93.39104547804544	104.43317288918587	71.37379840048169	114.72632225787977	145.53992035252662	87.18272205580377	96.87808838601524	95.93370316957925	78.89564759846262	122.86708786520467	143.4534867749276	97.30381363316825	96.73364906434726	90.92599173472321	83.19009335848412	82.5794085969652	163.0379697546963	129.13982943163398	84.14088013566212	83.0595368928433	98.28535875586793	80.89715259935058	155.23061259325152	126.06298570288158
YHL042W	36.057268363681004	49.21651945519525	38.98734930444879	35.114070269346215	60.29712505991609	62.10085658701373	31.08571285778713	42.918401343926114	48.01410154329651	39.255528041881384	56.339319338698644	59.48459909676971	40.242190211654986	50.120632594160796	41.158719272744115	57.00662192044608	65.0473365477026	41.28443857099346	32.999160937964604	44.83262625401709	43.82035363883746	54.76048566893966	56.23851262046816	46.96116669165036
