	14251X1	14251X3	14251X4	14251X7	14251X9	14251X10	14251X13	14251X15	14251X16	14251X19	14251X21	14251X22
YDR309C	237.9843132	164.0806925	236.7228754	228.7514317	182.7252113	232.0726614	190.8354194	215.3893108	147.1131108	152.2976964	209.5323025	166.6403674
YDR310C	129.8014918	113.5261008	137.311011	125.8821505	118.3277816	128.0866229	124.4216104	100.0849757	77.18228426	106.5973574	119.7644409	73.46553556
YDR311W	176.7789097	163.6915683	162.1587892	176.9071069	167.1329317	176.4279665	180.8153438	151.9267181	175.6771604	168.6602588	180.6711039	172.3512112
YDR312W	179.801021	170.2984872	203.6586373	189.685235	186.3635887	209.9952227	186.1907875	188.160891	210.6231504	189.2360154	181.0098432	233.8706585
YDR313C	224.1239829	182.9096244	216.7259813	236.7557322	172.4523165	236.8044708	227.0260249	180.4719179	260.2243653	221.1525145	183.7441118	279.692873
YDR314C	81.02126074	64.32832447	85.12569364	93.05809698	68.52783152	75.99995436	88.23524893	58.57183786	66.11730605	77.64506823	62.86389571	65.08871662
YDR315C	121.3920788	131.8402757	114.5068643	127.8263918	162.2388523	100.6666062	145.6594596	136.8323807	139.9757193	132.5566291	144.7566333	145.7138059
YDR316W	225.4026038	195.1035994	230.7376527	241.0216012	192.3651112	238.8097435	247.4691267	186.7935331	253.3763557	260.384148	196.3129273	228.0659938
YDR317W	151.4274508	120.9847998	134.8067043	145.0010006	125.4994947	133.8437134	136.010795	137.5817366	156.0191106	116.1453805	156.1547326	151.3536324
YDR318W	185.1799272	164.2551139	149.2831808	184.9385415	180.0068031	156.0367059	186.98212	174.0936316	169.5020171	178.3109308	192.9427015	157.2425672
YDR319C	200.5608258	209.5998523	172.9475796	206.7054369	203.494097	158.73115	223.8936141	216.6847085	202.1267353	204.0448075	210.2235748	165.2206541
YDR320C	91.22936226	105.2169446	115.36349	91.57232092	125.2788364	97.83121725	114.200339	69.16400796	72.52062262	112.7403804	68.23656312	66.57539872
YDR320C-A	230.9488297	262.529108	240.6715472	248.3899205	257.8331202	241.1050349	238.6658771	245.9590315	275.3211137	330.2834715	262.2039902	322.4745875
YDR321W	236.8763662	230.118107	247.0812328	225.6829054	244.0395788	248.3499801	200.5456328	259.3825938	206.801436	193.3517229	268.637187	194.8247553
YDR322C-A	283.6213698	267.5012502	268.4219352	287.816892	241.6859955	272.9490961	287.3934937	256.7020696	327.8536481	401.7790968	240.0770712	399.5538792
YDR322W	277.6340943	228.6678695	286.7657933	292.9524434	211.0837604	276.6579586	277.1640512	227.2352449	305.4473995	289.8602679	240.450551	302.8666097
YDR323C	135.2547544	123.3643725	115.9349545	134.6266798	122.5503102	126.6461341	146.1552264	104.3519671	125.7053616	143.4055061	121.3600044	132.0194066
YDR324C	187.4350476	171.4646504	193.5166845	169.3334255	199.1198673	195.140668	183.1767735	188.8040148	161.3021256	157.3468674	186.574604	140.2473621
YDR325W	116.1410904	93.42553715	100.0712973	104.5518798	98.5729344	99.23030349	112.0116192	92.15241967	72.24999529	98.2203266	92.20490355	73.09852024
YDR326C	101.7237119	118.0020732	98.34852548	94.71665979	134.7797773	98.98660562	116.0765302	117.174408	66.95200831	102.7969778	123.3375102	56.4232043
YDR328C	182.2204553	250.9127758	180.3529644	194.0121018	194.0973814	187.1727627	184.7020438	243.0618637	230.6749008	253.6252868	207.4251796	287.2689656
YDR329C	285.9219305	287.3729643	271.6715954	299.5447454	294.056003	279.7000028	300.7257471	275.3514472	322.3826265	308.1367035	284.237151	324.563096
YDR330W	215.0243469	183.0130801	210.3692878	217.9951374	174.8637444	210.1066493	192.1661912	195.2014382	203.2410237	171.746393	196.589165	194.6645376
YDR331W	227.9978559	228.7645262	194.0281467	222.9902906	221.7662907	195.5346319	220.8004256	231.6731112	206.6911387	216.8676125	235.517391	191.2388418
YDR332W	163.2818619	118.0893014	150.5329599	158.1622489	124.731165	153.5324573	146.3935677	135.3988546	159.6375416	125.6974197	148.7521202	147.9482648
YDR333C	169.9375599	144.6027264	169.9397957	167.6727351	158.359439	175.1961439	154.5554027	158.420598	144.7227425	142.3177513	171.9475738	135.5255906
