Gene	SRR935051	SRR935052	SRR935053	SRR935054	SRR935055	SRR935056	SRR935057	SRR935058	SRR935059	SRR935060
YHR047C	2.8901765989780808	2.5290090082754535	1.3332888640237497	1.3472533609465314	1.7347940284086718	1.6375834051364861	1.5724050148468607	1.2255067187929871	2.481093845262535	2.7543924964201825
YHR048W	1.172512432878456	1.244238157049767	1.0329997610471742	0.9605843630498654	1.3898996397560617	1.9014183717896889	0.8796746001264203	1.1214769590037348	1.4596887570581965	1.344230397307291
YHR049C-A	0.3586259894623447	0.2978374008712847	0.4480760358065964	0.41143772158823794	0.6963316838455941	1.002437939567922	0.7842169212265224	0.5280196351419916	0.49898499032254484	0.8744615318332807
YHR049W	0.7996638622636508	1.4596887570581965	3.699341826095057	3.6675768122148122	6.41573750131383	4.6342467952914115	5.121122411103784	3.953179398659093	1.9507385036289615	3.2008339971124427
YHR050W	1.881264171837932	1.4665796963302635	2.18698488230473	1.8790499524375575	3.5103994774816165	3.6011520711587917	2.89588992947028	3.116126717798925	3.0767255307004113	2.345933785178845
YHR050W-A	0.9603276572926333	3.2781861611644514	4.51658948287027	3.8683851451790807	7.688236127974032	6.028999480397491	6.460765726030308	5.47704237147056	5.887129146400355	5.629882057012521
YHR051W	1.7878778516575693	1.832534075851374	1.2577251349533207	2.010184835262003	1.220876438184225	0.5995759265040432	1.887442807241368	1.3501417714551156	0.9858699957457125	1.3917914297836647
YHR052W	1.1004544921777089	1.708706861322224	3.917849106492046	2.2880514994176746	2.674026526101552	4.434500900084604	2.9806295482895804	3.6011520711587917	2.922357551865955	2.2880514994176746
YHR052W-A	0.7218137655439621	2.2369944394642682	0.4480760358065964	0.41143772158823794	0.39333242006532065	0.5995759265040432	0.3996255273107284	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR053C	3.6093498140072957	6.563745911731264	3.8914082791385933	4.313045056291725	2.0637444066267934	1.8044847439848257	8.402473079183633	8.265560931278268	5.403304302839852	7.20548345771346
YHR054C	1.9381653350148391	1.5748687418722729	1.5356795378097785	2.2278135131258057	6.210038370703174	6.390453889385295	7.797260870173277	7.432910941786997	7.548142523983204	7.797260870173277
YHR056C	1.3583839012292367	2.9308355838401385	2.734203401659468	2.0947772640240947	3.2646395883405956	0.9761061311399981	1.361105360138553	1.7176861595533015	1.24032210556528	1.56620295998521
YHR056W-A	0.3586259894623447	0.2978374008712847	0.4480760358065964	0.41143772158823794	0.39333242006532065	0.5995759265040432	0.8523206757125606	0.5280196351419916	0.49898499032254484	0.479205044214121
YHR057C	1.116624336719814	1.6448702755279525	1.2092121480210518	1.050415353929273	0.7374435022249619	0.5995759265040432	1.00507137768588	0.995548616578392	0.8215637443899415	1.0747837928505608
