Gene	SRR4453398	SRR4453399	SRR4453400	SRR4453401	SRR4453402	SRR4453403
YDR381W	3.58023119405639	4.288460596700451	3.4183685692986354	4.178225009887985	3.6565827010673946	3.9267861535639867
YDR382W	6.822758654857034	7.224156693639491	6.987479518228259	6.404611490362076	6.341596515337765	6.269069423560913
YDR383C	0.9643850168841015	0.995548616578392	0.9443910617240242	0.7839097186786672	0.931344610125167	0.7813446558824603
YDR384C	1.8578549830639373	1.6049824934633983	1.659343396514644	1.6214477335726754	1.4430082859274151	1.6125525588231224
YDR385W	10.117553934834259	9.959292194791908	9.819641498961985	9.819641498961985	9.677795271612801	9.644976805209001
YDR386W	1.1275507943249616	1.289611131726206	1.2938622069087886	1.4396230739025615	1.320775341501867	1.2732898267835768
YDR387C	1.4114164461051828	1.4396230739025615	1.7808879707002485	1.5627580352839003	1.5332441017512193	1.6741048336912163
YDR388W	3.953179398659093	4.594149847896719	4.5666376645655	4.424589716397296	3.942850321874581	4.019141763404134
YDR389W	2.684711379553165	2.658212472017074	2.8691090569799953	2.914823948128824	3.1221217591635604	2.822342545434691
YDR390C	1.590813744916613	1.4101337527096889	1.6107091857030602	1.6835046411755354	1.5110195573631333	1.5739627187673613
YDR391C	1.14376341605448	1.172210515363369	1.06830198861666	1.2728624809512972	1.1841375375342815	1.1569876338982334
YDR392W	1.132730180124974	1.1163392851501983	1.084521568926953	1.0438751793849514	1.4623320650927012	1.1347591021323722
YDR393W	1.2234023879045575	1.292629221556809	1.0477793969576745	1.1671076515964705	1.301956297413646	1.0470982094889185
YDR394W	2.6853289484529004	3.1468027583825147	2.7761587750330166	2.6661784070842094	2.663878680608063	2.663878680608063
YDR395W	3.888548058979756	3.5717854819093073	3.400935700519169	3.1748756757950787	3.6642445631757017	3.104228067703967
YDR396W	0.5643480776252439	0.16722359859766345	0.3538663323309392	0.43257021506244064	0.5697006822269474	0.1982366169566866
YDR397C	1.5724050148468607	1.4709175308882536	1.4242383984545546	1.6076677334877427	1.583056645141016	1.5703530468883902
YDR398W	3.912207746195648	4.044020079094437	4.1227741795041375	3.3813314606934197	2.783611800044904	2.778769165666725
YDR399W	2.796620594262447	3.2502874400670088	2.674026526101552	2.0004403289447437	1.8315837990081727	1.659343396514644
YDR400W	1.6027406225063694	1.4998174986827606	1.4883610245068999	1.4268929063066733	1.6393361490978287	1.4920575064877233
YDR401W	0.5155696121736053	0.693194842168367	0.6497093528782879	0.7201504356193501	0.7398670240422394	0.6546719032906024
YDR402C	0.716988059776866	0.6606734301099234	0.8370227942808791	0.7053752326280365	0.5867755385109489	0.6996539401835988
YDR403W	0.7704130611401838	0.7494885937549158	0.7885627234781627	0.723731725741241	0.6262243422583955	0.6606734301099234
YDR404C	1.543550238161289	1.4826318643086758	1.409720059154568	1.2817887660317409	1.1329696347084919	1.2103353834462247
YDR405W	1.205683372802935	1.3074560261431245	1.3837061961050086	1.4724543612218643	1.1727605352718977	1.2987604570715638
YDR406W	1.9664742396307613	2.042157003639992	2.638904468693111	2.6824630766988307	2.2225125325132287	3.1137288486803
YDR406W-A	0.1387442421760785	0.16722359859766345	0.38641335926509857	0.15064317975039856	0.5088676159956668	0.1982366169566866
YDR407C	2.214798585085746	2.2531659301002813	2.3504485299121685	2.5951525094155894	2.774753342040164	2.7288681341174073
YDR408C	2.112241813731617	2.45011234097804	2.3215330228534823	2.4290492322557995	1.978222771080993	1.989125188474285
YDR409W	1.6511505225310124	1.6706460461163535	2.0144356144853104	2.1029149319350013	2.022945143078334	1.9669141648565456
