Gene	SRR5130645	SRR5130646	SRR5130647	SRR5130648	SRR5130649	SRR5130650	SRR5130651	SRR5130652	SRR5130653	SRR5130654	SRR5130655	SRR5130656	SRR5130657	SRR5130658	SRR5130659	SRR5130660
YGR217W	4.677605205462388	4.7168874482053935	4.374180222914072	4.613381672059232	4.391961552362714	4.47521315809601	4.3653137888934594	4.4314345936299535	4.434500900084604	4.447843680683482	4.2051015407296415	4.3077137918307145	4.427127418479231	4.1736600078265536	4.284029468580286	4.292977271303842
YGR218W	4.775476119370002	4.540048371986402	4.706768260507264	4.606360086603037	4.7431600173775035	4.720626624516148	4.662216311577415	4.568864649693825	4.718327975383966	4.737168719992216	4.5666376645655	4.5552769872289876	5.310883878328428	5.300869040247081	5.214611347083714	4.924543313757944
YGR219W	0.6655667542557178	0.3918245306433088	0.5761709952019751	0.6359528080888794	0.6308077725710624	0.410186117658609	0.47855923799327377	0.4664015668583501	0.4239080135690584	0.43336761031276416	0.13204734766811826	0.3354681915211728	0.4261388880847253	0.12106887432450303	0.11286483774357095	0.3159814403986993
YGR220C	1.6639585492869733	1.7379309142590058	1.741325538846796	1.6895283550083815	1.6772352139314322	1.6741048336912163	1.7070084410825748	1.6032861080107481	1.4008956653499656	1.3027691159001593	1.4202205763178386	1.2689983176949862	1.244238157049767	1.316498158563824	1.2465174617581214	1.2675874228146211
YGR221C	1.1356735830608384	1.2351898182951724	1.231197471938823	1.258472281617596	1.075008257028819	1.0512428900155326	1.0226484346343898	1.036160896542529	0.9750340639957991	0.9111999269855091	1.1160724011384704	1.001690533988641	0.997873050563714	1.0119208417836951	0.9532722836168845	0.8755715131463493
YGR222W	0.8803123530628553	0.8887849000597298	0.7736688957490465	0.8248501112006414	0.8844223905642884	0.7786976884204939	0.9037437787691492	0.8846969180050994	0.8044481977040198	0.7897394191461826	0.8671945633127656	0.904377624425699	0.7561655349262256	0.755529745016853	0.7294391461039643	0.8234718657291354
YGR223C	1.5023382484931724	1.5901457059022328	1.705591203277634	1.7150233038725329	1.5352227310833466	1.5653708153348613	1.605634556035689	1.4783550709342514	1.6839479329782143	1.7126121832288004	1.4639300209034913	1.4114164461051828	1.5168507687864985	1.582506676160898	1.6757011009512879	1.5446999455982877
YGR224W	0.9115523589588224	0.8439905237239026	0.8319350059758738	0.8956556887395885	0.7432099448077477	0.8575383665791803	0.9730493947980918	0.8641608440698615	0.9224321032600584	1.004205369564123	0.9254123790045692	0.9490643106610751	1.2201474694150252	1.1858938940895598	1.2544562546770555	1.1258806257292258
YGR225W	0.5746301193985393	0.6231345164258137	0.4398883121661674	0.5784979869452672	0.5652730428570533	0.6121137823197269	0.18586035592533104	0.5697006822269474	0.5537454882743363	0.48444264554332894	0.3327291998375489	0.30853219322205705	0.44847479500976695	0.3174967843329979	0.11286483774357095	0.5261006204665526
YGR226C	0.15928145106462283	0.15970639612429635	0.13518834136242275	0.1315714109498392	0.1502008388231782	0.15883724427605972	0.18586035592533104	0.1849719561948744	0.12320022029629073	0.13790294707669554	0.13204734766811826	0.11461246829792553	0.11204621558970992	0.12106887432450303	0.11286483774357095	0.11037020802816774
