Gene	SRR333731	SRR333732	SRR527798
RDN25-1	11.00159888932874	10.912307204971501	11.237759902083965
RDN37-1	0.060793829540498126	0.09407668303879667	0.07225061366584558
RDN5-1	0.7916112239034648	0.6055903552183867	0.9160118920602489
RDN5-2	0.060793829540498126	0.09407668303879667	0.07225061366584558
RDN58-1	1.1435093002611563	0.8717697871140392	1.1235448971309427
RME2	1.7230922401486786	1.7007398320863545	1.4783550709342514
RME3	0.060793829540498126	0.09407668303879667	0.567044210286691
RNA170	0.27279799624981266	0.46221853156716114	0.6468313922221081
RPR1	0.3594340560827053	0.3674912453329242	0.6291632349840129
RUF20	0.361989692784645	0.46221853156716114	0.4752234640684301
RUF21	0.8305192682372128	0.827187089791005	0.7885627234781627
RUF22	0.060793829540498126	0.09407668303879667	0.07225061366584558
RUF23	0.27279799624981266	0.09407668303879667	0.07225061366584558
RUF5-1	5.260201127514564	0.8891103393145205	0.8025121228772572
SCR1	0.618856602281112	0.4454682707819951	0.5721455431645113
SRG1	1.1695440796691359	1.4815693909016412	1.9389618087709106
YAL001C	2.416124685029732	2.396913668031665	2.1617366919486116
YAL002W	2.3396416521446395	2.1156705841348367	2.029679433003224
YAL003W	5.317442405254187	4.973675280173218	5.939567988901661
YAL004W	6.998942911766678	5.137761177973639	6.41573750131383
YAL005C	9.677795271612801	8.76194299762172	9.603361528118322
YAL007C	1.3399981673988017	1.4449375585938742	1.5297609958201808
YAL008W	2.1382576406131837	2.190921452500358	2.2225125325132287
YAL009W	1.1103122698930903	1.1359476891001865	1.1316530901558473
YAL010C	1.3189390371196414	1.5370522846516337	1.2392968370927473
YAL011W	1.6076677334877427	1.377642708602242	1.3120094869788466
YAL012W	1.372294235541082	1.1487523866940879	1.6184471035842758
YAL013W	1.7030023944018917	1.4855531858077256	1.3878538518315473
YAL014C	1.2480564998957857	1.0883838121737388	1.3251833451447748
YAL015C	1.2112873315449775	1.0595443395303565	1.0266135223538781
YAL016C-A	1.5877648589418376	1.7067896939272929	1.876231859113352
YAL016C-B	0.42828812503704794	0.5751585640445531	0.444045522890658
YAL016W	2.875774181640162	3.553242747647515	3.575855586305434
YAL017W	4.391961552362714	4.472001333836484	3.6311670536220646
YAL018C	0.18669373457013394	0.09407668303879667	0.07225061366584558
YAL019W	2.0205315969304243	1.8978564879187836	1.4790898830464438
YAL019W-A	0.6373163842297073	0.608878087870256	0.5234740095588416
YAL020C	1.2505964750371605	1.2811111637841572	1.1017858640462195
YAL021C	3.303047795723412	3.5359051707531277	3.275488389083631
YAL022C	1.6181759242051386	1.7257446134378525	1.875567732715394
YAL023C	4.702515079093773	3.888548058979756	5.608168300747229
YAL024C	1.3857417910068945	1.3898996397560617	1.1587365860091836
YAL025C	1.2278850899156022	1.2496427772250065	1.4434879152047444
YAL026C	1.8499383672208358	2.136708330607279	2.0004403289447437
YAL026C-A	0.7581935758236499	0.9016636196484248	0.7007830463075948
YAL027W	1.0297661020960756	1.050415353929273	0.9246737224747658
YAL028W	1.5726712057360892	1.4949791725122104	1.1700500484054266
