Gene	ERR1720587	ERR1720588	ERR1720589	ERR1720590	ERR1720591	ERR1720592	ERR1720594	ERR1720595	ERR1720596	ERR1720597	ERR1720598	ERR1720599	ERR1720600	ERR1720601	ERR1720602	ERR1720603	ERR1720604	ERR1720605	ERR1720606	ERR1720607	ERR1720608	ERR1720609	ERR1720610	ERR1720611	ERR1720612	ERR1720613	ERR1720615	ERR1720616	ERR1720617
Q0010	0.1570937506772226	0.1731456805108605	0.17568688459086684	0.16500796326321718	0.17485233410386306	0.17795800863226827	0.18235940476747695	0.16722359859766345	0.14263087797566393	0.15064317975039856	0.15928145106462283	0.16103822998785777	0.16058354857499502	0.16234463637236013	0.15625530736696971	0.15369910436537595	0.13790294707669554	0.15286941738577312	0.15153979915869764	0.16722359859766345	0.1663218110885194	0.15625530736696971	0.16937883593771885	0.17273114192088365	0.14845318368188898	0.14440164684899803	0.1601313411839699	0.14890981547078033	0.15883724427605972
Q0017	0.1570937506772226	0.1731456805108605	0.17568688459086684	0.16500796326321718	0.17485233410386306	0.17795800863226827	0.18235940476747695	0.46417071816038585	0.14263087797566393	0.15064317975039856	0.15928145106462283	0.16103822998785777	0.16058354857499502	0.16234463637236013	0.15625530736696971	0.15369910436537595	0.13790294707669554	0.15286941738577312	0.15153979915869764	0.16722359859766345	0.1663218110885194	0.15625530736696971	0.16937883593771885	0.17273114192088365	0.14845318368188898	0.14440164684899803	0.1601313411839699	0.14890981547078033	0.15883724427605972
Q0020	0.9864548036090998	1.0721243823942577	0.956941045007058	1.3349899647203936	0.9229124758316769	1.0026816487025139	1.0263352573221465	0.9081025717262254	0.9164160080024946	0.9689464826177696	1.1584854545954877	0.8258673794683449	0.8552015296503253	0.8521196635896048	1.0039876098422933	0.9226560606644831	0.9412441816451389	0.9753167863466176	0.9745556094863334	0.8885123109349673	0.8289006896293571	0.9706642338682004	1.0279679621525177	1.1449132173585894	1.241374721956786	1.5850835939936037	0.9058465046974675	1.0169543654888078	1.1521760248375894
Q0032	0.1570937506772226	0.1731456805108605	0.17568688459086684	0.16500796326321718	0.17485233410386306	0.17795800863226827	0.18235940476747695	0.16722359859766345	0.14263087797566393	0.15064317975039856	0.15928145106462283	0.16103822998785777	0.16058354857499502	0.16234463637236013	0.15625530736696971	0.15369910436537595	0.13790294707669554	0.15286941738577312	0.15153979915869764	0.16722359859766345	0.1663218110885194	0.15625530736696971	0.16937883593771885	0.17273114192088365	0.14845318368188898	0.14440164684899803	0.1601313411839699	0.14890981547078033	0.15883724427605972
Q0045	0.7989847055320773	0.8248501112006414	0.7327155618587636	0.7831893122957334	0.8169977272231296	0.8298861439003666	0.8218199327527389	0.7707499487139976	0.7983323225574993	0.7969217545671694	0.7802549391495825	0.6759014424347112	0.7640187107291017	0.7225417736223748	0.7793018810467888	0.792738820596042	0.7983323225574993	0.7544116706694174	0.7835417076682942	0.7552022275937245	0.7026340828922892	0.7447037781382359	0.7631502991969012	0.7918997888802307	0.7965395780524327	0.8167127524983759	0.7673485449037742	0.775660930172639	0.7976711490847345
Q0050	0.7856138437764383	0.792738820596042	0.7835417076682942	0.8133376737146261	0.7436679675413722	0.7662448835381191	0.7683673250961773	0.7273984428156862	0.7286476218553902	0.7564761087752322	0.7885627234781627	0.7036732217106971	0.6891570261348727	0.7213131806368798	0.7552022275937245	0.7578489448693062	0.7610115548992736	0.7730463931420015	0.7460564656973228	0.7460564656973228	0.722895382901105	0.7640187107291017	0.7936145939644469	0.7759456427273681	0.7955241314384575	0.8248501112006414	0.7504586126648863	0.7677272722686732	0.794357545989913
Q0055	0.8094661471014455	0.791327576179793	0.7852193854761859	0.849881212489586	0.7892862996768931	0.8063237854509726	0.8028737434219985	0.7588446364791922	0.7822860056713643	0.8068280585460303	0.8113380510938963	0.7578489448693062	0.6968115015283723	0.7603796001810538	0.7885627234781627	0.7744499811378334	0.7947300139669613	0.7617928841902897	0.7885627234781627	0.757094056010594	0.7099857531263232	0.7831893122957334	0.7700679604454129	0.7903932658762556	0.8116599760107759	0.9034148287159447	0.7501573286755157	0.8101424438522529	0.8127067333295377
Q0060	0.601677450111175	0.636866429345941	0.5155696121736053	0.5857991284964661	0.6213352922730313	0.4075865518146345	0.574088308375805	0.5047014186457337	0.4923931415807441	0.6418064258177824	0.40680210274829065	0.49060321102081594	0.38374562263703127	0.45532081884020703	0.6373163842297073	0.39297515425039836	0.6257027539932151	0.59322577026074	0.5692011641352982	0.4725985543930875	0.6204199858522109	0.500999257209331	0.4418698184192296	0.17273114192088365	0.4725985543930875	0.6564524112985067	0.59322577026074	0.5957231184850167	0.631319351283296
Q0065	0.1570937506772226	0.7346057438576441	0.6723049272677865	0.683887782260165	0.5917738348274523	0.7000733406631053	0.5240515001488368	0.6362246869927217	0.5853074188332538	0.5562005816423163	0.6679328224002313	0.5937343038019891	0.5867755385109489	0.633498935428027	0.5867755385109489	0.6539059050343109	0.5397018892973792	0.615517346053631	0.5987823369696342	0.4996117587890018	0.6877504396333629	0.635252571212058	0.5594353649956719	0.17273114192088365	0.6902832998462789	0.670010202344146	0.5003363417104669	0.5652730428570533	0.6759014424347112
Q0070	0.650158489181276	0.1731456805108605	0.17568688459086684	0.5100252448678096	0.17485233410386306	0.17795800863226827	0.58391998782257	0.6512577311349899	0.6847331257292735	0.4838253978694283	0.581490737778039	0.6270726655238763	0.4911845100322486	0.5133529196511	0.606463475652012	0.58727756212579	0.6602654185201088	0.7241875879902331	0.15153979915869764	0.5003363417104669	0.5218430702378196	0.5094303634869016	0.5088676159956668	0.5830511900126061	0.14845318368188898	0.6791019967572083	0.1601313411839699	0.6670520804825975	0.49177256808899317
