	WT at 0hr minR+Leu 1	WT at 0hr minR+Leu 2	WT at 0hr minR+Leu 3	WT at 0hr minR+Leu 4	WT at 0hr minR+Leu 5	WT at 0hr minR+Leu 6	mct1KO at 0hr minR+Leu 1	mct1KO at 0hr minR+Leu 2	mct1KO at 0hr minR+Leu 3	mct1KO at 0hr minR+Leu 4	mct1KO at 0hr minR+Leu 5	mct1KO at 0hr minR+Leu 6	WT at 15min minR+Leu 1	WT at 15min minR+Leu 2	WT at 15min minR+Leu 3	WT at 15min minR+Leu 4	WT at 15min minR+Leu 5	WT at 15min minR+Leu 6	mct1KO at 15min minR+Leu 1	mct1KO at 15min minR+Leu 2	mct1KO at 15min minR+Leu 3	mct1KO at 15min minR+Leu 4	mct1KO at 15min minR+Leu 5	mct1KO at 15min minR+Leu 6	WT at 30min minR+Leu 1	WT at 30min minR+Leu 2	WT at 30min minR+Leu 3	WT at 30min minR+Leu 4	WT at 30min minR+Leu 5	WT at 30min minR+Leu 6	mct1KO at 30min minR+Leu 1	mct1KO at 30min minR+Leu 2	mct1KO at 30min minR+Leu 3	mct1KO at 30min minR+Leu 4	mct1KO at 30min minR+Leu 5	mct1KO at 30min minR+Leu 6	WT at 1hr minR+Leu 1	WT at 1hr minR+Leu 2	WT at 1hr minR+Leu 3	WT at 1hr minR+Leu 4	WT at 1hr minR+Leu 5	WT at 1hr minR+Leu 6	mct1KO at 1hr minR+Leu 1	mct1KO at 1hr minR+Leu 2	mct1KO at 1hr minR+Leu 3	mct1KO at 1hr minR+Leu 4	mct1KO at 1hr minR+Leu 5	mct1KO at 1hr minR+Leu 6	WT at 3hr minR+Leu 1	WT at 3hr minR+Leu 2	WT at 3hr minR+Leu 3	WT at 3hr minR+Leu 4	WT at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 1	mct1KO at 3hr minR+Leu 2	mct1KO at 3hr minR+Leu 3	mct1KO at 3hr minR+Leu 4	mct1KO at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 6
 3-Phosphoglyceric acid 	284492	287653	177797	286850	220410	218097	187181	106684	64235	42882	164200	113745	159075	203374	28872	15000	140105	117912	44116	42512	28395	9429	41799	42361	94416	114298	52564	32992	14964	16608	13935	31600	29505	32415	58100	42762	70873	196714	21531	35532	23762	103887	20739	36346	21023	25804	30700	18855	97786	17224	154894	77700	28520	5357	29765	36728	35929	49719	49980
 4-Hydroxyproline	139056	53791	233174	177946	79644	181655	117682	90098	92878	49576	67929	51898	175842	166881	99674	116896	201375	162283	147337	153487	137632	181510	142733	102591	128641	118406	152963	153200	139126	65477	31020	19279	78416	128158	83532	119346	83739	128038	77144	119867	85515	132307	18279	148926	19604	75793	17322	44593	191802	452217	142825	167341	189999	399254	103796	160739	130092	162747	233299
 Adenine 	329647	309733	180242	169387	219060	228137	54726	22594	75252	44100	94102	94474	221238	207608	217586	200623	132923	122867	47275	73631	103176	69481	63848	70308	267136	266490	178319	279675	143004	39258	41157	83069	97357	103438	89320	72369	168400	227435	208426	171827	94077	134763	17514	48579	54795	45570	21642	30155	69420	49628	58549	132342	45746	9865	71727	4575	52502	1221	443
 Adenosine 	25779	25023	33146	76749	34616	41827	23762	17487	40316	40936	57299	45407	26669	12308	119433	498094	19553	11411	19812	30218	27673	287970	26420	18012	39664	31708	49097	71558	45955	40043	36081	56622	23516	35359	23980	19836	21493	32125	385985	540057	20452	26140	21709	31270	32715	23029	26379	55051	23709	45255	85028	54203	45837	36331	31658	228714	78113	38306	10096
 Adenosine monophosphate	891259	779761	355543	223620	522492	364124	1169433	509103	181855	26587	370223	747756	861777	488612	366895	530741	263325	311625	167200	132746	656957	359235	104779	208983	525078	741766	387064	698851	211460	28007	43993	291930	380203	320630	446892	450829	131555	672446	509114	349688	81035	253146	38786	127486	122468	199383	26702	30578	146073	15083	104903	188551	10341	58724	272280	89358	233536	119005	252754
 Adipic acid 	20680	16588	16936	39765	22649	27518	18689	11495	19277	18713	27388	16094	15988	18281	45872	17213	12022	11916	5393	9729	13528	9426	17552	18549	13015	24813	11600	27503	17733	15346	10678	10124	8968	13565	10593	13450	15156	9310	13142	10480	8594	6772	8215	11270	13369	7335	8685	20379	15259	26859	49783	28296	30888	22713	35485	51767	26803	22294	25432
 Allantoin	3052	1454	0	5236	663	10176	947	4507	8212	9366	10188	8775	0	788	995	297	442	1297	0	481	1784	2008	1705	1673	1432	0	0	1329	794	0	1533	2147	839	0	1437	0	0	0	0	1243	0	548	2201	0	1239	0	1325	0	3307	7887	2410	1282	0	0	2989	4607	2207	1884	1456
 alpha-D-Glucosamine 1-phosphate 	2334001	3520397	1353457	342165	3184757	4436962	208696	127515	50662	76006	112346	111490	4009765	836767	1898092	3801504	3671351	3131394	40580	113222	103769	25904	108422	33909	6469874	3702359	4212316	7930536	4104533	956952	87239	162323	56500	169191	68187	138092	5129196	3699428	5836435	6738444	2118928	4087096	44266	129210	182798	15181	103512	91983	843355	444373	746892	1355856	3198849	0	22011	91103	153498	117249	99986
 Arachidic acid 	96651	67710	57137	36732	25923	92458	22820	40356	12761	21170	30625	26955	20440	28662	29480	9931	12956	19104	6443	4105	10794	9938	3671	4374	51752	35264	41504	62620	55702	9322	13236	21388	27082	67711	17541	23801	19054	24435	13323	20115	14840	7033	4253	8328	0	4636	5853	17360	13520	12731	20460	21813	6377	6869	15254	27416	12690	19170	21121
 Arachidonic Acid	1166	0	2977	5756	0	0	300	0	2664	918	2873	3395	1452	2907	610	0	3338	0	0	0	768	1831	0	310	1346	0	3297	1017	0	0	1599	0	342	3654	343	1095	0	1971	617	0	2571	3667	0	1650	2047	0	0	4003	0	0	1817	0	8019	0	2662	1757	2750	1959	2680
