	WT at 0hr minR+Leu 1	WT at 0hr minR+Leu 2	WT at 0hr minR+Leu 3	WT at 0hr minR+Leu 4	WT at 0hr minR+Leu 5	WT at 0hr minR+Leu 6	mct1KO at 0hr minR+Leu 1	mct1KO at 0hr minR+Leu 2	mct1KO at 0hr minR+Leu 3	mct1KO at 0hr minR+Leu 4	mct1KO at 0hr minR+Leu 5	mct1KO at 0hr minR+Leu 6	WT at 15min minR+Leu 1	WT at 15min minR+Leu 2	WT at 15min minR+Leu 3	WT at 15min minR+Leu 4	WT at 15min minR+Leu 5	WT at 15min minR+Leu 6	mct1KO at 15min minR+Leu 1	mct1KO at 15min minR+Leu 2	mct1KO at 15min minR+Leu 3	mct1KO at 15min minR+Leu 4	mct1KO at 15min minR+Leu 5	mct1KO at 15min minR+Leu 6	WT at 30min minR+Leu 1	WT at 30min minR+Leu 2	WT at 30min minR+Leu 3	WT at 30min minR+Leu 4	WT at 30min minR+Leu 5	WT at 30min minR+Leu 6	mct1KO at 30min minR+Leu 1	mct1KO at 30min minR+Leu 2	mct1KO at 30min minR+Leu 3	mct1KO at 30min minR+Leu 4	mct1KO at 30min minR+Leu 5	mct1KO at 30min minR+Leu 6	WT at 1hr minR+Leu 1	WT at 1hr minR+Leu 2	WT at 1hr minR+Leu 3	WT at 1hr minR+Leu 4	WT at 1hr minR+Leu 5	WT at 1hr minR+Leu 6	mct1KO at 1hr minR+Leu 1	mct1KO at 1hr minR+Leu 2	mct1KO at 1hr minR+Leu 3	mct1KO at 1hr minR+Leu 4	mct1KO at 1hr minR+Leu 5	mct1KO at 1hr minR+Leu 6	WT at 3hr minR+Leu 1	WT at 3hr minR+Leu 2	WT at 3hr minR+Leu 3	WT at 3hr minR+Leu 4	WT at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 1	mct1KO at 3hr minR+Leu 2	mct1KO at 3hr minR+Leu 3	mct1KO at 3hr minR+Leu 4	mct1KO at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 6
 Pyrophosphate 	177121	62991	328093	380839	91030	72750	302108	341794	37383	25684	69998	24448	254235	592660	47435	36306	126929	90934	328059	72319	95112	228525	76802	192794	196926	688523	243339	195371	82247	44202	19724	39340	64538	82458	87206	167428	84644	1013957	123511	121627	36157	234477	14393	16553	29213	30204	12295	20012	26609	0	790263	112995	51413	13237	59138	740350	27432	347645	399663
 Pyrrolidonecarboxylic acid	950133	742006	905724	2330191	835476	764512	4875616	6045481	566391	702819	1968651	1039842	1110243	1785775	2761477	990231	704639	608285	1948092	685278	750278	1504659	697361	1610359	613201	596285	464680	748365	446789	220598	180309	312626	217565	266986	313670	279098	408536	1036611	456865	608812	256425	413837	157649	274872	224630	229896	140219	194218	1499447	638897	2384210	606032	520311	616158	847700	2563854	1218078	1903302	6198405
 Pyruvic acid 	245625	349425	269327	317901	272689	450349	170308	103738	123270	146263	181194	169597	364854	290093	356690	535342	127635	88883	172428	90826	113442	742426	52754	61658	186871	185878	167416	219557	154248	165259	113763	144451	88624	195265	82893	60226	115598	60386	383234	453165	54789	71843	50168	48383	85104	42256	49176	179109	170539	176949	257434	168525	150569	146083	126981	326367	114130	120815	76949
 Ribitol 	89898	152592	169886	157357	120083	98184	152130	141247	158131	116625	178165	154199	49239	43442	26134	23610	68903	33573	28763	18935	40967	29607	32956	32309	74988	33313	32996	40760	29217	26583	17431	36183	15754	28307	41828	19304	35199	78545	102443	146846	36639	76637	26472	102624	53750	47017	40399	25788	118235	78715	141627	72572	113794	88214	45169	255283	190020	88348	143197
 Ribonic acid-gamma-lactone	53581	61173	63836	113132	71530	50764	126313	70800	32344	38981	122138	79640	40642	76026	42262	41261	59781	31759	34702	26675	23605	24348	31154	32716	8120	21541	9141	13566	7981	6562	2598	5319	2594	2824	4349	3540	9800	11279	14181	14398	5243	8342	4713	5991	5838	6318	4978	5457	22388	9625	39924	16540	17366	18758	18452	32263	40504	25097	60617
 Sedoheptulose 7-phosphate 	159705	182414	104106	146430	184390	181115	174388	96156	161724	131742	258288	274432	61185	78557	59898	40968	48193	59533	38062	44955	54123	39298	35026	33897	49160	57911	40435	48855	22399	16905	27239	39071	35664	39741	41714	32392	56028	86499	121942	129202	22418	97871	38916	54098	34034	46416	31725	38953	124638	70117	203145	115606	126522	51416	134312	203629	153734	132990	202645
 Sophorose	434347	0	92709	189047	0	170114	246673	321456	19677	121167	198996	103684	22537	122718	48127	0	0	0	25854	0	0	0	0	0	0	0	12976	36199	0	3085	0	0	0	0	0	0	0	0	4669	21448	17885	0	0	3405	0	14034	0	0	30084	0	77790	0	0	0	0	102388	0	55367	122107
 Sorbitol 	6056857	6258959	6099315	6542215	5061674	6842258	3721315	3545631	3007338	3265476	3478182	4210018	2639323	2809574	3305069	2003463	2128685	1539839	1190916	1481119	2279689	2625487	1308713	1415285	2832481	3258682	1939834	3177548	1914177	992443	1502765	1444939	1206776	1082699	1860733	2440689	1724367	2223735	5499037	3771876	1091176	2070223	889722	1224196	1037399	1078510	806095	1039078	1466748	939277	2309806	2513521	2366377	596531	1877224	1406091	1691233	719441	1086276
 Stearic acid 	2481308	1586737	3364419	1168247	380012	4786501	972035	1616413	472457	1114259	359764	300982	1152252	1192176	1892719	594738	792950	1314987	168706	277349	345353	345793	174672	136230	3737592	2056668	3190439	6517378	4076487	9272888	1430543	1051293	1952901	4512361	1064957	914797	1564440	3968142	667982	2197939	3194862	1834099	199265	392246	348646	293126	421663	2199398	869591	1807969	480285	1140466	646135	2833395	747443	1230985	789015	1273097	2355516
 Succinic acid 	3308581	3938966	2863456	3955781	3384955	3445805	3548457	2872814	3219806	2863103	4800461	2756447	1933764	1721017	2220648	2288026	1677155	1274783	1509600	1571234	2415298	2304031	2179323	1591099	2831358	2551770	1968122	3425441	1938534	1549425	1588062	1811203	2128354	2335198	2308260	1843020	2097893	2373943	3157559	4020073	1266937	2341076	1220656	2074666	2802612	2386484	2065979	2193117	4430346	2017190	6805578	5950037	4437245	2969680	4595988	5983764	5791012	4988004	5523870
 Sucrose 	18159	27996	27639	26117	6835	11153	15070	20665	2195	16665	41229	95749	1207105	3640405	785849	206722	900541	476836	2302647	1411773	1192817	2141487	894545	1826985	1239040	2854364	1247332	1792418	619244	358684	980233	496658	870704	468512	958083	1601777	348923	1734752	918707	1120650	222122	634444	324006	134207	817569	259418	295107	424008	574574	380804	937651	897278	429073	364076	550521	1508989	500896	889488	1341988
 Threonic acid 	28287	54968	53721	40210	42304	35291	33031	30223	25943	26252	48791	31198	19121	20773	24467	26726	23329	14730	18779	17752	22853	27438	18988	15922	17343	20425	12897	27935	13630	10481	7983	28151	19799	24910	31890	26820	22385	27367	28695	40153	17059	27155	35829	59615	68062	55739	40993	51084	9380	0	16978	15078	16642	32817	71028	88560	64968	78833	101785
 Thymine 	23761	28550	29664	38898	30108	30414	14886	11293	19963	19150	17488	27407	53514	61511	59233	70426	47319	27079	35802	36255	41878	50588	37731	44544	30805	29583	34848	33307	25335	21551	16526	38441	16637	1467892	20614	21465	19306	36081	20544	28577	12337	18592	16111	25999	14931	21740	16102	22747	14955	24147	24355	19351	22658	0	9555	25199	18182	2935	0
 Trehalose 	0	70859	0	12098	158628	19667	8710	0	242580	0	0	0	12287	13816	6783	0	26251	7330	15439	0	5466	0	8771	0	9391	28355	23369	17519	46943	9775	5029	17573	0	17847	2033	0	4531	95482	81983	86092	10029	17146	6261	4212	13673	38124	11465	0	1162303	389365	1975319	1817926	489807	283217	1195899	3229732	3401616	2925836	1347603
 Turanose	1421111	965919	1322920	1729708	1592424	274042	2165963	1372259	2992977	2459234	152529	1637250	21009	27283	12775	6907	402129	14358	38399	48140	28101	25702	30251	37082	187646	214539	118118	199506	252347	42517	29359	50943	38298	43861	39720	46947	201289	360596	230595	240047	228583	85083	24329	51837	41472	38560	17825	31293	3018402	1888062	4397607	4803268	1086699	1283591	3255332	8790126	9122301	7939602	3551303
 Unknown acid 	731164	718043	1747144	1364921	754068	1056449	607220	1048619	641627	718027	674467	675882	745617	674028	267792	843590	1660700	856339	1542826	1487562	1136396	1535706	1188127	1337265	1105889	925885	1105938	935111	2547869	993610	802200	921527	673411	1357109	353208	477365	1161938	674404	463379	266997	808778	3768230	308104	934438	757994	619048	474328	512980	592807	637116	1136068	2252812	2027793	2877626	533610	904184	1108476	537302	559940
 Uracil 	443528	598329	667127	737869	608601	700050	564604	515698	1447703	1402121	616071	1625899	1538710	1146940	1876362	2042739	895328	717716	1680734	1949661	1953497	1775597	2006310	1978825	1877637	1803838	1246500	1990252	1734805	1035748	1670659	1972114	1737320	1922763	1430074	1534119	757862	945202	856793	1189398	725671	630696	851157	1211604	1654923	1413630	1021283	1426243	270832	538757	435620	608999	656135	214425	677480	781995	671051	192548	59311
 Urea 	1157685	2062735	1518294	673011	1237212	1881883	242943	201165	215670	111137	81267	51570	3751203	1567132	896817	3649746	2373245	2357472	437265	692136	382257	758426	410493	436484	3238647	2802872	2391094	3532625	2291934	1080197	254182	312517	414973	1039334	441933	479180	3662047	2731388	4706587	5067730	2245102	3042512	155286	694882	250501	463317	198136	338455	1424436	1990330	1399469	1538535	1752525	885624	291245	289222	294872	272924	337441
 Xanthurenic acid 	8694	6321	5973	4902	5162	4912	27353	15002	2857	2494	13084	6601	3126	4934	4083	5273	0	3266	6660	2784	4187	5043	2525	4523	3517	4121	3642	6929	5681	5244	3459	3953	6196	2957	9890	8299	2956	3126	1063	3031	2672	4810	2426	4556	2527	4407	1122	2944	4302	0	2890	4746	3441	6296	8238	8686	10059	7101	19316
