YAR003W	1149
YAR007C	3067
YAR008W	889
YAR009C	195
YAR010C	1
YAR014C	2214
YAR015W	4128
YAR018C	611
YAR019C	475
YAR019W-A	2
YAR020C	42
YAR023C	423
YAR027W	3391
YAR028W	668
YAR029W	55
YAR030C	78
YAR031W	123
YAR033W	261
YAR035C-A	7
YAR035W	115
YAR042W	1676
YAR047C	65
YAR050W	464
YAR053W	74
YAR060C	0
YAR061W	0
YAR064W	22
YAR066W	6
YAR068W	2
YAR069C	0
YAR070C	2
YAR071W	296
YAR073W	4
YAR075W	4
YBL001C	7030
YBL002W	32342
YBL003C	26938
YBL004W	4132
YBL005W	1245
YBL005W-A	0
YBL005W-B	83
YBL006C	1973
YBL006W-A	0
YBL007C	2629
YBL008W	717
YBL008W-A	2
YBL009W	1188
YBL010C	739
YBL011W	1580
YBL012C	28
YBL013W	96
YBL014C	904
YBL015W	9845
YBL016W	1781
YBL017C	4056
YBL018C	1156
YBL019W	1084
YBL020W	3007
YBL021C	1925
YBL022C	4276
YBL023C	856
YBL024W	3088
YBL025W	549
YBL026W	4030
YBL027W	50767
YBL028C	2073
YBL029C-A	4891
YBL029W	1099
YBL030C	21865
YBL031W	1160
YBL032W	2321
YBL033C	2895
YBL034C	747
YBL035C	580
YBL036C	2124
YBL037W	1709
YBL038W	3302
YBL039C	3738
YBL039C-A	0
YBL039W-B	718
YBL040C	3422
YBL041W	9100
YBL042C	3421
YBL043W	1427
YBL044W	4
YBL045C	30275
YBL046W	1336
YBL047C	2834
YBL048W	126
YBL049W	416
YBL050W	5205
YBL051C	2591
YBL052C	1382
YBL053W	68
YBL054W	2329
YBL055C	2872
YBL056W	10429
YBL057C	1976
YBL058W	6027
YBL059C-A	3036
YBL059W	1863
YBL060W	1415
YBL061C	851
YBL062W	13
YBL063W	1144
YBL064C	11848
YBL065W	8
YBL066C	1165
YBL067C	3614
YBL068W	3134
YBL068W-A	0
YBL069W	345
YBL070C	21
YBL071C	729
YBL071C-B	2
YBL071W-A	444
YBL072C	12484
YBL073W	17
YBL074C	220
YBL075C	734
YBL076C	9171
YBL077W	544
YBL078C	1357
YBL079W	2476
YBL080C	1149
YBL081W	401
YBL082C	488
YBL083C	41
YBL084C	1633
YBL085W	2604
YBL086C	2523
YBL087C	13060
YBL088C	2160
YBL089W	1520
YBL090W	3662
YBL091C	4682
YBL091C-A	1176
YBL092W	53405
YBL093C	3008
YBL094C	115
YBL095W	402
YBL096C	33
YBL097W	325
YBL098W	1818
YBL099W	31106
YBL100C	1514
YBL100W-A	0
YBL100W-B	93
YBL100W-C	8
YBL101C	720
YBL102W	3092
YBL103C	2184
YBL104C	798
YBL105C	3143
YBL106C	474
YBL107C	2506
YBL107W-A	0
YBL108C-A	0
YBL108W	0
YBL109W	2
YBL111C	0
YBL112C	0
YBL113C	106
YBL113W-A	0
YBR001C	2295
YBR002C	1015
YBR003W	2414
YBR004C	2465
YBR005W	2202
YBR006W	1148
YBR007C	668
YBR008C	675
YBR009C	39770
YBR010W	43414
YBR011C	23344
YBR012C	33
YBR012W-A	0
YBR012W-B	40
YBR013C	454
YBR014C	3607
YBR015C	3498
YBR016W	1538
YBR017C	2665
YBR018C	112
YBR019C	747
YBR020W	230
YBR021W	880
YBR022W	1665
YBR023C	2102
YBR024W	1682
YBR025C	16635
YBR026C	5199
YBR027C	111
YBR028C	2371
YBR029C	4118
YBR030W	1207
YBR031W	15532
YBR032W	50
YBR033W	2717
YBR034C	10280
YBR035C	5215
YBR036C	5759
YBR037C	1527
YBR038W	1012
YBR039W	37774
YBR040W	67
YBR041W	2377
YBR042C	1234
YBR043C	1396
YBR044C	2518
YBR045C	361
YBR046C	1097
YBR047W	320
YBR048W	6132
YBR049C	4112
YBR050C	2969
YBR051W	47
YBR052C	7909
YBR053C	3916
YBR054W	4653
YBR055C	2128
YBR056C-B	0
YBR056W	4333
YBR056W-A	214
YBR057C	3214
YBR058C	2114
YBR058C-A	1957
YBR059C	1774
YBR060C	936
YBR061C	2444
YBR062C	2196
YBR063C	541
YBR064W	8
YBR065C	672
YBR066C	1522
YBR067C	11896
YBR068C	11070
YBR069C	11115
YBR070C	1309
YBR071W	1881
YBR072C-A	2
YBR072W	2988
YBR073W	1873
YBR074W	1872
YBR076C-A	518
YBR076W	214
YBR077C	1633
YBR078W	49903
YBR079C	7681
YBR080C	2562
YBR081C	2560
YBR082C	14690
YBR083W	3292
YBR084C-A	32346
YBR084W	4354
YBR085C-A	3995
YBR085W	50
YBR086C	5921
YBR087W	2578
YBR088C	2034
YBR089C-A	4631
YBR089W	14
YBR090C	167
YBR091C	971
YBR092C	1923
YBR093C	14654
YBR094W	1537
YBR095C	2061
YBR096W	2506
YBR097W	1368
YBR098W	572
YBR099C	0
YBR101C	2453
YBR102C	909
YBR103C-A	7
YBR103W	1646
YBR104W	337
YBR105C	4223
YBR106W	14937
YBR107C	525
YBR108W	355
YBR109C	10070
YBR109W-A	45
YBR110W	2327
YBR111C	8573
YBR111W-A	1845
YBR112C	2229
YBR113W	93
YBR114W	488
YBR115C	1
YBR116C	22
YBR117C	177
YBR118W	16625
YBR119W	2333
YBR120C	3055
YBR121C	18511
YBR121C-A	0
YBR122C	4646
YBR123C	1474
YBR124W	1
YBR125C	1580
YBR126C	11553
YBR126W-A	297
YBR126W-B	1977
YBR127C	21517
YBR128C	747
YBR129C	2236
YBR130C	2307
YBR131C-A	0
YBR131W	569
YBR132C	1598
YBR133C	1364
YBR134W	19
YBR135W	1149
YBR136W	818
YBR137W	2972
YBR138C	938
YBR139W	4392
YBR140C	3685
YBR141C	779
YBR141W-A	0
YBR142W	3998
YBR143C	15770
YBR144C	8
YBR145W	1340
YBR146W	7596
YBR147W	993
YBR148W	358
YBR149W	14230
YBR150C	1013
YBR151W	4414
YBR152W	477
YBR153W	1410
YBR154C	6536
YBR155W	1444
YBR156C	1196
YBR157C	2007
YBR158W	14681
YBR159W	4890
YBR160W	2808
YBR161W	647
YBR162C	27737
YBR162W-A	3075
YBR163W	1502
YBR164C	3167
YBR165W	1383
YBR166C	1895
YBR167C	1226
YBR168W	1100
YBR169C	1329
YBR170C	1418
YBR171W	2549
YBR172C	5086
YBR173C	5009
YBR174C	3
YBR175W	550
YBR176W	809
YBR177C	2046
YBR178W	10
YBR179C	3385
YBR180W	147
YBR181C	9665
YBR182C	391
YBR182C-A	23
YBR183W	1789
YBR184W	251
YBR185C	4159
YBR186W	461
YBR187W	1860
YBR188C	1159
YBR189W	56610
YBR190W	2
YBR191W	31395
YBR191W-A	244
YBR192W	1604
YBR193C	1375
YBR194W	626
YBR195C	720
YBR196C	35673
YBR196C-A	23
YBR196C-B	49
YBR197C	498
YBR198C	1522
YBR199W	5561
YBR200W	1331
YBR200W-A	17
YBR201C-A	550
YBR201W	1761
YBR202W	1558
YBR203W	1635
YBR204C	1344
YBR205W	1712
YBR206W	288
YBR207W	2402
YBR208C	717
YBR209W	24
YBR210W	1000
YBR211C	1915
YBR212W	3043
YBR213W	142
YBR214W	1497
YBR215W	1614
YBR216C	2150
YBR217W	901
YBR218C	2856
YBR219C	4
YBR220C	1465
YBR221C	13926
YBR221W-A	79
YBR222C	3325
YBR223C	457
YBR223W-A	0
YBR224W	0
YBR225W	872
YBR226C	48
YBR227C	1334
YBR228W	750
YBR229C	2276
YBR230C	15684
YBR230W-A	1071
YBR231C	357
YBR232C	6
YBR233W	458
YBR233W-A	1018
YBR234C	6257
YBR235W	1060
YBR236C	2324
YBR237W	1969
YBR238C	463
YBR239C	503
YBR240C	238
YBR241C	898
YBR242W	1956
YBR243C	1880
YBR244W	879
YBR245C	1418
YBR246W	1503
YBR247C	2170
YBR248C	1173
YBR249C	14035
YBR250W	321
YBR251W	3084
YBR252W	2736
YBR253W	1905
YBR254C	814
YBR255C-A	2522
YBR255W	1299
YBR256C	4102
YBR257W	1490
YBR258C	538
YBR259W	1165
YBR260C	1288
YBR261C	1381
YBR262C	3841
YBR263W	7252
YBR264C	1079
YBR265W	3293
YBR266C	0
YBR267W	1906
YBR268W	2737
YBR269C	4884
YBR270C	523
YBR271W	817
YBR272C	1821
YBR273C	2963
YBR274W	1313
YBR275C	1796
YBR276C	1291
YBR277C	0
YBR278W	914
YBR279W	4255
YBR280C	518
YBR281C	1118
YBR282W	1972
YBR283C	6944
YBR284W	356
YBR285W	1323
YBR286W	25688
YBR287W	6217
YBR288C	1886
YBR289W	1269
YBR290W	3399
YBR291C	464
YBR292C	156
YBR293W	1274
YBR294W	869
YBR295W	569
YBR296C	13681
YBR296C-A	54
YBR297W	2247
YBR298C	3093
YBR298C-A	6
YBR299W	189
YBR300C	6
YBR301W	19
YBR302C	0
YCL001W	3771
YCL001W-A	143
YCL001W-B	118
YCL002C	1401
YCL004W	979
YCL005W	1149
YCL005W-A	1915
YCL007C	95
YCL008C	272
YCL009C	1538
YCL010C	469
YCL011C	2979
YCL012C	1401
YCL014W	1205
YCL016C	1255
YCL017C	2025
YCL018W	0
YCL019W	0
YCL020W	0
YCL021W-A	122
YCL022C	0
YCL023C	2
YCL024W	654
YCL025C	5191
YCL026C-A	80
YCL026C-B	1138
YCL027W	691
YCL028W	5364
YCL029C	1575
YCL030C	1376
YCL031C	4265
YCL032W	2427
YCL033C	2138
YCL034W	2694
YCL035C	12270
YCL036W	868
YCL037C	86
YCL038C	976
YCL039W	579
YCL040W	29286
YCL041C	9
YCL042W	27
YCL043C	7971
YCL044C	321
YCL045C	3550
YCL046W	5
YCL047C	1048
YCL048W	46
YCL048W-A	45
YCL049C	1657
YCL050C	8390
YCL051W	2270
YCL052C	3631
YCL054W	2752
YCL054W-A	6
YCL055W	1776
YCL056C	993
YCL057C-A	8161
YCL057W	2283
YCL058C	1752
YCL058W-A	0
YCL059C	4346
YCL061C	1336
YCL063W	1076
YCL064C	15940
YCL065W	0
YCL066W	0
YCL067C	0
YCL068C	0
YCL069W	0
YCL073C	1
YCL074W	1
YCL075W	0
YCL076W	0
YCR001W	186
YCR002C	4883
YCR003W	3629
YCR004C	8845
YCR005C	4340
YCR006C	307
YCR007C	504
YCR008W	4938
YCR009C	8673
YCR010C	123
YCR011C	2762
YCR012W	70424
YCR013C	9025
YCR014C	1010
YCR015C	643
YCR016W	2947
