	14251X1	14251X3	14251X4	14251X7	14251X9	14251X10	14251X13	14251X15	14251X16	14251X19	14251X21	14251X22	18607X1	18607X2	18607X3	18607X7	18607X8	18607X9	18607X13	18607X14	18607X15	18607X19	18607X20	18607X21	18607X25	18607X26	18607X27
LTE1	77.6473050993252	69.86449897228188	82.22734019250649	76.1158242789985	72.03785624593013	79.054031273519	68.23471024466156	70.71438247477612	58.56994704595422	67.1073000696976	75.1096253349716	61.18171319752359	66.4544549419365	69.23890440874521	74.06466951626956	70.48648579183251	69.0584236060127	72.63144631306086	76.3861394300677	76.6684882278988	68.67835112115577	73.02203607091927	72.80291904718695	70.73593614440436	70.3847374696542	69.93485857655868	73.11433057286587
MAK16	281.259988368721	319.55807041691963	280.3152326126807	277.1199657198769	306.87973981870175	306.33928963143546	274.9814128716115	332.8646953981113	293.5530661495367	310.30269551833413	311.5253979416516	321.43494153824633	338.3328156126384	345.71899034049795	285.05644528652465	253.40409164230002	269.19517218939416	334.5180371414224	294.1910709676765	285.76108255072864	353.7148041059524	302.09463837060355	308.01242024010486	289.95638952145555	297.0859327021427	285.34201329966584	293.62541407733835
DRS2	102.52669406240565	103.82799977598441	103.93634908618077	101.64946835484503	108.10675688364041	100.14828965556295	103.78597998234363	99.47341012105714	82.15991954059967	91.79193486975342	109.9703652256657	71.75382879060028	101.01963850076596	103.41739173356198	95.19113226490727	99.47543224493208	96.06007432420529	93.27317305887289	101.69742876682118	106.8596640496947	101.70958569935813	95.80793804569377	99.73607790855613	100.04283319713008	90.69551020738257	89.71449778055293	100.09872764731469
YAL026C-A	90.07008657643345	82.76689588160824	88.40961396762219	94.86358070551904	85.4807496266992	94.21260761243839	86.23945360893242	92.60752208505798	84.75361265070816	89.89272228712753	99.46439852451141	97.48212637677906	90.35880184045385	90.73308831201822	85.47888022449776	86.12199531653374	89.69745998373672	99.10602419612535	92.02773984885603	94.94266676593836	88.79483031889677	91.11480021380066	87.80588280730987	96.5175640320364	89.11184847965441	87.53385147265205	85.23439938260336
SAW1	142.17230700918674	146.75285191988053	132.61209974438657	151.51315424945045	141.01575206835605	131.96475547511295	144.20230181216596	134.84904249568754	159.7452370422012	142.56530813263723	128.68199388050112	156.48350571436615	149.36620028632467	148.62330166442618	138.08591277966843	138.02408704278196	143.74844412192797	138.51322301952757	150.26656989945408	146.91299865582	146.93142003835368	134.16313602738268	142.33066017277113	145.88297347712347	133.73077237567782	137.19427273776247	138.81930934178126
FRT2	65.85990117836207	82.67311506018913	62.98672544073315	72.96175936172273	86.5771733512739	67.57751255781795	82.04319377427652	68.52942187110821	73.82818753939782	77.83016409532196	68.1009284066779	69.45425265800935	69.86357441643969	73.00478609428464	76.01870758702648	71.86081716606154	69.76019419053361	67.97640983065108	67.25865392269637	66.26701508829564	64.30693629332049	85.57443869414949	77.10908482446763	79.78916814659954	78.78829726879007	76.92291093221527	74.7878923262137
MYO4	126.59893455211264	119.3992043441038	129.52802681464829	125.73555806022459	126.70951479932387	128.37483802699325	125.51718130969692	116.93544959220831	110.70806679885754	114.69493814153596	124.60798586321188	101.42211049491198	125.9444794571019	125.84310778852203	128.6462310580262	114.49134004468073	114.34744064448961	121.92191729895201	126.14906216928222	130.19739657769267	127.52888227535212	115.53867413398854	117.89008071661405	117.638600741165	113.6367694034814	111.36242912796851	116.79345897764448
SNC1	256.66336991116174	213.3208550314685	265.43854097496114	236.2854036635491	219.23241607019062	241.1690431187592	225.86661718640104	263.39606122918275	275.5961654598925	243.48166950606995	246.31264221999584	302.6088454048243	216.4286475273656	223.84675262446206	258.68768061428705	206.49632522999633	200.87015346780422	242.65078589136476	258.9506122586914	272.44826665134167	226.65497250921908	287.59253119361665	255.61850802978128	273.86544045538244	266.5162322828003	281.94779341479807	262.1592854877635
GIP4	108.555431170567	98.4630601347699	99.15071898961398	106.28947165361917	100.9329804529163	96.63425318958906	109.18732140095504	89.57899395603738	77.41328498856791	101.69714070861947	93.80719275209444	76.71577319228828	86.46756042153226	94.11481837478107	103.11768434258613	89.80770401773685	90.98373582640689	85.23011782383503	98.82000435988941	100.35408522693086	88.55490755077	105.37945183388297	97.2200778395408	107.46052382982276	100.88134446377583	100.9607959314589	99.51491091940798
PRP45	145.6496096116798	107.00433215812612	141.822921717079	145.20427737006895	112.28654442645174	156.20131984986304	132.53220721590185	127.74826873463113	125.29948963188062	124.14372541835195	134.3380107730444	146.2880501115543	128.10980238320073	123.04200623641077	129.25698219143408	125.76460761887094	132.17345725504768	125.13507502017559	154.98928072101322	154.50145036740875	158.2903904657673	135.18824508861792	128.14649382235834	130.32433973760027	126.76880994006744	126.89708064288196	118.30091392366103
