Gene	SRR2517449	SRR2517450	SRR2517451	SRR2517452	SRR2517453	SRR2517454	SRR2517455	SRR2517456	SRR2517457	SRR2517458	SRR2517459	SRR2517460	SRR2517461	SRR2517462	SRR2517463
YDR483W	4.711933296700684	4.557809981052351	4.4314345936299535	4.613381672059232	4.606360086603037	4.69359636324986	4.30480075709098	4.418534781828873	4.706768260507264	4.711933296700684	4.669328783620941	4.598872442713249	4.540048371986402	4.829396729634247	4.5791405736007915
YDR484W	1.5328039372666358	1.5114584434002118	1.355872994239336	1.5089370723758873	1.4456715359129493	1.5237415975504986	1.4889170515385628	1.2596059983287742	1.5441173908596342	1.5473352893229666	1.5666039142742374	1.5795501471616988	1.3878538518315473	1.5443866338645682	1.5183164980346782
YDR485C	1.896722479368395	1.8859824722016196	1.8313115587341562	2.0562005977376865	2.0275955349242816	1.9507385036289615	1.94981406693732	1.8126102420962065	2.011298450521435	1.962763251898787	1.9550698537680047	1.833864209291957	1.8650048296189385	2.043994238664355	1.9617155511131474
YDR486C	1.9328995678360057	1.9986759102224443	2.194556624628719	2.0338417389656067	1.8693053629216727	2.240774278347034	1.9283941595456158	2.029971157713695	2.0338417389656067	1.92192402629937	2.0374127927044636	2.002555334869873	2.120491829920323	2.021123991343101	1.8992549367119431
YDR487C	2.8891407130527487	2.640437525170099	2.550739630484458	2.9460629072546602	2.704507840502777	3.0126579769421644	2.658675881433688	2.661225879500874	3.07021666893571	2.944447566445395	2.757655729268619	2.822342545434691	2.4781219050178205	2.9450041209862086	3.0655629933118083
YDR488C	1.1144224690010438	1.0849470554988228	1.2199206992410063	1.1356735830608384	1.0436125314865472	1.1105362733609714	1.1238470649192767	1.1396220270305355	1.1129147446039647	1.1079435084385834	1.1107469706280324	1.0320456972820116	1.247173105495122	1.116624336719814	1.1069309435609456
YDR489W	0.8723916506667486	0.9373763553659082	0.8392490947821156	0.9158907000741368	0.9158907000741368	0.9324618865271602	0.8885123109349673	0.8975172983496084	0.9007880486570734	0.9281979309690096	0.8930669554182012	0.9201967026473358	0.8903732244501044	0.9436685549174398	0.9373763553659082
YDR490C	1.7165320269438396	1.6358646956249305	1.6269547996942264	1.7604099677655238	1.710981628995936	1.7347940284086718	1.6145224675147185	1.6154047402048541	1.8012729415122208	1.7141271235645466	1.7754450633081473	1.6154047402048541	1.6978624422895172	1.6983779070201954	1.704032615821369
YDR491C	0.5917738348274523	0.24370094837661438	0.3186131940408573	0.32066278107208246	0.5261006204665526	0.5229452787957587	0.460923353256674	0.4124612053080188	0.5080717561627147	0.46797310730781577	0.5761709952019751	0.5141382648019284	0.42828812503704794	0.382218521756245	0.40971107152120023
YDR492W	1.8552647741944295	2.126553608999897	1.8179672858923068	1.9033360649394064	1.9308375276575502	1.6785926594530638	1.9261515801217977	1.7176861595533015	1.8582246046504713	1.929803620629418	1.6862443192545191	1.986910646198095	1.7063124288452673	1.7894107119860787	1.7854881054893446
