Gene	SRR4018567	SRR4018568	SRR4018569	SRR4018570	SRR4018571	SRR4018572	SRR4018573	SRR4018574	SRR4018575	SRR4018576	SRR4018577	SRR4018578
RUF23	0.589384569449884	0.6655667542557178	0.5716299619817301	0.643592919918347	0.6968115015283723	0.6557617739994056	0.7099857531263232	0.7162666741660011	0.7178374935828138	0.65791213700214	0.6785540680827926	0.7053752326280365
RUF5-1	0.9118464374425128	0.8615809978748104	0.9213006999206416	0.8951537752034987	0.9324618865271602	0.9357836702812614	0.8436404599047569	0.849881212489586	0.8717697871140392	0.8218199327527389	0.852915601607067	0.8590976917728772
SCR1	1.1886690744453223	1.1615563671453117	1.136169575212346	1.261884325789623	1.180317734651915	1.1569876338982334	1.15294018235242	1.1591032195683235	1.226599088810843	1.2648243467325255	1.1838578970826528	1.2170510280699494
SRG1	1.4551917580757212	1.4626464171542948	1.385374013006861	1.4855531858077256	1.355656294821308	1.4800596387206262	1.0364280603895621	0.9666333603794421	1.0739410400398066	1.5091874544621933	1.4596887570581965	1.419052799067789
YAL001C	1.7600913978765467	1.6752598400550192	1.5962223413367853	1.6260871805379453	1.4991579422505776	1.5946385669027694	1.704032615821369	1.707224823916334	1.7572104754343312	1.901697990366568	1.671544639283223	1.5813354651094937
YAL002W	1.6255153288309232	1.541493259744106	1.5097709620020225	1.525549913554145	1.4493129349003082	1.485980253088073	1.5149233698512463	1.496172499489595	1.6123478660576587	1.8064314128599759	1.6590304735489436	1.4991579422505776
YAL003W	8.63309550036581	8.565315738785966	8.71101546898817	8.656766651976838	8.63309550036581	8.723349230426791	8.090937628233153	8.160510367419567	8.160510367419567	8.046887285326775	7.9710783806098835	8.044120634747022
YAL004W	0.6542801666514044	0.48511880657482453	0.2818358008849934	0.606463475652012	0.38294661843166744	0.30345544897274235	0.5562005816423163	0.2582686250420561	0.500999257209331	0.5183650748209939	0.4719676881004735	0.49177256808899317
YAL005C	8.911328416205382	7.71512858707781	7.8475530104494045	8.47821081311369	5.992552359091455	4.252675067465697	9.425309129682937	8.434821871571547	8.434821871571547	8.98404843909703	8.056476510665892	5.20100137066398
YAL007C	2.9528456395100893	2.8253128196123045	2.8204149754033576	2.9489655387640434	2.7122118415857916	2.986456787005598	3.0993159807344264	3.0101646087218783	3.0050902915888464	2.755210842361506	2.7131621188167343	2.7654271959884937
YAL008W	1.2431475742826033	1.2640496601868476	1.2221955327338558	1.2431475742826033	1.171629642308065	1.1351582270425664	1.2673286941200257	1.2990993598397345	1.3309889362146703	1.4084543011877448	1.31822267386797	1.1848012156700898
YAL009W	1.1288744918230302	1.167949910152033	1.1801065948288652	1.2112873315449775	1.1972916748395894	1.1766285236560434	1.1870679363360745	1.1836168494054469	1.1569876338982334	1.223161468199497	1.2243873724633458	1.2532432870454693
YAL010C	1.2095497764982577	1.2185615997187318	1.2078478808403994	1.2326706320590861	1.1673978544482004	1.1883165756602998	1.2217037886609887	1.2197297337737099	1.173508971576535	1.2238947153069777	1.2582587974975872	1.2000564116657195
YAL011W	1.2480564998957857	1.2837840792609954	1.3432465763418815	1.3286702526473753	1.3120094869788466	1.316498158563824	1.2039584960010583	1.3085085626183557	1.2635261249125396	1.203700473217854	1.3186134035489845	1.3293664042265547
YAL012W	7.85550014756928	7.682183508017526	7.8272803844083185	7.695114771057331	7.637268905552336	7.508504588196985	8.558169508699493	8.858621163143056	8.83219217241757	8.956104025611879	8.98404843909703	8.753257547097324
YAL013W	2.41658291362499	2.377981094135796	2.3709427079228185	2.461065760948224	2.3873081439448116	2.2486781702158036	2.674026526101552	2.7543924964201825	2.757655729268619	3.1431716248506283	2.823645356160293	2.6505604269282848
YAL014C	1.63131612205309	1.679451335329054	1.696452216209529	1.773239057077893	1.7254649597236809	1.6448702755279525	1.7319089732047384	1.671544639283223	1.799318363207108	1.7818089690737273	1.7908633997486663	1.755495567465228
YAL015C	1.3342080694258494	1.2582587974975872	1.3186134035489845	1.3148486997734488	1.262269595943913	1.2363534381696917	1.4057556472282033	1.3254663034299372	1.4145850068005283	1.3284336259639096	1.3544768772275186	1.315046434477445
YAL016C-A	0.5867755385109489	0.5106091855987754	0.5094303634869016	0.3296764814923524	0.615517346053631	0.4923931415807441	0.4798664129086254	0.5843525078306908	0.519012995359969	0.36032544767482366	0.5106091855987754	0.4318143100194289
YAL016C-B	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
YAL016W	2.355950985416918	2.287513612628996	2.2740183445586104	2.398263089939156	2.3491085051038016	2.576887165696586	2.554144860755758	2.488408907548781	2.479140694857791	2.636859596299345	2.495366269504292	2.537040873038848
YAL017W	1.7851556986607893	1.6216802697856267	1.589611933849501	1.4562620946743965	1.3493150358667165	1.5044280080069425	1.8469134045987854	1.733339930289626	1.832534075851374	2.2455545352241177	1.7579964491070088	1.4931385919427036
YAL018C	0.07184775402032201	0.25662980673829683	0.094500771256062	0.10580408065644367	0.1159231208648187	0.43795031234458903	0.3453939386430118	0.3342275463297448	0.4596251200645816	0.3446549936388368	0.4585503481113194	0.35100810550857825
YAL019W	2.1913147887683646	2.3556194626147144	2.3302910388563323	2.3718891893662852	2.488408907548781	2.4312000098541207	2.2178756665490518	2.429383373613278	2.2707860252902994	2.032098235796086	2.2918644482081616	2.421385712488837
YAL019W-A	0.4546950173921709	0.37314976148161616	0.2960782518472586	0.5054916756836888	0.46797310730781577	0.42901846709448554	0.4585503481113194	0.4707279028120907	0.4207232445974798	0.4411858620124387	0.4725985543930875	0.5304464705017393
YAL020C	1.5958751215438975	1.601995706614554	1.6337633008808266	1.6996353658386003	1.6791619529560347	1.498541165109912	1.6080922606842576	1.6016840232677039	1.590813744916613	1.5993863673001045	1.619203867611749	1.5618270613583252
