Gene	SRR1587706	SRR1587707	SRR1587708	SRR1587709	SRR1587710	SRR1587711	SRR1587712	SRR1587714	SRR1587715	SRR1587716	SRR1587717	SRR1587718	SRR1587719	SRR1587720	SRR1587721	SRR3439060	SRR3439061	SRR3439062	SRR3439063	SRR3439064	SRR3439065	SRR3439066	SRR3439067	SRR3439068	SRR3439069	SRR3439070	SRR3439071	SRR3439072	SRR3439073	SRR3439074
YDR015C	0.0869174456169025	0.03849849923610589	0.10411560865412371	0.07978963743328191	0.07896732466064874	0.07017427621729466	0.29565379713524753	0.06974173067123653	0.027642582336018982	0.08102782944649495	0.045437435213413487	0.13693379302927539	0.08567290577034573	0.09954093689132994	0.08020175629819058	0.19106204657243314	0.1752700346046912	0.11771471889837985	0.15452807350185654	0.15286941738577312	0.1986720436706721	0.23330297553128873	0.15109064813540124	0.05032186991494962	0.25662980673829683	0.020420105507506916	0.36536256325255323	0.3128007333445408	0.19586777958285878	0.23937424086159717
YDR016C	0.7294391461039643	0.8449857905079575	0.8189982538909084	0.6988512991120661	0.8212563065464553	0.7852193854761859	0.8427531045342592	0.7766687956308969	0.7835417076682942	0.7281818702098921	0.7552022275937245	0.7526077496393166	0.819677187883741	0.6963316838455941	0.7950695989513628	0.7721249037382876	0.7852193854761859	0.7539823913425328	0.8327683486128787	0.8544234081647695	0.710668261738584	0.6552060991827248	0.7802549391495825	0.7721249037382876	0.8827571949960991	0.8338722473156563	0.7232846327512157	0.695195591854217	0.6116409757153656	0.6468313922221081
YDR017C	2.2165167044196474	2.9646889591965384	2.3402893336254875	2.4572884303622824	2.357081492395993	1.9534907705893034	3.1748756757950787	2.0468895230208073	2.0042964095774085	2.324486147471204	2.359232834359287	2.381740919975682	1.8954945042775855	2.3384277536164007	2.4849192085540297	2.240774278347034	1.821991687976845	1.9028351080470447	1.7261085877193214	2.877092207426866	2.133251089851536	2.315597668272062	1.8004370876656635	2.2924337963660157	2.6893174363045516	2.133251089851536	3.456986556838361	2.377981094135796	2.2756724423682018	2.2178756665490518
YDR018C	1.8982106964633922	2.2286038509502686	1.5785978646517456	1.6269547996942264	2.377981094135796	1.4157891025017757	1.911093183144395	1.5095248877848138	1.9976876306745353	1.6301081710399905	1.9598669716202395	1.9458118615206956	2.0095303664941184	1.545881174717825	2.3178566481099607	1.5451718340109324	1.4632159532220197	1.591433817121501	1.9834816823815609	2.1341307785371875	2.000055674840429	1.707952429643529	2.0042964095774085	1.9250143186406574	2.41447402580617	2.45011234097804	2.451412766524927	2.4130304279624744	1.5286315187215744	1.6738484350946745
YDR019C	1.3074560261431245	0.9221003275996449	1.2221955327338558	1.2439238556540748	0.9965071680574129	2.4399486430817334	0.8737762219989929	2.9009289654431822	1.4727695080565784	1.340722142523461	1.1671076515964705	1.1972916748395894	1.147213743152999	1.2833314067653803	0.9121236162421502	1.1963040116402586	2.41658291362499	2.833783733184437	1.3042978284466646	1.2830014324171186	1.6469683392166008	1.1861996809601945	1.741684075375925	1.1359476891001865	1.424049005486249	1.5328039372666358	1.136452047189262	1.2990993598397345	1.1744267380368787	1.252326379107249
YDR020C	0.6727359236224265	0.8578670297621598	0.643592919918347	0.7198301667489863	0.8896081902722895	0.8485107309490493	0.7412483470140416	0.8101424438522529	0.8726340909352271	0.73873358547638	0.852915601607067	0.5982787279438966	0.9849088553355517	0.7019378982743012	0.8113380510938963	0.5419077702183329	0.9058465046974675	0.9842591589144629	1.1329696347084919	1.25659360507185	1.2990993598397345	0.6731399533981315	1.2241679697583268	0.6094373457896068	1.313506629322353	1.4656866817820804	1.1045372274060823	1.4821373410885417	0.6060420982838138	0.6183655625168172
YDR021W	0.6570747776836745	0.8248501112006414	0.5643480776252439	0.6830685864230827	0.8175788663398836	0.6942986406283591	1.0113887150545837	0.7628425901221484	0.7950695989513628	0.7266250035208726	0.827187089791005	0.5521116404009705	0.775660930172639	0.7000733406631053	0.8225821636181094	0.30853219322205705	0.48163585148227983	0.5526506031785952	0.5526506031785952	0.8560850564661207	0.6274808535682953	0.42901846709448554	0.5987823369696342	0.28018817801421986	0.6507430280222217	0.643592919918347	0.7696555712745202	0.6694817273596404	0.4155809435399752	0.4707279028120907
YDR022C	1.5785978646517456	1.4823782617192653	1.5936077918574738	1.5734772747193861	1.3741409251540493	1.4920575064877233	1.4810343596054225	1.5038867652488757	1.365390131388766	1.5168507687864985	1.4050367089870894	1.6752598400550192	1.2052828384228216	1.496172499489595	1.3615962221606353	1.5000799199799935	1.4312958156696933	1.3982116664248392	1.1460568471639518	1.5502167555492732	1.3320156428788021	1.5023382484931724	1.3131770295960594	1.5809322123701661	1.4487117239379521	1.3012237171883148	1.3298936498412166	1.2428922172868966	1.4050367089870894	1.4430082859274151
YDR023W	1.9444512945110146	2.9669995980247013	1.8896210201137063	2.2281517907783117	2.2918644482081616	3.0530026620124864	3.0649354641836752	3.158008760806217	2.61708741874268	2.090307993916507	2.345933785178845	2.054097113609882	2.972304206317472	1.838025140624502	2.591237555894897	1.747802617367464	2.76728142454407	2.8472904485065085	2.7236717615467754	3.016132248958484	2.1136440933806178	2.0778919512310603	2.3749171814102237	1.9064037701106034	2.7092394285051142	2.0637444066267934	3.584153114000686	2.41447402580617	1.7159422779199134	1.9455556625242654
YDR024W	0.26935795609903773	0.49177256808899317	0.10411560865412371	0.3882463179184704	0.419202242320631	0.28018817801421986	0.29565379713524753	0.35100810550857825	0.38527450536212315	0.295247978592439	0.2752891334505877	0.42828812503704794	0.6011662844932083	0.09954093689132994	0.6534673012745752	0.17105751870922406	0.26276487995542747	0.24716121131643687	0.38374562263703127	0.49718979218236137	0.1456912442174261	0.17441864029547632	0.2675841852279284	0.23689834990677	0.33044580365872017	0.301858937033238	0.41481650097483846	0.3182395332865162	0.07978963743328191	0.14845318368188898
YDR025W	1.708706861322224	2.447897821183705	1.6110187277819923	1.7245035195887883	2.823645356160293	2.7627136372922845	3.090984962855438	3.2872898484339066	3.761389737018569	1.7973996025344536	2.7893385728069493	1.8389746927900372	4.032566056248245	1.5102442256555215	2.471907521266604	1.525972680249664	2.7131621188167343	3.1926200966919556	4.073882342470501	3.243303271567622	2.8069020872209167	1.6712546923485827	3.764382163189069	1.741684075375925	2.488408907548781	2.778769165666725	2.874376036366658	2.390017728403618	1.4780939464507663	1.7245035195887883
YDR026C	1.437487276190149	1.3987662411436639	1.260884657025905	1.4174075111686923	1.1695440796691359	1.3387953116859947	1.3919775348553085	1.2548439735526347	1.2889147413262674	1.5130703577945352	1.3042978284466646	1.3815260532633789	1.1465424662557593	1.4454021888987838	1.348744307195407	1.1554737198012242	1.2061886802145718	1.1966371958227753	1.004514712070876	1.3970139194596853	1.1667069066080227	1.2756189361379673	1.1435093002611563	1.2902614610175194	1.24741431804133	1.0387790240030372	1.4758825904724606	1.1886690744453223	1.3211844341219372	1.3964530044171546
YDR027C	1.5224920722512671	1.8460589938076557	1.4259777946174221	1.6016840232677039	1.6214477335726754	1.8064314128599759	1.798316216405507	1.7043230581825686	1.6681274087058044	1.5454735409560358	1.6600520850001765	1.484904305673417	1.6168179568410703	1.4424335473543528	1.7729051459505087	1.3997000795834285	1.7083314206895504	1.611817667921866	1.4959105416217777	1.7137997630704314	1.5069236747073336	1.545881174717825	1.5114584434002118	1.4272460233170932	1.7030023944018917	1.4851880044694528	1.986910646198095	1.6831361449530136	1.3891526911429875	1.5346420453957437
YDR028C	5.394131818941976	3.1851040351897106	4.563463528266924	5.214611347083714	2.2562701359516435	2.9383268816778667	3.137551346847112	2.8272954081085837	2.54141773665724	4.900242658971436	2.955379501918412	5.403304302839852	2.1386588086443687	4.5205703005216975	2.629954411335799	4.275661937741961	2.734203401659468	2.686570025938644	1.9958055702926467	2.91586285633726	2.6950540751557917	4.7431600173775035	2.3326072858074673	5.123519001666763	2.944447566445395	2.114108607582178	3.881007457996392	2.473064790075078	4.230520175704577	4.616070553772031
