Gene	SRR636633	SRR636634	SRR636635	SRR636636	SRR636637	SRR636638	SRR636639	SRR636640	SRR636641	SRR636642	SRR636643	SRR636644	SRR636645	SRR636646	SRR636647	SRR636648	SRR636649	SRR636650
Q0255	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0275	0.10996205541601414	0.005773811105296769	0.003356824325426803	0.06638952523995305	0.0008738636561302895	0.0076908142936565095	0.08397814141993212	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	0.06468838498406662	0.076461414814712	0.3102562433778181	0.07811618253988781	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0285	0.08816121027237388	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
Q0297	-0.0005833833204564813	0.005773811105296769	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.008170577530094019	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
RDN18-1	10.464779104646581	10.522352049194033	6.045619567726437	9.812777547282774	8.46664072431871	8.455275079419549	9.677795271612801	9.125946274349847	9.074166953787508	9.094002106928592	8.118473135183752	9.13693039172888	8.412410843390983	10.552899691671737	6.031629198620254	8.98404843909703	9.125946274349847	9.094002106928592
RDN25-1	10.641639102468298	10.912307204971501	8.565315738785966	10.552899691671737	9.644976805209001	9.425309129682937	10.380967930368602	9.959292194791908	9.812777547282774	9.76669227681463	9.375927700976172	9.76669227681463	9.319358897355142	10.844656263224461	8.551859251389569	9.805057292625115	10.280278690157264	10.171459498227641
RDN37-1	-0.0005833833204564813	0.5341550385466125	0.003356824325426803	-8.494832993485335e-05	0.0008738636561302895	0.0076908142936565095	0.47379653305708536	0.05392856524056319	0.02808323346422211	0.002374995763083624	0.0008738636561302895	0.19472365500364136	0.005773811105296769	0.4838253978694283	-0.00982098892061772	0.1840877718907294	-0.0005833833204564813	0.4011487470292875
RDN5-1	1.1178347732484415	0.8218199327527389	0.5315816374076917	0.9229124758316769	0.6073936240779274	0.0076908142936565095	0.8800649443483295	0.05392856524056319	0.615517346053631	0.002374995763083624	0.6777665098433647	0.7175071804263355	0.6071590975130858	0.6660740326357224	0.6042245827787812	0.5330759513401723	0.5971051858668761	0.6860824062348252
RDN5-2	0.6717441505733284	0.005773811105296769	0.003356824325426803	0.6443474910865785	0.487248138603386	0.6877504396333629	0.008170577530094019	0.746461699138165	0.02808323346422211	0.6240873323379098	0.0008738636561302895	-0.0015942269664591922	0.005773811105296769	0.006737317604990549	-0.00982098892061772	-0.01085568236343424	-0.0005833833204564813	0.007214877541498863
RDN58-1	5.127107023622281	5.114207994503531	1.4181790240910255	4.468786538519117	1.9072062666830354	1.71732015599715	4.7431600173775035	2.5360561628098353	3.4791294225058746	1.6448702755279525	1.420606758630387	2.24468649184619	2.562354935180051	4.356020865238346	1.5609402698438317	2.244164206259806	3.158008760806217	2.2278135131258057
