Gene	ERR2088803	ERR2088804	ERR2088805	ERR2088806	ERR2088807	ERR2088808	ERR2088809	ERR2088810	ERR2088811	ERR2088812	ERR2088813	ERR2088814
YDL162C	0.16148174010573182	0.36032544767482366	0.0936400747039121	0.05905261665440087	0.14794429619722718	0.10080769648309176	0.14051486678826258	0.10246030070760928	0.12628717608581289	1.042602442106082	0.5628335957676683	0.15198644603121902
YDL163W	0.16148174010573182	0.36876775128219974	0.0936400747039121	0.05905261665440087	0.14794429619722718	0.10080769648309176	0.14051486678826258	0.10246030070760928	0.12628717608581289	1.042602442106082	0.16937883593771885	0.44920533555021547
YDL164C	1.2732898267835768	1.4949791725122104	1.2841295244836919	1.2758959235571279	1.3385904840692564	1.4400051599690813	1.3891526911429875	1.4036679703797927	1.4116830359998407	1.042602442106082	1.5038867652488757	1.6032861080107481
YDL165W	1.833313603011381	1.7456837999378207	1.904796816096233	1.958952140974369	1.9283941595456158	1.7137997630704314	1.7105807902832006	1.8108023883418536	1.900582209349062	2.606809085146299	1.8503438674172439	1.8004370876656635
YDL166C	1.1801065948288652	1.060792271739104	1.0428301015894603	1.0390550047341551	1.051490722332748	1.0071224522230178	1.1552177628207045	1.1295162184386431	1.3573307212163384	2.926157953331201	1.1727605352718977	1.2457892209843653
YDL167C	1.0193604770748497	1.0026816487025139	0.9324618865271602	0.704404631296383	0.8925862188309831	0.9821685895712582	0.9472163901792807	0.9608702249909069	1.0512428900155326	1.042602442106082	0.9433758537121245	0.9266650172928423
YDL168W	3.002015092263358	2.926157953331201	2.8462727682207314	2.214798585085746	3.3471558156193506	3.893980285643069	3.1897253443172686	3.3310775484059496	2.97308028633989	2.506201128131014	3.275488389083631	3.331693921676377
YDL169C	3.2502874400670088	2.8462727682207314	3.1119382929844677	2.6076775820299236	3.3793454544069004	2.749757338329535	2.9324992337740827	3.0091223909464593	2.393857133121755	1.042602442106082	2.9430904350924294	3.3715707598044173
YDL170W	1.7628229140973475	2.031184821397736	2.025018937839265	1.3547488685456983	1.9014183717896889	1.8499383672208358	1.6747082997300928	1.6511505225310124	1.3938873496560062	1.9335120568810134	1.8064314128599759	1.7007398320863545
YDL171C	3.391999362612405	4.437046817364717	3.761389737018569	3.137551346847112	3.5023293633822385	3.64429800782332	5.7350097112637926	5.829255191392853	5.2815003246759495	1.042602442106082	6.244440612975547	5.764282690530599
YDL172C	0.5201636946856775	0.3586259894623447	0.5862402987461439	0.633498935428027	0.5908384469996739	0.5484836546225147	0.48105953064397666	0.6762761042437798	0.6032366703699997	1.042602442106082	0.6006944787757413	0.6830685864230827
YDL173W	2.345933785178845	2.3873081439448116	2.0763784418469586	2.0515173155608935	2.235898509923305	2.451004067831933	3.3182483500954785	3.843505593874686	3.297356230902426	3.440683301806651	3.7415128290935993	3.724395688963964
YDL174C	7.606017171227773	9.074166953787508	8.6642995021941	7.508504588196985	8.891690668658846	9.603361528118322	5.887129146400355	6.550488326260689	6.818983181604782	4.964737367963922	6.663710832433891	6.663710832433891
