Gene	SRR5798519	SRR5798520	SRR5798521	SRR5798522	SRR5798523
YER019W	1.788803456497021	2.4824170912183003	2.0872394083155883	2.078742739884831	1.8978564879187836
YER020W	5.192449285483917	5.209693316440736	6.822758654857034	4.428983347802596	6.557382184727108
YER021W	3.3541283803637962	3.1318081806803155	2.8452141330698484	3.108644470709719	2.6893174363045516
YER022W	1.0595443395303565	1.2229582997783266	1.1681920774295482	1.1150783273746037	1.1334689850654602
YER023C-A	0.017159440347852415	0.014351819166995216	0.0076908142936565095	0.0008738636561302895	0.009644312695882297
YER023W	2.5696893950896307	2.3169218676152017	1.8679495871853635	1.7741012237337048	1.7276357640527058
YER024W	2.0183575026384	7.093352780634183	5.637427308317436	2.8951249004244923	3.938209859249115
YER025W	2.9710294126625185	3.1729299681988166	3.0741838864645348	3.2626461188598914	3.2815366261162606
YER026C	3.1833473948006494	4.360623602379331	1.9723161249574084	2.3019917359831448	2.0630666974781064
YER027C	1.7065358020084878	1.685042734324294	1.576624483743108	1.437487276190149	1.5332441017512193
YER028C	1.7736714293171072	0.9070979497234906	0.8172787464492939	0.757094056010594	0.7673485449037742
YER029C	1.6766235412551502	1.413750882644073	1.1689614482388622	1.0428301015894603	1.182424179937643
YER030W	2.97308028633989	2.1720775886731305	1.7941839563343005	1.7437177209098316	1.7265320676952425
YER031C	2.184502857633524	1.8102389070667875	1.4949791725122104	1.3714745981413565	1.385374013006861
YER032W	0.9590495739409155	0.8993934380016684	0.8015314364428036	0.8443401581218037	0.8172787464492939
YER033C	2.3584341324042177	2.172601727044219	1.9430454527920054	2.074300218689725	1.9353313034801518
YER034W	2.031184821397736	1.21888598085886	1.180317734651915	1.2735185531910227	1.1190941703408843
YER035W	4.21006392106391	4.665426098614287	4.885386457456268	4.266541637199937	4.458304789460736
YER036C	2.996007390635075	4.468786538519117	4.561149509162873	5.47704237147056	4.6342467952914115
YER037W	4.706768260507264	3.589016615602098	3.4456635392168127	5.211973955853135	3.698042987336524
YER038C	1.1372680952108318	1.0954025364302304	1.0550743529107847	1.252326379107249	1.081813795382907
YER038W-A	0.7382097427919292	0.6955337489761695	0.8167127524983759	0.7382097427919292	0.7689786243077263
YER039C	0.9790636447141382	0.894328237976615	1.115666018097218	0.92876701345025	1.0908391509811406
YER039C-A	0.751440780449049	0.6938952080055778	0.7023033096131384	0.6472316178025689	0.7088185628369598
YER040W	1.3530052040600309	1.5318744416393058	1.5809322123701661	1.4307648632921324	1.5835072582584249
YER041W	1.8037900478567734	1.6858271449771545	1.5884672625290412	1.5030890614784405	1.4998174986827606
YER042W	1.5975116473931004	1.9986759102224443	1.6660474072103217	1.8143602777293923	1.7919214061717643
YER043C	5.629882057012521	6.467132649298106	5.121122411103784	5.24032715569555	5.444885532704093
YER044C	1.9756411735728747	1.5759925070748801	1.3902770519655587	1.5149233698512463	1.3815260532633789
YER044C-A	0.6278800205743847	0.5490332218983595	0.6078507154558266	0.670010202344146	0.5952723510172941
YER045C	1.3096556935380943	1.1193532782876827	1.074174522689204	1.4788150211665312	1.1746496573155416
YER046W	0.6959187167058312	0.8298861439003666	1.047532670011791	0.8521196635896048	1.0078788664458986
YER046W-A	0.4454682707819951	0.49305498645995616	0.5073735463765363	0.46797310730781577	0.5446800703115714
YER047C	1.8060499168162474	1.7649464359977207	1.9995788231282872	1.7927140589133224	1.9788338646688346
YER048C	4.080559692772242	3.3445463428422366	3.1119382929844677	3.400935700519169	3.0050902915888464
YER048W-A	1.4709175308882536	1.5798089995288773	1.500900979224077	1.5624934028355937	1.5476580732993703
YER049W	1.7094249531906982	1.7902696279896202	1.8787349477803277	1.9324506404079083	1.953106770249105
YER050C	1.5785978646517456	1.8679495871853635	2.3681039251099754	2.3178566481099607	2.688043216268953
YER051W	0.8495798478255183	1.350405271896196	1.5336209539807824	1.5316283981599268	1.5354388730194157
YER052C	1.2268126518517628	2.4659200820482274	3.110633143028582	2.2115368076556727	2.392963685271491
YER053C	8.196583799265213	8.784921741103126	7.594049194375483	7.504124333254944	7.260831774972612
YER053C-A	7.8272803844083185	3.9077579934248936	4.563463528266924	7.889413666890618	4.964737367963922
YER054C	4.044020079094437	3.591189987858825	4.278916416200948	3.166095650319499	4.726828309055095
