Gene	SRR7241903	SRR7241904	SRR7241905	SRR7241907	SRR7241908	SRR7241909	SRR8093860
YFL011W	0.7221752857182678	0.7310553430017928	0.7610115548992736	0.8322123364780121	0.6266626674521516	0.5514640123641901	0.7625236240302671
YFL012W	0.7266250035208726	0.3042977321525522	0.7753720462014426	0.7004180034537568	0.6274808535682953	0.6881088017278689	0.37164851790994813
YFL012W-A	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL013C	1.943618278400735	2.0763784418469586	1.9069017903743752	2.421385712488837	2.166427839619093	2.1747976931760897	2.4124888190019846
YFL013W-A	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL014W	2.2562701359516435	1.0354948805573656	3.3715707598044173	6.077760145565703	1.2201474694150252	1.6398463823827032	7.8475530104494045
YFL015C	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL015W-A	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL016C	2.0937881790758803	2.411538125783965	3.244179619730326	2.5550116198963395	2.509091674408026	2.836399671565577	1.6613117107127326
YFL017C	1.6301081710399905	1.8424103385145454	1.8664939767765072	1.7388905553084066	1.6516621663200288	1.5724050148468607	1.8004370876656635
YFL017W-A	1.5336209539807824	1.464171705546877	1.5785978646517456	1.596884389174878	1.1883165756602998	1.1061941043173178	1.8595158147111128
YFL018C	4.360623602379331	4.140994159752146	5.5345897631471	6.220510705316173	3.2730059497751274	2.739786650788983	6.900381552617359
YFL019C	0.24586199416948817	0.3042977321525522	0.6362246869927217	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL020C	0.6968115015283723	0.6199512487744979	0.32540453702911754	0.6451396986603857	0.6674804572951651	0.2510567418678871	0.37164851790994813
YFL021C-A	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL021W	1.3896687409782278	1.3498329689275261	3.2688150162152056	2.957006979066355	1.7325945527988835	1.2332902771146435	2.2963087612676896
YFL022C	5.539818966041282	5.434941324580414	3.9216960178377107	4.755186301292243	5.501020347462963	5.326030439799245	3.4656405944674535
YFL023W	2.084998280115087	2.2051625184395562	1.8978564879187836	2.0490149523735233	1.9742856784815819	1.9064037701106034	2.396913668031665
YFL024C	1.2126808719564361	1.2785581878775012	1.4883610245068999	1.5004388826512411	1.2498303265606343	1.1811266891213583	1.4654150017492882
YFL025C	1.4612825034216699	1.4495700064344568	1.2030030767043665	1.2640496601868476	1.2934792202037544	1.3860406599681088	1.1329696347084919
YFL026W	4.565052939037622	4.5552769872289876	2.4577084770524626	2.588150717778804	4.444065371899854	4.274395212925541	1.8903053336755336
YFL027C	1.1465424662557593	1.079550625831193	1.0822405960504522	1.0813844627376465	1.0757680802323955	1.157456937195074	1.182956188798627
YFL028C	1.7094249531906982	1.6076677334877427	2.0925454329697306	1.5606582967770155	1.3894243471941294	1.5216063533307391	2.7598915088004676
YFL029C	1.2241679697583268	1.1868362278974962	1.2033234508590933	1.1836168494054469	1.241564820053175	1.3490404829858025	1.2811111637841572
YFL030W	0.8560850564661207	0.8130101515409734	1.588186734159945	1.8476085412142558	0.8193392526321208	0.8699824610482473	1.691279418889615
YFL031C-A	0.24586199416948817	0.3042977321525522	0.32540453702911754	0.2752891334505877	0.22460273481834392	0.2510567418678871	0.37164851790994813
YFL031W	1.1968535960958713	1.2336007598066814	1.8558200907599065	1.2758959235571279	1.526238424492385	2.303057588067454	1.8282767466252423
YFL032W	0.8490395877300787	0.8056836027057732	0.8175788663398836	0.8311324940980578	0.8638605069371421	0.9419869558099904	0.6731399533981315
YFL033C	1.6101195368011698	1.5712761694264565	1.5247122131054243	1.6166161101325447	1.6440870987795093	1.4959105416217777	1.3819605446998509
