Gene	SRR1583716	SRR1583717	SRR1583718	SRR1583719	SRR1583720	SRR1583721	SRR1583722	SRR1583723	SRR1583724	SRR1583726	SRR1583727	SRR1583728	SRR1583729	SRR1583730	SRR1583731	SRR1583733	SRR1583734	SRR1583735	SRR1583737	SRR1583738	SRR1583740
YOL077W-A	3.1205563188172145	2.6417246975899222	2.894881899977935	2.6545309038349445	2.6924275233043367	2.864293979361793	3.3732356862959616	4.175942508857267	3.1094011839942324	3.043524716307605	3.1815201503138977	3.4296909618416516	3.5882387985089723	2.996007390635075	3.4082582580384635	3.543604031931024	3.43439340724483	3.25096603019828	4.482385484539243	4.231163909568876	4.083833937255967
YOL078W	1.9723161249574084	2.0205315969304243	1.962763251898787	2.0242648682197557	1.860560855790356	2.0124201253632834	2.01300549183581	1.991391507958033	2.021123991343101	1.8310080596321159	2.471907521266604	2.010184835262003	1.8570278580513524	1.9953613875088607	2.2885821928719285	2.1215862903541867	2.4410954650034817	2.4607339846874177	1.9105313855292476	2.18505663789754	2.167409844250874
YOL079W	0.8392490947821156	0.31144409511598875	0.30385447005348304	0.376478108894752	0.2818358008849934	0.33308388384289533	0.30757530693119306	0.49777900713456935	0.3527729372316215	0.2797860024308806	0.3633865448214376	0.40805289325960276	0.8603163343069447	0.9021750899575208	0.3171276130404578	0.314860972930152	0.26471067451022995	0.3289218734151451	0.6408197130769728	0.636866429345941	0.3424169409188892
YOL080C	1.2210812379734044	0.9016636196484248	1.1956765685656494	1.3447421697264874	1.292629221556809	1.3525937997549913	1.4107915705520715	1.0872165347292864	1.182424179937643	1.107701308789565	1.093232777079947	0.7498178338046669	0.8603163343069447	1.8384620955003272	0.9263967115040264	0.730618234007794	0.8074672866759629	1.2100395802619837	1.0369500858553249	0.8841503478638127	1.1009587257684257
YOL081W	2.354748358131755	1.7338701492977489	1.5643153613651632	1.4769803192567799	1.919417113499788	1.9345209346144598	1.8320915183856255	2.778769165666725	1.3116570587308418	1.7558072474126658	1.788309376270104	1.80070526826455	1.5838127337337453	0.9021750899575208	1.7012643811288246	2.127757296421675	1.962763251898787	1.9480173808870103	2.1645572425256825	2.1029149319350013	2.144890334417794
YOL082W	1.1963040116402586	1.2632038420686231	1.2889147413262674	1.6049824934633983	1.0996957199841142	1.5023382484931724	1.4493129349003082	1.2632038420686231	1.7019093601011057	1.5893080463976754	1.82319058787925	1.6679088978370669	0.8603163343069447	1.5682416983876168	1.8827935651396448	2.0219779754622644	2.007260751245928	1.953106770249105	2.101554725653784	2.367053223146858	1.9811740004538003
YOL083C-A	0.2978374008712847	0.31144409511598875	0.30385447005348304	0.376478108894752	0.2818358008849934	0.33308388384289533	0.30757530693119306	0.49777900713456935	0.3527729372316215	0.2797860024308806	0.3633865448214376	0.40805289325960276	0.8603163343069447	0.9021750899575208	0.3171276130404578	0.314860972930152	0.26471067451022995	0.3289218734151451	0.3461487862982448	0.2825998920652203	0.3424169409188892
YOL083W	1.5243499767784334	1.4330460486156325	1.3430114188545064	1.4434879152047444	1.5461966599602555	1.2969113416585698	1.172512432878456	1.795599216670122	1.6752598400550192	1.6385255569838333	1.8299362092797058	1.623527486919616	1.5638232924714621	0.9021750899575208	1.8047770759490485	2.0772376879191614	1.4851880044694528	1.6133523756152044	1.601995706614554	1.8660737995281478	1.8621745052873597
YOL084W	0.6022355860112623	0.7156234166724875	0.7058784821240871	0.8653875869893902	0.6781648483033897	0.8334706518014015	0.617894412906065	1.2457892209843653	1.0822405960504522	0.9404365167065556	0.8454338294722632	1.0488956462385468	0.8603163343069447	0.9021750899575208	0.883647224872151	0.9387277860972091	1.163439867660815	1.1138937179075852	1.1526074229988923	1.1202144132869196	1.5624934028355937
YOL085C	0.2978374008712847	0.31144409511598875	0.30385447005348304	0.376478108894752	0.2818358008849934	0.33308388384289533	0.30757530693119306	0.49777900713456935	0.3527729372316215	0.5924645710147841	0.3633865448214376	0.40805289325960276	0.8603163343069447	0.9021750899575208	0.3171276130404578	0.314860972930152	0.26471067451022995	0.3289218734151451	0.3461487862982448	0.2825998920652203	0.3424169409188892
YOL085W-A	0.2978374008712847	0.31144409511598875	0.30385447005348304	0.376478108894752	0.2818358008849934	0.33308388384289533	0.30757530693119306	0.49777900713456935	0.3527729372316215	0.2797860024308806	0.3633865448214376	0.40805289325960276	0.8603163343069447	0.9021750899575208	0.3171276130404578	0.314860972930152	0.5743592138871721	0.3289218734151451	0.3461487862982448	0.2825998920652203	0.3424169409188892
YOL086C	11.746071809201743	11.746071809201743	11.237759902083965	11.237759902083965	11.237759902083965	11.237759902083965	11.237759902083965	11.00159888932874	11.237759902083965	11.237759902083965	11.237759902083965	11.00159888932874	10.641639102468298	10.641639102468298	11.00159888932874	11.00159888932874	11.00159888932874	11.00159888932874	11.00159888932874	10.912307204971501	10.912307204971501
