Gene	ERR2682199	ERR2682200	ERR2682201	ERR2682202	ERR2682203	ERR2682204	ERR2682205	ERR2682206	ERR2682207	ERR2682208	ERR2682209	ERR2682210	ERR2682211	ERR2682212	ERR2682213	ERR2682214	ERR2682215	ERR2682216	ERR2682217	ERR2682218	ERR2682219	ERR2682220	ERR2682221	ERR2682222	ERR2682223	ERR2682224	ERR2682225	ERR2682226	ERR2682227	ERR2682228	ERR2682229	ERR2682230
Q0010	0.1641123221332098	0.15286941738577312	0.14975849789595788	0.14794429619722718	0.15970639612429635	0.1663218110885194	0.15751503749533272	0.16979250352048755	0.16058354857499502	0.16722359859766345	0.16722359859766345	0.14845318368188898	0.16457913525184747	0.4960102775453341	0.16234463637236013	0.16234463637236013	0.15751503749533272	0.15198644603121902	0.13603884044787912	0.15153979915869764	0.1532856564667112	0.1465673498487981	0.14613084867733778	0.1549442179228085	0.1570937506772226	0.14975849789595788	0.14136857258893532	0.1549442179228085	0.1549442179228085	0.3860537584320394	0.15369910436537595	0.39523216798960126
Q0017	0.1641123221332098	0.15286941738577312	0.14975849789595788	0.14794429619722718	0.15970639612429635	0.1663218110885194	0.15751503749533272	0.16979250352048755	0.16058354857499502	0.16722359859766345	0.16722359859766345	0.14845318368188898	0.16457913525184747	0.16457913525184747	0.16234463637236013	0.16234463637236013	0.15751503749533272	0.15198644603121902	0.13603884044787912	0.15153979915869764	0.1532856564667112	0.1465673498487981	0.14613084867733778	0.1549442179228085	0.1570937506772226	0.14975849789595788	0.14136857258893532	0.1549442179228085	0.1549442179228085	0.15411321919992804	0.15369910436537595	0.16058354857499502
Q0020	0.7753720462014426	0.8074672866759629	0.8098199733079007	0.7799215184639495	0.7617928841902897	0.7460564656973228	0.7740611893575342	0.7631502991969012	0.8004788721094613	0.7875733845849976	0.7770219990565302	0.807821258704055	0.7518197063446945	0.7770219990565302	0.7766687956308969	0.7859255125399847	0.7655219986765288	0.7564761087752322	0.7346057438576441	0.7460564656973228	1.5712761694264565	1.566917054372126	1.5795501471616988	1.5801638835742873	0.7666219002056411	0.7856138437764383	0.7983323225574993	0.775660930172639	0.7753720462014426	0.7828637309128312	0.7783676832734342	0.7539823913425328
Q0032	0.1641123221332098	0.15286941738577312	0.14975849789595788	0.14794429619722718	0.15970639612429635	0.1663218110885194	0.15751503749533272	0.16979250352048755	0.16058354857499502	0.16722359859766345	0.16722359859766345	0.14845318368188898	0.16457913525184747	0.16457913525184747	0.16234463637236013	0.16234463637236013	0.15751503749533272	0.15198644603121902	0.13603884044787912	0.15153979915869764	0.1532856564667112	0.1465673498487981	0.14613084867733778	0.1549442179228085	0.1570937506772226	0.14975849789595788	0.14136857258893532	0.1549442179228085	0.1549442179228085	0.15411321919992804	0.15369910436537595	0.16058354857499502
Q0045	0.5862402987461439	0.6557617739994056	0.37387252367383783	0.39445885160376093	0.3882463179184704	0.5234740095588416	0.37689343602727327	0.401841753269969	0.517308718452646	0.519012995359969	0.5240515001488368	0.5240515001488368	0.3966468050986687	0.6629938302403964	0.40388447227285634	0.3882463179184704	0.5397018892973792	0.5094303634869016	0.6557617739994056	0.4207232445974798	0.7658649420351906	0.7750709428168733	0.7819904133911513	0.7603796001810538	0.6552060991827248	0.46417071816038585	0.6394412578338934	0.4635904556217429	0.635252571212058	0.4239080135690584	0.6430752331078344	0.16058354857499502
Q0050	0.6408197130769728	0.5240515001488368	0.49388078166180305	0.6116409757153656	0.38070512255464795	0.5223921257189765	0.37314976148161616	0.58727756212579	0.40388447227285634	0.5957231184850167	0.4184863890541406	0.14845318368188898	0.5809675954241957	0.3882463179184704	0.3860537584320394	0.3825730397727295	0.5532040952951327	0.15198644603121902	0.6050820790119467	0.5701673821096738	0.8734789096698959	0.8674471753260676	0.8704142608547896	0.8833355724010503	0.6027686139158706	0.6674804572951651	0.5830511900126061	0.5658624365010498	0.5937343038019891	0.5479612307343303	0.617894412906065	0.5948373823517955
Q0055	0.5917738348274523	0.6150586521513195	0.49777900713456935	0.581490737778039	0.39132788449254075	0.40252220887303714	0.5775789688553062	0.4075865518146345	0.16058354857499502	0.45190030509058	0.5334409002906811	0.5351711592561661	0.386768183432551	0.386768183432551	0.5751585640445531	0.3814879418882996	0.6213352922730313	0.650158489181276	0.608394052691905	0.6408197130769728	0.8280128102209814	0.8286326204786922	0.8150704188558425	0.8120187433496416	0.5692011641352982	0.6022355860112623	0.5430430487644909	0.6522046386630407	0.6570747776836745	0.5751585640445531	0.5424414399809163	0.6639447233202856
Q0060	0.1641123221332098	0.15286941738577312	0.3578651581409735	0.14794429619722718	0.37689343602727327	0.1663218110885194	0.15751503749533272	0.16979250352048755	0.16058354857499502	0.16722359859766345	0.16722359859766345	0.14845318368188898	0.16457913525184747	0.16457913525184747	0.16234463637236013	0.16234463637236013	0.15751503749533272	0.15198644603121902	0.13603884044787912	0.15153979915869764	0.5610862367616671	0.5572013747057557	0.4759534501364876	0.5543029728825882	0.1570937506772226	0.38527450536212315	0.37689343602727327	0.1549442179228085	0.1549442179228085	0.15411321919992804	0.15369910436537595	0.16058354857499502
Q0065	0.1641123221332098	0.15286941738577312	0.14975849789595788	0.14794429619722718	0.15970639612429635	0.1663218110885194	0.15751503749533272	0.16979250352048755	0.16058354857499502	0.16722359859766345	0.16722359859766345	0.14845318368188898	0.16457913525184747	0.16457913525184747	0.16234463637236013	0.16234463637236013	0.15751503749533272	0.5711449061221573	0.13603884044787912	0.15153979915869764	0.5605994589393468	0.1465673498487981	0.6274808535682953	0.6794921314407292	0.1570937506772226	0.14975849789595788	0.14136857258893532	0.1549442179228085	0.1549442179228085	0.15411321919992804	0.15369910436537595	0.16058354857499502
Q0070	0.1641123221332098	0.15286941738577312	0.14975849789595788	0.14794429619722718	0.15970639612429635	0.1663218110885194	0.15751503749533272	0.16979250352048755	0.16058354857499502	0.5196139159186952	0.16722359859766345	0.3798775213740352	0.16457913525184747	0.5149150458919545	0.16234463637236013	0.16234463637236013	0.15751503749533272	0.15198644603121902	0.13603884044787912	0.15153979915869764	0.1532856564667112	0.6262243422583955	0.14613084867733778	0.1549442179228085	0.1570937506772226	0.14975849789595788	0.14136857258893532	0.1549442179228085	0.1549442179228085	0.15411321919992804	0.15369910436537595	0.5804470141591905
