Gene	SRR1177156	SRR1177157	SRR1177158	SRR1177159	SRR1177160	SRR1177161	SRR1177162	SRR1177163
YDR047W	2.276140845500948	1.9539351708268415	2.696774672147043	2.2766173697170187	2.520527037770732	2.602666593916251	2.0778919512310603	2.212225610523605
YDR048C	0.027642582336018982	0.430393118357813	0.22788627666264868	0.372416159770899	0.19016301880663417	0.3662907631138216	0.17843371332173752	0.16767766916029994
YDR049W	1.3888702124536756	1.7074601572429107	1.6184471035842758	1.7239640891547883	1.373291239907331	1.3760710305810273	1.8258831100761495	1.6562316606835017
YDR050C	9.812777547282774	10.142519078392704	9.471995685274207	9.375927700976172	9.375927700976172	9.396358655913309	9.52481585548779	9.52481585548779
YDR051C	3.0126579769421644	1.591433817121501	2.8891407130527487	1.7254649597236809	2.5930588018649825	3.002015092263358	1.4978743166394795	1.6766235412551502
YDR052C	1.9184237744573978	1.8440852163586052	2.136708330607279	1.6562316606835017	1.929803620629418	2.0772376879191614	1.8444971059318376	1.7838783298072522
YDR053W	0.4053884074136771	0.4267726361660512	0.4124612053080188	0.49898499032254484	0.4386636308947014	0.3359352747643932	0.5966058325216826	0.5111485015953311
YDR054C	1.5030890614784405	2.346334952925807	1.5571162387605022	2.367053223146858	1.5443866338645682	1.5112165737240446	2.3222610555985193	2.221168285827889
YDR055W	3.6011520711587917	4.4543684861964135	4.009422639544145	4.374180222914072	4.5383522446920495	4.104972248049149	5.417044221937409	4.735339122894316
YDR056C	1.733339930289626	2.7173612131299247	1.6013377692847972	2.04815525762746	1.6479573749011989	1.7019093601011057	2.251356168235578	2.074300218689725
YDR057W	1.5742548569417054	1.5387390421074034	1.5030890614784405	1.4295702270361488	1.3896687409782278	1.5038867652488757	1.5496970182400367	1.4300975397636204
YDR058C	1.996986790881541	0.9825092148543371	1.6137712897320107	1.1129147446039647	1.6279872936145123	1.8693053629216727	1.037829335490729	1.071669440489476
YDR059C	1.1275507943249616	1.107701308789565	1.1750484144007816	1.4855531858077256	1.4036679703797927	1.2532432870454693	1.0268598957628912	1.7276357640527058
YDR060W	3.409887892972467	3.0921484356185216	3.852164257036058	3.5657198561235677	3.3732356862959616	3.4782530836450087	3.509709136952973	3.280344810496498
YDR061W	3.0982799749480945	1.9742856784815819	2.5563300197530907	1.7099024345984202	2.5191250822081424	2.7449097721481674	1.9275716885108798	1.799318363207108
YDR062W	4.078116863742302	3.3561973723571072	4.019141763404134	3.1318081806803155	3.699341826095057	3.9732534480810746	3.360504157521326	3.1385986991979893
YDR063W	1.0303182833244637	2.2459615156633097	1.291584798030202	1.8835558073451333	1.3058164081743728	1.2158912996647506	2.177875547508144	1.9275716885108798
YDR064W	7.889413666890618	8.265560931278268	8.046887285326775	8.423926762592561	8.434821871571547	8.286857413476742	7.556046341241599	8.488234787372901
YDR065W	1.2950098825384349	0.9319720977372463	1.2457892209843653	0.9603276572926333	1.1693011054808786	1.26251763504236	0.9509979868876717	0.9299870381883784
YDR066C	0.9490643106610751	0.9480567405730473	0.9392624711748039	0.9419869558099904	0.9127122965571399	0.9281979309690096	0.9241271285312774	0.9236220570059148
YDR067C	1.5868195176293027	1.2103353834462247	1.819935900079061	1.1889239919465981	1.591821957709821	1.743370541958786	1.153746371633276	1.2052828384228216
YDR068W	1.8800579135862698	1.7953091737292515	1.559732581353068	1.4472173685012912	1.642397921205263	1.6766235412551502	1.7537875725605443	1.6184471035842758
YDR069C	1.1676618167899142	1.5739627187673613	1.0546348727167467	1.3604544697820158	1.162699820380412	1.1316530901558473	1.555282055982441	1.4693459597144385
YDR070C	0.6777665098433647	1.1079435084385834	0.6881088017278689	0.9507457761261745	0.8116599760107759	0.7831893122957334	1.324398405726623	1.2990993598397345
YDR071C	2.91586285633726	3.297356230902426	3.108644470709719	3.469166910929027	3.071909838092634	3.094259558201628	3.1841302490292134	3.2929327541440774
YDR072C	2.2707860252902994	1.4430082859274151	2.766011048413927	2.2732248906132044	2.6221136808875363	2.686570025938644	2.0307248801270004	2.093462969424129
YDR073W	0.9758400181882549	1.3452738746907114	1.0033437655003599	1.2294028409435231	1.1132139977770008	1.066870149221347	1.3397025403681515	1.313816756651169
YDR074W	2.552184686978242	3.440683301806651	2.6395420796856266	3.888548058979756	3.351737516858998	2.97308028633989	3.831357096846936	4.263424692492427
YDR075W	1.31822267386797	1.357660466822635	1.5809322123701661	1.3239527733037053	1.2185615997187318	1.313506629322353	1.1286771167143326	1.0813844627376465
YDR076W	0.9965071680574129	0.9161474063001989	1.0081913504362205	0.9581545846567737	0.9406949479641216	0.9933166956435404	0.962559612363243	0.9449535518257974
YDR077W	6.937100375403031	8.768000765249877	7.24882279610034	8.956104025611879	9.094002106928592	8.553860458692217	10.435731055875108	10.171459498227641
YDR078C	1.1060443319297926	0.9239046053222219	0.9378885218059236	0.8903732244501044	0.9172485395278134	0.92876701345025	0.874127632036666	0.8613093160049995
YDR079C-A	0.9401020737262188	1.1927554597312895	0.9556970596810676	1.1079435084385834	0.938988654642959	0.9590495739409155	1.1060443319297926	1.0695714567178851
YDR079W	0.957779892024385	1.3768966665030158	0.9480567405730473	1.2382378230394284	1.037829335490729	0.9825092148543371	1.3493150358667165	1.322389847411335
YDR080W	1.5403969845903125	1.5443866338645682	1.4851880044694528	1.4803657663732914	1.416783599562316	1.4392876527397185	1.426428814665335	1.5000799199799935
YDR081C	1.8258831100761495	1.811686807952165	1.8599664858386786	1.7265320676952425	1.744696312822287	1.7821200339088752	1.9995788231282872	1.8444971059318376
YDR082W	2.319888881060028	0.8596758315242243	1.968686745807772	0.8557291366492763	1.6983779070201954	1.8044847439848257	0.8495798478255183	0.8356982742397832
YDR083W	1.848990432645267	1.703317480230945	2.160608664437357	2.089557538335789	1.8628178994998508	2.029679433003224	1.955522800832064	1.82319058787925
YDR084C	1.2758959235571279	1.8209678696161116	1.2007186097942824	1.548731520113193	1.3419264189567408	1.182956188798627	1.693562169131408	1.5395708679311133
YDR085C	0.904377624425699	1.1190941703408843	0.9535069825310538	1.090563015008374	0.8717697871140392	0.904377624425699	1.015853243646786	1.1085103146361441
YDR086C	1.8845358461402189	4.444065371899854	2.270375079664376	3.7343700683198184	2.281097155919608	1.9577821213390747	3.852164257036058	3.5479629430748867
YDR087C	2.8867415586917833	1.6260871805379453	3.32720473712029	2.6505604269282848	2.5513406207728107	2.9821555061422926	1.9096837924025203	2.04815525762746
YDR088C	1.4998174986827606	1.2236905849099649	1.367055198302526	1.4063600036864998	1.2598139099277124	1.43044466668241	1.2920697737077649	1.2856645706783272
