	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3
NQM1	2.65963	3.02539	3.05186	9.78908	11.6759	10.877
COX2	9.74852	11.2946	12.1712	0.802129	1.16994	0.550973
SSP1	14.1715	14.2365	14.0436	11.7903	12.2752	12.0552
ATP5	11.9896	10.4467	11.9879	2.98042	3.88242	3.14503
MDL1	11.9178	10.5526	10.871	4.92934	5.295	5.25012
TFC4	8.39423	8.46019	8.43636	9.66781	9.91474	10.0096
MRPS28	12.1068	11.1463	11.6423	5.14415	6.16472	5.08823
MXR1	7.46237	8.09199	7.8294	11.6065	11.0021	11.465
PDR3	6.39982	6.02385	6.63519	15.3262	17.6389	15.8575
YBL059W	11.2384	10.054	10.4191	5.38617	5.75661	5.45478
LDB19	7.71388	7.66045	7.9376	10.0373	9.64123	9.71542
YOR289W	6.20513	6.31214	6.98969	10.0332	10.4102	10.4236
AIM32	10.6069	10.1367	11.1715	6.37983	6.47574	6.58153
OYE3	15.6003	14.0843	15.5092	3.88085	5.77533	4.17626
AI4	12.2263	11.7476	13.7598	2.06197	3.29747	1.95963
PET112	10.8936	10.0191	10.434	5.04289	5.95191	5.43033
TCA17	8.79516	8.71741	8.6222	11.0802	10.6908	10.6123
BCS1	10.9712	10.7779	10.9932	6.86112	6.12832	7.14446
MRPL10	11.6192	10.5394	10.5061	5.39926	5.83578	5.7103
MRPL27	10.718	10.5163	11.414	4.78324	5.76486	4.7615
CSN9	7.76849	7.50297	7.23264	11.7362	12.8119	12.1316
COQ1	9.94861	10.1986	10.6126	5.97119	6.72959	6.25228
RPM2	11.1982	12.0189	12.7149	6.02115	5.66014	5.45365
YJR096W	7.32749	7.17569	7.93261	11.2179	11.6889	11.9137
YPR117W	9.22412	8.87874	9.37337	5.31676	5.94494	5.18683
RSF2	11.4292	11.616	12.3508	5.88122	6.80883	5.78922
HEM1	11.7657	10.8631	11.9557	5.35933	6.32348	5.7335
MRPS12	12.5307	11.5525	12.9894	4.54645	3.35791	4.84749
YNL095C	6.44838	6.36294	6.26695	17.7828	19.9273	16.8688
PDR5	5.55571	5.35175	6.09655	26.0574	21.5305	22.7856
YDR336W	10.9759	10.7624	11.9623	4.06123	5.22896	4.25683
