Gene	SRR1259524	SRR1259525	SRR1259526	SRR1259527
YEL044W	1.4700500380107688	1.5091874544621933	1.860560855790356	1.5958751215438975
YEL045C	0.8500335435809241	0.7939611966703408	0.774786013645646	0.7338103819854374
YEL046C	4.973675280173218	4.775476119370002	6.06996892617588	4.481135034766768
YEL047C	2.167409844250874	1.894266030094218	2.447897821183705	2.24468649184619
YEL048C	1.2334455184606625	1.171629642308065	1.0244678371578733	1.1036490704213282
YEL049W	0.5149150458919545	0.5601014636166457	0.7156234166724875	0.5080717561627147
YEL050C	3.2575311996468717	3.075698055216135	1.1708048482348268	1.2246831866599823
YEL050W-A	0.9074751725004302	0.8557291366492763	0.4667324585013256	0.5356875528972419
YEL051W	4.268580058995462	4.529318982743569	5.590674566259598	4.87605932729867
YEL052W	2.112241813731617	2.652832508592417	2.5125186848727035	2.3681039251099754
YEL053C	1.9714959294480812	2.0647030139659783	1.5127951022760495	1.744696312822287
YEL053W-A	5.269257439463912	4.9624374880211874	1.3189390371196414	2.902971489172358
YEL054C	6.6946860322910435	6.550488326260689	2.0818201526626883	4.472001333836484
YEL055C	3.1061382457768847	2.9167924078835936	1.456563948743707	1.869830691987898
YEL056W	1.2833314067653803	1.24897960000213	1.2856645706783272	1.341699874926771
YEL057C	0.7198301667489863	0.49543834302570966	0.45790906003266685	0.5430430487644909
YEL058W	3.07021666893571	2.727047003349352	7.246886228989471	6.6132117964292405
YEL059C-A	0.7634694021266656	0.8169977272231296	0.8513296959887352	0.805518710378022
YEL059W	0.5692011641352982	0.44709301438078825	0.9007880486570734	0.8327683486128787
YEL060C	1.5398686571759592	1.6370965307301923	8.76194299762172	8.768000765249877
YEL061C	1.525549913554145	1.6681274087058044	1.1118025588171585	1.215345484340581
YEL062W	1.0342677242883744	0.9319720977372463	1.6606265437962753	1.2437018388732293
YEL063C	2.6214821371803785	2.6118325913614355	8.298366898623406	7.71512858707781
YEL064C	0.9454738879342182	1.0096868765814175	1.9389618087709106	1.8152610519268229
YEL065W	1.0369500858553249	1.187846169315188	1.2589623189732584	1.2431475742826033
YEL066W	1.0954025364302304	1.0827811573196253	3.2730059497751274	3.4737630084243505
YEL067C	0.7004180034537568	0.6770069028570742	1.0935254292969168	0.9985801631474157
YEL068C	0.9722034559835395	0.7714851308149253	1.1784964279476398	0.927122541981237
YEL069C	0.5277041886583345	0.25583055459970633	0.5351711592561661	0.4560169715159633
YEL070W	0.4596251200645816	0.28762989241247483	0.7501573286755157	0.7070077423458438
YEL071W	3.4183685692986354	2.9646889591965384	4.944984583263994	5.2945696770792825
YEL072W	0.8627124639261939	0.8634356106544081	3.5657198561235677	3.64429800782332
YEL073C	0.7402377005814837	0.5927246552392569	0.8783278655729567	0.6476309026139548
YEL074W	0.5993340729502326	0.6288721268441373	0.49659102783575887	0.5407250289877419
YEL075C	0.5310319399981	0.382218521756245	0.5054916756836888	0.4155809435399752
YEL075W-A	0.11327535634084275	0.004790794407614947	0.15198644603121902	-0.009316812910244448
YEL076C	0.43478578545936736	0.11935523608892995	0.23429354208999648	0.1752700346046912
YEL076C-A	-0.0015942269664591922	0.004790794407614947	-0.007278602278608017	-0.009316812910244448
YEL077C	0.9811009972619213	0.8868706740841312	1.0390550047341551	0.9365926866449468
YEL077W-A	0.3578651581409735	0.5594353649956719	-0.007278602278608017	0.33678970631092847
YER001W	3.158008760806217	3.745670581591874	4.47521315809601	4.568864649693825
YER002W	4.0453489005827254	3.4360358717210846	1.942661987200443	2.4975925429269137
YER003C	3.4278401444799966	3.1137288486803	1.9267263436590925	1.832534075851374
YER004W	1.883200231140917	2.468641063608035	2.4833097636967887	2.6249599608305347
YER005W	1.9917298221884745	1.8974446631289204	2.125539456816619	1.8999045250906699
