	log2FoldChange	FDR
YLR045C	-0.784738087	0.04068297
YDR441C	0.259343625	0.04076078
YJL185C	0.331982138	0.040794203
YMR251W	0.346420045	0.041949755
YJL043W	0.677170334	0.042038388
YFL067W	-3.545156311	0.042230137
YNL129W	-0.535286191	0.042230137
YDR292C	-0.199879306	0.042594882
YBL069W	-0.573224338	0.043229928
YDR020C	0.371508935	0.043229928
YDR061W	-0.213597711	0.043229928
YER070W	-1.299744009	0.04357661
YNR009W	-0.62844105	0.043752212
YPL119C-A	0.699774227	0.044634003
YJL213W	0.478312366	0.044703878
YNR075W	-1.182384693	0.044985752
YFL059W	-0.507179894	0.045348354
YGR156W	-0.531198122	0.045348354
YLR223C	0.440724527	0.045348354
YOL152W	-0.420939737	0.045348354
YNL274C	-0.332381171	0.04659773
YJR152W	0.448953205	0.046607211
YKL100C	0.268790022	0.046607211
YLR301W	-0.285121654	0.046607211
YCR034W	-0.416192585	0.046651561
YNL210W	0.627193495	0.046651561
YGR059W	-0.899774438	0.046749796
YBR157C	0.376332394	0.048411607
YLR130C	0.243538503	0.048411607
YLL052C	-0.997296864	0.049622234
YNL275W	0.354056968	0.049622234
YAR031W	0.343557978	0.04964872
YDL173W	0.319620593	0.04964872
YGL032C	0.740892817	0.04964872
YGL077C	-0.481344119	0.04964872
YIL078W	-0.239160817	0.04964872
YOL097C	-0.191166889	0.051060071
YDR074W	-0.309297352	0.051831932
YOR388C	-0.629989426	0.05193575
YDR027C	-0.223521442	0.052123275
YMR214W	-0.704434752	0.052706123
YER028C	0.338542742	0.052791212
YLR084C	-0.422950965	0.052810205
YHR124W	0.249540598	0.053250244
YDR158W	-0.2188722	0.053557356
YHR076W	-0.222971422	0.053557356
YNL268W	0.261151451	0.053557356
YOR032C	0.322529438	0.053557356
YOR190W	0.374964479	0.053557356
YML112W	0.429837104	0.053972745
YLR117C	0.254320255	0.054522817
YJL196C	-0.284264726	0.055052262
YLR256W	-0.236169231	0.055052262
YNL314W	0.284407502	0.05571958
TF(GAA)M	-1.712504453	0.055786142
YGL242C	-0.313372192	0.05607071
YKL178C	-0.20493047	0.056528321
YEL065W	0.419154302	0.05688456
YOR328W	0.316265474	0.057189509
YNL127W	0.210882613	0.057189704
YBL020W	-0.304505707	0.057408592
YJL112W	-0.18230897	0.057408592
YOR216C	-0.303220934	0.057876264
YOR209C	-0.198107225	0.058763425
YNL270C	0.457522382	0.058953183
YMR015C	-0.31567304	0.059193475
YBR057C	0.241092142	0.059313211
YLR407W	0.286500094	0.059313211
YGL187C	-0.368864531	0.059400623
YNL201C	0.337848409	0.059467015
YKL071W	0.358245606	0.059588145
YLR222C-A	0.759336	0.059588145
YDR144C	-0.539031478	0.059965405
YDR204W	0.227290018	0.059965405
YHL029C	0.346233855	0.059965405
YIL046W	0.487657555	0.059965405
YDR520C	0.266039779	0.060583306
YHR094C	0.575170554	0.060769045
YIL039W	-0.190877165	0.060841427
YLR307W	-0.48552128	0.060841427
TG(GCC)D2	-0.944969342	0.060841427
YGR198W	0.238931461	0.060872574
YMR300C	0.495020117	0.061371372
YPR201W	0.436943655	0.061383274
YOL025W	0.322686468	0.061392998
YER185W	0.697812712	0.061470425
YKL073W	-0.357472785	0.061971514
YFL026W	0.463907273	0.062128375
YPR159W	-0.38862935	0.062827327
YJL059W	0.282016268	0.063368863
YPR116W	-1.004676663	0.063368863
YOL019W	-0.45858065	0.063907344
YAL061W	0.353484171	0.064031132
YDR186C	0.189859483	0.064414855
YDR507C	-0.855726353	0.06634349
YDR090C	0.228596912	0.066940357
YER061C	0.369772566	0.067140177
TQ(UUG)E1	2.234449308	0.067837821
YBR203W	0.271162989	0.068698518
YML083C	0.655251505	0.068698518
YNR059W	0.186724058	0.069982224
TD(GUC)N	-2.930543839	0.069982224
YML076C	0.3513316	0.070386572
YPL008W	-0.306630555	0.070386572
YGL038C	-0.257239581	0.071862168
YML087C	-0.2506199	0.071862168
YAL037C-A	-1.071730465	0.072564217
YBL046W	-0.283002823	0.072564217
YBR141C	0.271262207	0.072564217
YGR170W	-0.331749814	0.073025246
YLR403W	0.323354183	0.073116772
YDR042C	-0.614499179	0.073221297
YJR143C	-0.424368341	0.073438274
YMR182W-A	0.723546685	0.073438274
YDL022C-A	1.107678996	0.073697402
YBR107C	-0.297017665	0.074260346
YNL318C	-1.870057716	0.074300159
YMR282C	-0.211007213	0.075452731
YDL111C	0.220612674	0.075621259
YHR161C	0.231793302	0.07586636
YJR061W	0.238352121	0.076398304
YMR144W	-0.762120116	0.078186909
YBR121C	-0.140162252	0.078684421
YBL031W	-0.840549764	0.078996542
YBL048W	0.453525261	0.0813178
YGR189C	-0.333410551	0.0813178
YGR286C	0.228291687	0.0813178
YML090W	0.601544745	0.082326132
YPR009W	0.307288618	0.082474762
YNL311C	0.294340277	0.083212979
YGL055W	-0.291994519	0.083397397
YER077C	-0.20729029	0.083845861
YOR054C	0.316300283	0.084446135
YER026C	-0.254963821	0.084822871
YNL063W	0.275359434	0.085233432
YPL258C	0.343103642	0.08569582
YDR146C	-0.59129093	0.086027909
YDL174C	0.34429081	0.086053724
YGR221C	-0.38330187	0.086053724
YMR096W	0.607086765	0.086305863
YGR004W	-0.345013532	0.086459896
YCR105W	0.388274706	0.086488578
YPL177C	0.280464943	0.088043124
YGR127W	0.304791095	0.088796362
YGR237C	0.19184057	0.088796362
YHR120W	-0.260540872	0.088796362
YIL058W	0.604237767	0.088796362
YPR191W	-0.193713153	0.088796362
YNR006W	0.281889592	0.089288421
YKL048C	-0.384154572	0.08935912
YOL131W	0.981185503	0.089798219
YLR346C	0.401084572	0.090119794
YOL125W	0.298237016	0.090119794
YPL251W	1.45814462	0.090449224
YGR213C	0.28312884	0.090464033
YAL039C	0.257539584	0.090780108
YOL017W	-0.424389985	0.090780108
YOR350C	0.327196701	0.090915519
YBL101C	0.546667602	0.090974853
YGL090W	0.209483862	0.09122104
YDL222C	0.603945732	0.09190779
YBL003C	-0.360122578	0.092624072
YHR105W	0.340131754	0.093080578
YMR315W-A	-1.004202596	0.093080578
YDR244W	0.245825612	0.09353942
YFR036W	0.325926433	0.09353942
YMR057C	0.813029391	0.09353942
YMR104C	-0.327528097	0.09353942
YNR067C	0.29472162	0.09353942
TL(UAG)L1	-1.068433821	0.09353942
YBR125C	0.226339177	0.094988381
YHR142W	-0.254731231	0.094988381
SNR11	0.46196371	0.096748624
YOR302W	0.608548966	0.096990494
YMR222C	0.259228325	0.09737248
YLR190W	-0.432708334	0.097784758
YNL087W	-0.317115161	0.097858302
YER062C	0.272042582	0.098283225
YPR048W	0.255394969	0.098283225
YDR415C	-0.236959569	0.099180457
YOR129C	0.339869621	0.099241544
YLL005C	0.216702873	0.10036631
YNR008W	-0.486686032	0.1004495
YPR012W	0.437649994	0.101705983
YDR451C	-0.447850742	0.102181886
YOR077W	0.337227779	0.103801656
YDR093W	-0.70400434	0.105384219
YDR201W	-0.317062402	0.105384219
YDR455C	1.482623007	0.105384219
YFL004W	-0.188662508	0.105384219
YGR035C	0.376382322	0.105384219
YHR078W	0.195463287	0.105384219
YNL115C	0.242954626	0.105384219
YNL166C	-0.369869192	0.105384219
YGR279C	-0.396110333	0.105686498
YMR195W	0.452566264	0.106219396
YOR348C	0.560520591	0.106986616
YLL056C	0.304816163	0.10721247
YDL055C	-0.259548373	0.108180952
YNL225C	-0.349059332	0.108387807
YDR033W	-0.293410725	0.108603352
YBR296C	0.379965916	0.109399309
YMR320W	0.403559649	0.109399309
YLR439W	-0.340327331	0.109760446
YNL142W	0.684528321	0.110006373
YDR463W	0.378665765	0.110984956
YBR158W	-0.178890864	0.111764199
YIL153W	-0.425195642	0.111973765
YER097W	-1.236011992	0.11263905
YOR385W	-0.280005618	0.113478955
YML122C	0.51614084	0.113682119
YGR079W	0.294831435	0.115895133
YDR129C	-0.173472779	0.116231916
YGL258W	0.387151478	0.116500787
YDR414C	-0.258059827	0.116671781
YML118W	0.392097087	0.116671781
YHR160C	0.346503789	0.117341847
YPL269W	-0.337598315	0.117341847
YKL037W	-0.486538377	0.117827402
YOL016C	-0.174263579	0.118159366
YDR492W	-0.188075127	0.118255408
YKR099W	0.422857061	0.118255408
YPL247C	-0.298782873	0.118917744
YGL144C	0.319508571	0.119563162
YDR341C	-0.156178323	0.119777169
YPL171C	-0.324055529	0.119777169
YBL023C	-0.489656409	0.119932721
YLR099C	-0.500916798	0.120502257
YGR266W	0.3847048	0.120590864
YKR090W	-0.771697158	0.121124944
YDR261W-B	-0.588009663	0.121155138
YOR384W	0.420089381	0.121413166
YBR063C	0.230533142	0.121813237
YOR099W	-0.165591995	0.121825322
YOL105C	-0.334677482	0.122768502
YOL047C	0.338528078	0.122773431
YMR133W	0.234625753	0.122993392
YKL175W	0.308337185	0.123320709
YDR405W	0.235409009	0.12335361
YHR097C	0.22530261	0.123454311
YBR163W	-0.227118827	0.123621709
YDR262W	0.208444081	0.123843696
YPL068C	0.476777958	0.124217701
YKL030W	0.569954316	0.125340669
YFR041C	-0.272422995	0.125361828
YJL157C	-0.392082664	0.12596469
YHL030W-A	1.097573211	0.12702635
YBR001C	0.254961559	0.128541383
YOL045W	0.368779476	0.130633897
SNR52	-1.162815312	0.131735508
YHL044W	0.392375614	0.132021647
YJL080C	-0.632053652	0.132021647
YHR140W	0.478680214	0.132257577
YKL109W	0.25973903	0.133515213
YPL222W	0.202493856	0.133798589
YGL263W	-0.625692604	0.134222564
YER084W	0.736944268	0.134302229
YJL044C	0.17948313	0.134302229
YMR187C	0.287265879	0.134302229
YOR030W	0.257913209	0.134364101
YPL017C	0.357429194	0.134364101
YGL013C	0.259714397	0.134661728
YKL149C	0.189587484	0.135232338
YLR173W	0.214205504	0.136940368
YDL095W	-0.443886473	0.138284504
YGR161C	0.362677433	0.13837017
YKR098C	0.297300639	0.13837017
YKL029C	0.470998222	0.138640604
YLR108C	0.466610337	0.138640604
YKR021W	0.315343397	0.1386635
YBL015W	-0.411022597	0.13885149
YJL118W	-0.743730861	0.13885149
YNL145W	0.695998754	0.13885149
YCL014W	-0.479860108	0.139091556
YJL192C	-0.214344081	0.139100417
YKR088C	-0.207721602	0.139108831
YKL163W	0.500700979	0.139334291
YLR341W	-0.639752015	0.139334291
YEL057C	0.397833124	0.139352516
YLR349W	-0.602862806	0.139500576
YDR425W	0.368789933	0.141951176
YJR071W	0.684657913	0.141951176
YER041W	0.274648543	0.142824529
YPL163C	-0.419494923	0.144136593
YBL019W	-0.21306866	0.144151351
YCR064C	-0.789680555	0.144151351
YNL186W	0.306930412	0.14415831
YBR040W	-0.869355547	0.144321924
YER004W	0.196002736	0.144321924
YKL050C	0.283674142	0.144855129
YGL007W	0.469143599	0.145184861
YGL022W	-0.307787129	0.145184861
YCR054C	0.228859296	0.145948317
YMR274C	-0.275235091	0.146292869
YJR054W	-0.281913864	0.146373805
YHL047C	0.2817808	0.146522808
YOR376W	0.901615099	0.147160866
YNL042W	0.368765175	0.147529694
YFL050C	0.188971058	0.147896999
YLR187W	-0.608130988	0.149151611
YNR075C-A	-1.340030961	0.149151611
YPR083W	-0.230285198	0.149514732
YDR130C	-0.292409284	0.150758384
YKL068W-A	0.382807456	0.150946149
YKR097W	0.250201579	0.151815313
YDR245W	-0.175363168	0.152072542
YHR035W	-0.325594145	0.152072542
YLL055W	0.285964742	0.152700931
YMR204C	-0.296761127	0.153299726
YNL257C	-0.399771354	0.153360071
YJL209W	0.211214716	0.153970177
YBL007C	-0.34279217	0.1542286
YMR283C	-0.200625328	0.154573256
YCR098C	-0.314831695	0.155327676
YOR334W	0.296777654	0.155327676
YDR127W	-0.391461805	0.155472827
YLR415C	1.395568275	0.157692515
YCR100C	0.366923614	0.158614496
YKL186C	0.260757871	0.158702566
YDL239C	0.315899179	0.160387257
YFR030W	0.404980365	0.160525402
YKL106C-A	1.601897991	0.162964912
YIR031C	-0.2493063	0.163083609
YGR154C	0.293742115	0.163152982
YNL165W	0.288882507	0.163207685
YLR010C	0.329699756	0.163783458
YHL043W	0.333028226	0.163786248
YGL249W	0.679339073	0.164096554
YER039C	0.284839205	0.16422227
YDL218W	0.437815092	0.164376065
YJL090C	0.195501178	0.164455537
YPR127W	0.215991975	0.165320088
SNR51	0.747788894	0.165435272
YDR280W	-0.174390326	0.165903412
YDR023W	-0.19043304	0.16602793
YNL048W	-0.198813578	0.166079994
TS(CGA)C	-2.253057289	0.167697192
RPR1	-0.897555107	0.168548159
YBR238C	0.632128854	0.168548159
YHR004C	-0.190699248	0.168584612
YOR203W	0.459694942	0.168584612
YML054C-A	-0.769520838	0.169697769
YER145C-A	-0.582634895	0.170620526
YPL053C	-0.185351734	0.171379455
YIR036C	0.203546574	0.171663209
YJR077C	-0.232290342	0.171663209
YMR215W	-0.648547224	0.172290115
