	WT_15min_1	WT_15min_2	WT_15min_3	WT_15min_4	WT_15min_5	WT_15min_6	mct1_15min_1	mct1_15min_2	mct1_15min_3	mct1_15min_4	mct1_15min_5	mct1_15min_6
 Palmitoleic acid 	2420087	2309731	6439667	2692257	3308562	1541412	1379568	2423686	1346775	2055537	1650096	891239
 Palmitic acid 	1364149	1168520	1849815	896057	1086807	1451020	214379	356585	324390	407765	247653	175020
 Linoleic acid 	4313	3108	9474	3240	3909	2606	3234	2269	1440	1623	2022	0
 Oleic acid 	488883	538628	1359685	479442	764998	361951	271581	490077	294976	416623	354274	176018
 Elaidic acid 	95197	73460	97070	58104	114148	51392	50951	73903	24510	81499	38064	28679
 Stearic acid 	1152252	1192176	1892719	594738	792950	1314987	168706	277349	345353	345793	174672	136230
 Arachidic acid 	20440	28662	29480	9931	12956	19104	6443	4105	10794	9938	3671	4374
 Arachidonic Acid	1452	2907	610	0	3338	0	0	0	768	1831	0	310
 Malonic acid	7702	4603	5375	5258	9403	0	3884	11490	6505	0	2497	7207
 Unknown acid 	745617	674028	267792	843590	1660700	856339	1542826	1487562	1136396	1535706	1188127	1337265
 Heptadecanoic acid 	0	0	0	0	0	0	0	11993	0	0	0	0
 1-Monomyristin	15754	18144	16904	14616	27146	15118	11213	20369	14606	18442	17775	8425
 2-Monopalmitoylglycerol	2595	1215	4631	0	0	0	0	0	1156	1414	672	0
 1-Palmitoylglycerol	62482	66917	81109	67036	101322	78084	58290	100218	58854	82496	85456	42500
 2-Steroylglycerol	0	845	0	360	1444	0	0	2565	0	0	0	0
 1-Steroylglycerol 	565153	642805	726386	491478	674951	601718	392095	584985	451353	604668	493651	324715
 Glycerol 	7021319	3825838	2884711	6272710	10321147	8370474	8990640	20407158	4896683	12004548	10583387	7260972
 Glycerol 3-phosphate 	30875	42726	42929	28070	35032	20403	17611	21112	17854	16071	14848	15644
 Beta-Glycerophosphoric acid 	222	114	184	0	280	0	151	211	260	301	321	181
 O-Phosphoethanolamine 	5572	8113	6267	2383	4507	3086	1481	0	3612	3607	1257	1952
 Ethanolamine 	1639304	1429090	1276603	1500367	2719488	1880530	2232823	2592441	1498917	2002399	2411966	1674194
 Phosphate 	16935131	20107571	14147384	10498963	10586527	7038431	14969044	13437846	15086723	13985729	11637495	14241632
 Pyrophosphate 	254235	592660	47435	36306	126929	90934	328059	72319	95112	228525	76802	192794
 Hypoxanthine	60767	27741	31937	45048	13344	14975	2519	11200	12854	7358	10932	13532
 Adenosine 	26669	12308	119433	498094	19553	11411	19812	30218	27673	287970	26420	18012
 Inosine 	8262	6064	10373	8622	4328	3244	12890	14324	5198	6084	6533	6849
 Adenine 	221238	207608	217586	200623	132923	122867	47275	73631	103176	69481	63848	70308
 Thymine 	53514	61511	59233	70426	47319	27079	35802	36255	41878	50588	37731	44544
 Adenosine monophosphate	861777	488612	366895	530741	263325	311625	167200	132746	656957	359235	104779	208983
 Inosine 5'-monophosphate 	14949	10725	14752	8258	0	7753	2084	15931	1449	1425	1130	7998
 Urea 	3751203	1567132	896817	3649746	2373245	2357472	437265	692136	382257	758426	410493	436484
 Glutathione 	112088	102730	12388	12428	32732	43987	29075	14042	38078	33847	14169	25021
 L-Ascorbic acid 	0	8506	1655	3016	4077	153	3440	2467	7595	22707	0	5170
 Allantoin	0	788	995	297	442	1297	0	481	1784	2008	1705	1673
 2-Hydroxyglutaric acid	451	0	614	0	259	767	2269	3122	5557	5056	2564	1268
 2-Hydroxybutyric acid 	643804	345760	261240	457996	673669	593896	533306	866346	291290	684792	579602	306314
 Glycolic acid 	1110846	1068716	818334	1218051	1230047	1052341	1054963	1234896	927679	1138270	975434	1030339
 Putrescine 	4707074	2030642	2586838	2099470	3423466	2661102	479232	1935952	1027738	462622	1425565	506827
 Xanthurenic acid 	3126	4934	4083	5273	0	3266	6660	2784	4187	5043	2525	4523
" 1,6-anhydro-Glucose "	181110	249246	154563	132949	153814	125511	239328	238909	164923	246632	151136	220432
 1-Octadecene 	69164	55407	34630	33858	82936	59748	24097	32918	26420	27752	52936	44292
 2-Ketoisocaproic acid	37403	35074	15028	26980	60572	34174	55626	78176	21037	57484	42261	33066
 Adipic acid 	15988	18281	45872	17213	12022	11916	5393	9729	13528	9426	17552	18549
 Azelaic acid 	96682	182702	82903	82350	115849	66346	67175	99413	73536	97966	61640	68795
 Benzoic acid 	912996	636104	434089	711337	1055401	914463	777217	1140001	702751	882037	841428	559053
 Beta-Hydroxyisovaleric acid	18606	7940	2183	19980	20669	13976	15995	11523	5568	9927	15975	13029
 Cystathionine 	34543	3688	8378	17997	34151	22782	9551	33888	12829	30103	25057	16101
 Eicosane 	41448	54795	22103	57226	92429	94796	31202	43355	27387	20592	36369	21754
 Ergosterol 	101320	59816	220872	41301	48418	86566	21381	22877	40556	43269	18378	10668
 Ethanolamine	7237774	5025437	5467808	6490624	9672786	6749785	7849500	10473133	6443752	8257802	9288048	6391786
 Glutamic acid 	4844	883	3290	6226	4253	5529	670	3554	1059	1331	2844	0
