Gene	SRR652952	SRR652953	SRR652954	SRR652955	SRR652956	SRR652957	SRR652958	SRR652959	SRR652960	SRR652961	SRR652962	SRR652963	SRR652964	SRR652965	SRR652966	SRR652967	SRR652968
Q0285	0.7839097186786672	1.0031285007005186	3.0649354641836752	1.065624164600367	1.800186547299603	2.684711379553165	0.6606734301099234	0.6236009287569538	0.5680334510460235	0.574088308375805	0.8773585071787429	0.7950695989513628	0.8231760103661119	1.2548439735526347	1.2756189361379673	0.5616107137806461	0.1159231208648187
Q0297	1.780101219896931	1.3530052040600309	2.49390462363224	1.058325596762703	1.9619779592463042	1.8714322513308377	0.419202242320631	0.4398883121661674	0.4585503481113194	0.48992384161471686	0.5386222562223394	0.6770069028570742	0.5771001440446915	0.7186198868202848	5.137761177973639	0.1159231208648187	0.1159231208648187
RDN18-1	11.237759902083965	12.573847217818859	10.380967930368602	10.641639102468298	10.280278690157264	10.574262456909707	11.746071809201743	11.237759902083965	11.746071809201743	11.746071809201743	11.746071809201743	11.746071809201743	11.00159888932874	11.746071809201743	12.573847217818859	10.844656263224461	10.641639102468298
RDN25-1	10.81015640473891	11.00159888932874	10.522352049194033	10.912307204971501	10.171459498227641	10.552899691671737	10.435731055875108	10.641639102468298	10.574262456909707	10.574262456909707	11.237759902083965	11.237759902083965	10.912307204971501	11.00159888932874	11.746071809201743	12.573847217818859	12.573847217818859
RDN37-1	5.12846245029528	10.199541120598747	1.7864918361447626	8.956104025611879	0.4987171004623148	3.329659069908829	2.684711379553165	1.4972814865525366	1.1258806257292258	2.0977214037901573	1.6043454175827705	2.2756724423682018	0.9488282058133599	1.5877648589418376	1.2756189361379673	1.3999464585232952	1.8884953637831412
RDN5-1	2.6040404443680325	4.028292218176172	3.0050902915888464	4.616070553772031	2.6262749615562733	10.912307204971501	6.682125554853802	6.8146302161237005	6.980209459751965	8.020791325790096	6.404611490362076	7.093352780634183	4.939903495757593	4.726828309055095	8.352582107985391	1.968686745807772	1.9503098182662952
RDN5-2	0.3936960310382049	0.5995759265040432	0.3999714614554397	0.5288813184652335	0.4987171004623148	11.237759902083965	2.677934910856538	2.549908690330857	0.8501871885351712	4.140994159752146	1.996986790881541	2.793145461469655	1.5951594670009275	1.148306710033608	1.2756189361379673	0.1159231208648187	0.5557267975916933
RDN58-1	5.608168300747229	10.641639102468298	6.045619567726437	9.094002106928592	4.1227741795041375	5.108253646737072	5.406356506049445	6.472664988841519	5.764282690530599	5.9061188668878	6.112204236437471	6.640313305664817	5.994391235518298	8.196583799265213	10.641639102468298	6.0046331196723015	6.210038370703174
RME2	1.51249742490076	2.2080640827250657	1.2966299277223197	1.3360569484895193	1.3246026646853357	1.5706449347314781	1.896996282552318	2.3681039251099754	2.613375743194579	1.9358832976895581	1.9250143186406574	2.0800001621631097	1.9834816823815609	1.788309376270104	1.2756189361379673	1.7745173356002524	1.744696312822287
RME3	4.0453489005827254	3.133776829970021	1.7284732600616433	2.131787826302509	2.4648304221105475	2.4305939179975584	1.0763288059359892	1.0543695465277225	1.1367529923567519	1.0719002534146855	0.9441383209186205	0.9673427926724056	1.3066865282000109	1.3405163199715728	1.2756189361379673	0.8130101515409734	0.8186479027339597
RNA170	0.8360505632798325	0.5995759265040432	0.7470927869464208	0.5288813184652335	0.4987171004623148	1.2183336379778082	0.5628335957676683	0.5658624365010498	0.5510138368434234	0.40680210274829065	0.7352621973660436	0.7389231277873569	0.6032366703699997	0.6022355860112623	1.2756189361379673	0.46571426085343653	0.5106091855987754
RPR1	1.755076928498748	1.2589623189732584	2.221168285827889	2.6573692397069117	1.384510628791974	1.901697990366568	1.286963874401182	1.6959077527971895	1.4276896750519543	1.6216802697856267	3.306845669101401	3.116126717798925	1.257411375755254	1.365390131388766	1.2756189361379673	0.6293735066404549	0.5971051858668761
RUF20	1.392706940728302	1.265769505566802	2.6853289484529004	1.458920742385653	2.177875547508144	2.399267942882565	0.9988623701643833	1.045930600172146	0.9740586938739562	1.1043144206834954	0.8433485194088615	0.7930245540584189	1.3237002748696645	1.554490940355091	1.2756189361379673	0.7649186064997073	0.7152907950499329
RUF21	8.689519764487105	8.118473135183752	8.402473079183633	6.8146302161237005	8.914949918731832	9.52481585548779	4.353189861298398	2.1211567554817066	0.631883458665481	0.6204199858522109	0.7900275276623189	0.8679559729611784	1.278883194441122	1.2326706320590861	4.360623602379331	0.7456878211380533	0.6557617739994056
RUF22	0.3936960310382049	0.5995759265040432	0.3999714614554397	0.5288813184652335	0.4987171004623148	0.4788818896884436	0.11688568107795104	0.04900382207564416	0.1502008388231782	0.21858354089147194	0.17441864029547632	0.21523110138214394	0.03079286563914704	0.19586777958285878	1.2756189361379673	0.1159231208648187	0.1159231208648187
RUF23	0.3936960310382049	0.5995759265040432	0.3999714614554397	0.5288813184652335	0.4987171004623148	0.4788818896884436	0.5466613926135004	0.5380946750346072	0.586490528653595	0.5594353649956719	0.37730876315979467	0.2842772001947699	0.6150586521513195	0.689533230340711	1.2756189361379673	0.35100810550857825	0.36121594260780715
