Gene	SRR3124700	SRR3124701	SRR3124703	SRR3124704	SRR3124705	SRR3124706	SRR3124707	SRR3124708	SRR3124710	SRR3124712	SRR3124715	SRR3124716	SRR3124717	SRR3131174	SRR3131176	SRR3131178	SRR3131180	SRR3131183	SRR3131184	SRR3131186	SRR3131188	SRR3131190	SRR3131192	SRR3131193	SRR3131196	SRR3131198	SRR3131200	SRR3131202	SRR3131205
Q0085	0.02987692259472706	0.2161207751767864	0.024498201318067042	0.04723655768340909	0.21523110138214394	0.039800583937445164	0.16500796326321718	0.027201931207815836	0.036687981593559946	0.2601411639905095	0.13693379302927539	0.03483376938860426	0.13790294707669554	0.024050849330689603	0.1396333067630242	0.02987692259472706	0.13056399026508578	0.15793632431344284	0.15970639612429635	0.12362716112535121	0.019968631817579865	0.027642582336018982	0.09912350304530337	0.19472365500364136	0.1387442421760785	0.10666002717647864	0.03619875080215407	0.09662965711434987	0.13056399026508578
Q0092	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.024050849330689603	0.021782496098734526	0.02987692259472706	0.0152767922473966	0.020420105507506916	0.0325977492978936	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.0437375229918197	0.022704136813364514	0.023155222641250334	0.03619875080215407	0.016680719719038697	0.03572523150473164
Q0105	0.32242536387829723	0.042884757859460144	0.2462947061348716	0.3010589943341316	0.03483376938860426	0.252291788408143	0.17611199917790823	0.027201931207815836	0.16854312090044726	0.05655277956454841	0.2549474735910296	0.17273114192088365	0.1986720436706721	0.26471067451022995	0.021782496098734526	0.30345544897274235	0.20199795509091503	0.31899004249676943	0.0325977492978936	0.18057771223274396	0.15793632431344284	0.12277209466402564	0.12879551402656136	0.0437375229918197	0.022704136813364514	0.20464491362446646	0.479205044214121	0.27192296771113056	0.3791600563319566
Q0110	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.13252328438639738	0.021782496098734526	0.1456912442174261	0.0152767922473966	0.020420105507506916	0.2161207751767864	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.24801857093942342	0.022704136813364514	0.023155222641250334	0.03619875080215407	0.016680719719038697	0.16500796326321718
Q0115	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.024050849330689603	0.021782496098734526	0.12879551402656136	0.0152767922473966	0.12543178566777016	0.0325977492978936	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.18754090720369615	0.022704136813364514	0.023155222641250334	0.03619875080215407	0.016680719719038697	0.1502008388231782
Q0120	0.2667924360954355	0.2462947061348716	0.024498201318067042	0.3453939386430118	0.25745313646075263	0.26935795609903773	0.020873150107356537	0.027201931207815836	0.18754090720369615	0.3042977321525522	0.02808323346422211	0.20547836303736483	0.02360312629463751	0.10833521771768795	0.19472365500364136	0.1502008388231782	0.0152767922473966	0.19016301880663417	0.19472365500364136	0.016201999090225	0.019968631817579865	0.11688568107795104	0.018573404878981858	0.2868786355773035	0.10666002717647864	0.023155222641250334	0.13252328438639738	0.016680719719038697	0.1995307812223141
Q0130	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.3167491923167039	0.1502008388231782	0.24801857093942342	0.1159231208648187	0.20464491362446646	0.30674425383277254	0.16676952803502695	0.019968631817579865	0.19372109581931973	0.018573404878981858	0.30946238935626597	0.12277209466402564	0.023155222641250334	0.19780123547434766	0.19286368232601014	0.3461487862982448
Q0140	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.22958738306753143	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.17698262878082258	0.2116531725529231	0.02808323346422211	0.03483376938860426	0.14395085307995517	0.024050849330689603	0.021782496098734526	0.02987692259472706	0.0152767922473966	0.10914807103126814	0.0325977492978936	0.0932034663690275	0.019968631817579865	0.1271117718090195	0.13056399026508578	0.2177823064502422	0.022704136813364514	0.023155222641250334	0.13056399026508578	0.016680719719038697	0.1296456372453514
Q0142	0.19106204657243314	0.487248138603386	0.3002250076061868	0.9324618865271602	0.31899004249676943	0.7080680723810979	0.30674425383277254	0.027201931207815836	0.46797310730781577	0.5572013747057557	0.355504817933152	0.6231345164258137	0.33678970631092847	0.6150586521513195	0.301858937033238	0.710668261738584	0.29272595490377895	0.17795800863226827	0.47379653305708536	0.32656551084756413	0.019968631817579865	0.4605189622348883	0.19016301880663417	0.5692011641352982	0.1719169821437766	0.35242417982591795	0.7766687956308969	0.3102562433778181	0.9360831640143892
Q0143	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.1502008388231782	0.039800583937445164	0.14222119382801404	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.1315714109498392	0.12453347412658075	0.02987692259472706	0.12543178566777016	0.020420105507506916	0.0325977492978936	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.0437375229918197	0.022704136813364514	0.023155222641250334	0.03619875080215407	0.016680719719038697	0.03572523150473164
